scope,period,cell_id,horizon,n,absolute_mean,absolute_median,absolute_positive_rate,industry_relative_mean,industry_relative_median,severe_loss_incidence,mean_mae
FULL,2018_2023,ABS_m04_REL_m04_W2,3,10465,-0.000952953919321,-0.00680162946322,0.453798375538,-0.000162855631338,0,,
FULL,2018_2023,ABS_m04_REL_m04_W2,5,10445,-0.00310581713257,-0.0124106203216,0.441359502154,-0.00127411268342,0,,
FULL,2018_2023,ABS_m04_REL_m04_W2,10,10403,-0.0096069022572,-0.0238007515113,0.413053926752,-0.00284124033119,0,,
FULL,2018_2023,ABS_m04_REL_m04_W2,20,10313,-0.0164444592573,-0.0419908532165,0.389411422476,-0.00399078174329,0,0.585086783671,-0.132067065047
FULL,2018_2023,ABS_m04_REL_m04_W3,1,9996,-0.00111043494837,-0.00476539287779,0.442276910764,0.000198756204423,0,,
FULL,2018_2023,ABS_m04_REL_m04_W3,3,9976,-0.00155534055903,-0.00661235265615,0.456796311147,-0.000809712880728,0,,
FULL,2018_2023,ABS_m04_REL_m04_W3,5,9963,-0.00508587997245,-0.0132733949689,0.431998394058,-0.00166357435381,0,,
FULL,2018_2023,ABS_m04_REL_m04_W3,10,9922,-0.0119275892603,-0.0242834136155,0.408586978432,-0.00307116485258,0,,
FULL,2018_2023,ABS_m04_REL_m04_W3,20,9830,-0.0203276103969,-0.044836141279,0.380366225839,-0.00505973495554,0,0.583926754832,-0.132599187304
FULL,2018_2023,ABS_m04_REL_m04_W5,1,9215,-0.00153079590494,-0.00422241337358,0.445252306023,-8.59360928254e-05,0,,
FULL,2018_2023,ABS_m04_REL_m04_W5,3,9202,-0.00469464390041,-0.0109127454503,0.425994349055,-0.000924311405812,0,,
FULL,2018_2023,ABS_m04_REL_m04_W5,5,9183,-0.00744354380716,-0.0149599953912,0.423499945552,-0.00158466890839,0,,
FULL,2018_2023,ABS_m04_REL_m04_W5,10,9155,-0.0127042980325,-0.0251476655864,0.40873839432,-0.00285341767774,0,,
FULL,2018_2023,ABS_m04_REL_m04_W5,20,9063,-0.0213125297765,-0.0436510369477,0.3873993159,-0.00445525686893,0,0.586340063996,-0.133393110556
FULL,2018_2023,ABS_m06_REL_m02_W2,1,8851,0.000727647121922,-0.00191915856113,0.476895266072,-6.18317730133e-05,0,,
FULL,2018_2023,ABS_m06_REL_m02_W2,3,8833,0.00149695098642,-0.00344385527239,0.479338842975,-0.000998727984234,0,,
FULL,2018_2023,ABS_m06_REL_m02_W2,5,8814,0.00165368494581,-0.00549242793142,0.473451327434,-0.00187917937183,0,,
FULL,2018_2023,ABS_m06_REL_m02_W2,10,8781,-0.00473518244542,-0.0179038683766,0.433208062863,-0.00319639529653,0,,
FULL,2018_2023,ABS_m06_REL_m02_W2,20,8712,-0.0104733822051,-0.0363723974815,0.405303030303,-0.00542272598074,0,0.561065197429,-0.127771358571
FULL,2018_2023,ABS_m06_REL_m02_W3,1,8532,-0.00150603038614,-0.00440278326144,0.444678856071,-0.00011504602288,0,,
FULL,2018_2023,ABS_m06_REL_m02_W3,3,8509,-0.000599495386855,-0.00504265730143,0.471383241274,-0.00101031306554,0,,
FULL,2018_2023,ABS_m06_REL_m02_W3,5,8496,-0.00195375141566,-0.0101006671221,0.446563088512,-0.00167089723457,0,,
FULL,2018_2023,ABS_m06_REL_m02_W3,10,8467,-0.00865636099498,-0.0228290463989,0.4192748317,-0.00259591756166,0,,
FULL,2018_2023,ABS_m06_REL_m02_W3,20,8398,-0.0158063743735,-0.0397305302343,0.394379614194,-0.00560901964758,0,0.573469873779,-0.130355273816
FULL,2018_2023,ABS_m06_REL_m02_W5,1,7920,-0.00107026644607,-0.00399201596806,0.450126262626,-3.7961845392e-05,0,,
FULL,2018_2023,ABS_m06_REL_m02_W5,3,7906,-0.00210514091577,-0.00840421276662,0.440298507463,-0.00107078287747,0,,
FULL,2018_2023,ABS_m06_REL_m02_W5,5,7892,-0.00522814587566,-0.011607019615,0.439052204764,-0.00183823416334,0,,
FULL,2018_2023,ABS_m06_REL_m02_W5,10,7871,-0.00887077119258,-0.0228258199961,0.417481895566,-0.00281643784845,0,,
FULL,2018_2023,ABS_m06_REL_m02_W5,20,7805,-0.0188433321963,-0.0418167780758,0.393209481102,-0.00655397732194,0,0.579244074311,-0.131619484984
FULL,2018_2023,ABS_m06_REL_m04_W2,1,6509,-0.000234898593967,-0.00399201596806,0.460746658473,-0.000120458158739,0,,
FULL,2018_2023,ABS_m06_REL_m04_W2,3,6491,0.00151780954027,-0.00399201596806,0.474503158219,-0.00021226226278,0,,
FULL,2018_2023,ABS_m06_REL_m04_W2,5,6477,0.000611023355974,-0.00798024604111,0.463177396943,-0.0013308313406,0,,
FULL,2018_2023,ABS_m06_REL_m04_W2,10,6451,-0.00581195949895,-0.0213046769179,0.425205394512,-0.00214151621077,0,,
FULL,2018_2023,ABS_m06_REL_m04_W2,20,6394,-0.0126276224109,-0.0417316403328,0.395683453237,-0.00356092889227,0,0.577729121051,-0.13189837042
FULL,2018_2023,ABS_m06_REL_m04_W3,1,6287,-0.00117324041022,-0.00488529667123,0.443136631144,1.40957828684e-05,0,,
FULL,2018_2023,ABS_m06_REL_m04_W3,3,6268,-0.000582734983681,-0.00597865422891,0.467932354818,-0.000960165999861,0,,
FULL,2018_2023,ABS_m06_REL_m04_W3,5,6259,-0.00295879167068,-0.0114807978029,0.441124780316,-0.00201491495725,0,,
FULL,2018_2023,ABS_m06_REL_m04_W3,10,6235,-0.00913201557032,-0.0239371070125,0.418604651163,-0.00282302590319,0,,
FULL,2018_2023,ABS_m06_REL_m04_W3,20,6178,-0.0176837243281,-0.0428795990336,0.387180317255,-0.00555394646159,0,0.58627387504,-0.133415726363
FULL,2018_2023,ABS_m06_REL_m04_W5,1,5911,-0.00155310209426,-0.00431613181057,0.443410590425,-0.000294987911408,0,,
FULL,2018_2023,ABS_m06_REL_m04_W5,3,5902,-0.00301450602972,-0.00928695509902,0.433920704846,-0.00108079542922,0,,
FULL,2018_2023,ABS_m06_REL_m04_W5,5,5889,-0.00545408442729,-0.0114328440238,0.439803022584,-0.00176307933982,0,,
FULL,2018_2023,ABS_m06_REL_m04_W5,10,5873,-0.0100002547684,-0.0241625687173,0.412736250639,-0.00273847096676,0,,
FULL,2018_2023,ABS_m06_REL_m04_W5,20,5814,-0.0196015763524,-0.0441446838168,0.389748882009,-0.00441066286967,0,0.590299277606,-0.134425712922
FULL,2018_2023,ABS_m08_REL_m02_W2,1,4043,5.17597771456e-05,-0.00338800870061,0.465001236705,4.32473854577e-06,0,,
FULL,2018_2023,ABS_m08_REL_m02_W2,3,4032,0.00275198400034,-0.00417376924982,0.474206349206,-0.000564383576406,0,,
FULL,2018_2023,ABS_m08_REL_m02_W2,5,4021,0.00286255825968,-0.00618683303292,0.475006217359,-0.00228815856947,0,,
FULL,2018_2023,ABS_m08_REL_m02_W2,10,4005,-0.00342913390121,-0.0179629052824,0.431460674157,-0.0032038913784,0,,
FULL,2018_2023,ABS_m08_REL_m02_W2,20,3968,-0.00807044839652,-0.0365059168392,0.409274193548,-0.00584522671939,0,0.563004032258,-0.129875868693
FULL,2018_2023,ABS_m08_REL_m02_W3,1,3938,-0.000789397630971,-0.00330051377222,0.460893854749,-0.00014282303252,0,,
FULL,2018_2023,ABS_m08_REL_m02_W3,3,3923,0.00113893243062,-0.00515467120234,0.471832781035,-0.000362023014771,0,,
FULL,2018_2023,ABS_m08_REL_m02_W3,5,3919,3.4221726116e-06,-0.0100517990568,0.451900995152,-0.0020428074055,0,,
