role,coordinate,market_view,denominator,n,rho_discovery,rho_leadership_concentration,joint_adjusted_rank_r2,gate_pass
formation_participation,absolute,ALL_A,ALL_STATUS,1337,0.65087011935710415,-0.74661319350002664,0.62546215490160928,True
formation_participation,absolute,SH_A,ALL_STATUS,1337,0.59337786953792826,-0.72828011458387665,0.58539932498053682,True
formation_participation,absolute,SZ_A,ALL_STATUS,1337,0.66794159320284563,-0.75178890590343228,0.64173470668628529,True
formation_participation,absolute,CHINEXT_BOARD,ALL_STATUS,1337,0.58138064211382467,-0.74283594270944642,0.6062443964808103,True
formation_participation,absolute,ALL_A,NON_ST,1337,0.64382386767738731,-0.74384034331210336,0.62304230542110584,True
formation_participation,absolute,SH_A,NON_ST,1337,0.58871681544798227,-0.72530091868479496,0.58353704871068968,True
formation_participation,absolute,SZ_A,NON_ST,1337,0.6537348838652377,-0.74931421674750254,0.63689105759654963,True
formation_participation,absolute,CHINEXT_BOARD,NON_ST,1337,0.58177490466222426,-0.74299467753053428,0.60649567398195092,True
formation_participation,pit_3y_pct,ALL_A,ALL_STATUS,834,0.60463463109740023,-0.71552570399685866,0.57833345689158311,True
formation_participation,pit_3y_pct,SH_A,ALL_STATUS,834,0.53967817985596844,-0.68935124193320341,0.52925666315947062,True
formation_participation,pit_3y_pct,SZ_A,ALL_STATUS,834,0.62038516599952642,-0.72366348730153474,0.59649736136053033,True
formation_participation,pit_3y_pct,CHINEXT_BOARD,ALL_STATUS,834,0.55925249535513244,-0.72624960541310524,0.58204239524183043,True
formation_participation,pit_3y_pct,ALL_A,NON_ST,834,0.59305575260804655,-0.71370659810474679,0.57168210566140354,True
formation_participation,pit_3y_pct,SH_A,NON_ST,834,0.52838426468394928,-0.68887214013058595,0.52438993126269129,True
formation_participation,pit_3y_pct,SZ_A,NON_ST,834,0.60186371939355154,-0.72065576411923049,0.5876987795729367,True
formation_participation,pit_3y_pct,CHINEXT_BOARD,NON_ST,834,0.55961237972391809,-0.7259090424770237,0.58152386561860381,True
formation_participation,relative_to_all,SH_A,ALL_STATUS,1337,0.37079673796081714,-0.48338201995959296,0.28861016756053448,True
formation_participation,relative_to_all,SZ_A,ALL_STATUS,1337,0.37344808911503452,-0.49094492061905309,0.2954476119911158,True
formation_participation,relative_to_all,CHINEXT_BOARD,ALL_STATUS,1337,0.46722943668979205,-0.60814275364821602,0.43051853775382454,True
formation_participation,relative_to_all,SH_A,NON_ST,1337,0.36107563310502228,-0.48711779805611544,0.28811674193572079,True
formation_participation,relative_to_all,SZ_A,NON_ST,1337,0.36317158514049752,-0.49375604365826259,0.29471103463373916,True
formation_participation,relative_to_all,CHINEXT_BOARD,NON_ST,1337,0.4654667744373524,-0.60221527259657859,0.42335106557053759,True
formation_depth,absolute,ALL_A,ALL_STATUS,1337,0.11156335707568721,0.26767111408749983,0.18100013144464022,True
formation_depth,absolute,SH_A,ALL_STATUS,1337,0.21930113032143078,0.15626755822298924,0.15426661959364696,True
formation_depth,absolute,SZ_A,ALL_STATUS,1337,0.071673323562942301,0.29862328955004525,0.18235002100561715,True
formation_depth,absolute,CHINEXT_BOARD,ALL_STATUS,1337,0.1103647636528188,0.18183492176157803,0.087669769186559221,True
formation_depth,absolute,ALL_A,NON_ST,1337,0.11773978241285699,0.27076172619569649,0.18317196509659228,True
formation_depth,absolute,SH_A,NON_ST,1337,0.23184565118783218,0.15549648858563042,0.16020426603247462,True
formation_depth,absolute,SZ_A,NON_ST,1337,0.075522716030167206,0.30142167042851259,0.18035575976652085,True
formation_depth,absolute,CHINEXT_BOARD,NON_ST,1337,0.11372442217235666,0.18180381606503446,0.08960353610406091,True
formation_depth,pit_3y_pct,ALL_A,ALL_STATUS,834,0.046060794482599421,0.41575477193199722,0.27427172387708509,True
formation_depth,pit_3y_pct,SH_A,ALL_STATUS,834,0.13961667613209147,0.31582997495889442,0.20988774665968646,True
formation_depth,pit_3y_pct,SZ_A,ALL_STATUS,834,0.031305463058351912,0.42299616271668211,0.27323220526557113,True
formation_depth,pit_3y_pct,CHINEXT_BOARD,ALL_STATUS,834,0.1093949570689923,0.20537931242061347,0.097380795460202063,True
formation_depth,pit_3y_pct,ALL_A,NON_ST,834,0.021964530394063764,0.42229928536068967,0.26160312771173133,True
formation_depth,pit_3y_pct,SH_A,NON_ST,834,0.13392458730796897,0.32171596969523053,0.20939740286806485,True
formation_depth,pit_3y_pct,SZ_A,NON_ST,834,0.0096285330268829072,0.42629648471714421,0.25475134051775383,True
formation_depth,pit_3y_pct,CHINEXT_BOARD,NON_ST,834,0.11667838044133562,0.20477104197929891,0.1012209654012336,True
formation_depth,relative_to_all,SH_A,ALL_STATUS,1337,0.20267920044352,0.085520808763403025,0.063205850758990101,True
formation_depth,relative_to_all,SZ_A,ALL_STATUS,1337,0.15007368242311531,0.15596567616315088,0.065856672213842615,True
formation_depth,relative_to_all,CHINEXT_BOARD,ALL_STATUS,1337,0.09836357596438379,0.05184510731303664,0.017899636343192249,True
formation_depth,relative_to_all,SH_A,NON_ST,1337,0.21021080912249071,0.088451485539686667,0.067528920443455043,True
formation_depth,relative_to_all,SZ_A,NON_ST,1337,0.15689860414786122,0.16242615845814473,0.070862769077715049,True
formation_depth,relative_to_all,CHINEXT_BOARD,NON_ST,1337,0.12728981471575779,0.054168863994335376,0.027644498645357563,True
closing_acceptance,absolute,ALL_A,ALL_STATUS,1337,0.44242629013525081,-0.1033342631581185,0.23218699719870273,True
closing_acceptance,absolute,SH_A,ALL_STATUS,1337,0.45287378563913089,-0.10338741139301663,0.23269937030964738,True
closing_acceptance,absolute,SZ_A,ALL_STATUS,1337,0.41495128282456362,-0.098453468609798866,0.20395384868053812,True
closing_acceptance,absolute,CHINEXT_BOARD,ALL_STATUS,1337,0.42742704193328068,-0.1325185092943286,0.19149734364974702,True
closing_acceptance,absolute,ALL_A,NON_ST,1337,0.46096075347280568,-0.10180068910968355,0.25074724323775677,True
closing_acceptance,absolute,SH_A,NON_ST,1337,0.4648607135458509,-0.10374988803937077,0.24321493024811647,True
closing_acceptance,absolute,SZ_A,NON_ST,1337,0.43756315512707494,-0.095552001717103527,0.22544588283957412,True
closing_acceptance,absolute,CHINEXT_BOARD,NON_ST,1337,0.42859007570354679,-0.13346824739593838,0.19246547952768178,True
closing_acceptance,pit_3y_pct,ALL_A,ALL_STATUS,834,0.47996882619969694,-0.091408652274384564,0.26823938889822341,True
closing_acceptance,pit_3y_pct,SH_A,ALL_STATUS,834,0.48596554227265099,-0.093431928884068594,0.2608172836361401,True
closing_acceptance,pit_3y_pct,SZ_A,ALL_STATUS,834,0.45128826953783885,-0.086805354078647701,0.23703619359818451,True
closing_acceptance,pit_3y_pct,CHINEXT_BOARD,ALL_STATUS,834,0.47793956582108882,-0.16520906840091279,0.23250442510772229,True
closing_acceptance,pit_3y_pct,ALL_A,NON_ST,834,0.49032165659660903,-0.09091419810143242,0.2791055800397626,True
closing_acceptance,pit_3y_pct,SH_A,NON_ST,834,0.49390005479002136,-0.093561729279693057,0.26880269137567936,True
closing_acceptance,pit_3y_pct,SZ_A,NON_ST,834,0.46867554024599928,-0.084915978744289161,0.2534293226053963,True
closing_acceptance,pit_3y_pct,CHINEXT_BOARD,NON_ST,834,0.47905632539331949,-0.16731435784366464,0.2333892862979795,True
closing_acceptance,relative_to_all,SH_A,ALL_STATUS,1337,0.22666667973791466,-0.016212222140227325,0.052907528310987106,True
closing_acceptance,relative_to_all,SZ_A,ALL_STATUS,1337,0.23328766434263265,-0.025887581976320993,0.055232274823967642,True
closing_acceptance,relative_to_all,CHINEXT_BOARD,ALL_STATUS,1337,0.26814365009343827,-0.13395722848777475,0.071472375669447086,True
closing_acceptance,relative_to_all,SH_A,NON_ST,1337,0.24554866594066257,-0.0097783363313811208,0.063165938520551301,True
closing_acceptance,relative_to_all,SZ_A,NON_ST,1337,0.25210374211699538,-0.023499823560098533,0.06496889780013082,True
closing_acceptance,relative_to_all,CHINEXT_BOARD,NON_ST,1337,0.27301960535500264,-0.12472235594783559,0.073497379439888322,True
closing_rejection_depth,absolute,ALL_A,ALL_STATUS,1337,-0.46760109731598698,0.31891591193078017,0.22043618737264947,True
closing_rejection_depth,absolute,SH_A,ALL_STATUS,1337,-0.43889963766956075,0.29527814021771243,0.19604460756636177,True
closing_rejection_depth,absolute,SZ_A,ALL_STATUS,1337,-0.45169647237479155,0.31534230167807975,0.20647684956800871,True
closing_rejection_depth,absolute,CHINEXT_BOARD,ALL_STATUS,1337,-0.42033277097227795,0.28290398780641229,0.18171674093406587,True
closing_rejection_depth,absolute,ALL_A,NON_ST,1337,-0.48091859346205423,0.31952036928191629,0.23298045420488755,True
closing_rejection_depth,absolute,SH_A,NON_ST,1337,-0.44341651447584063,0.29414083228944649,0.20029370185479356,True
closing_rejection_depth,absolute,SZ_A,NON_ST,1337,-0.46887934807313636,0.31562385009411476,0.22212936246885939,True
closing_rejection_depth,absolute,CHINEXT_BOARD,NON_ST,1337,-0.41993606809541045,0.28396925623581343,0.18158591454677786,True
closing_rejection_depth,pit_3y_pct,ALL_A,ALL_STATUS,834,-0.47175533690214555,0.34667119850886219,0.23267838206705149,True
closing_rejection_depth,pit_3y_pct,SH_A,ALL_STATUS,834,-0.45024109013796637,0.32610768228615961,0.21603002147559103,True
closing_rejection_depth,pit_3y_pct,SZ_A,ALL_STATUS,834,-0.44763341399504375,0.34207372631639243,0.21251080512060117,True
closing_rejection_depth,pit_3y_pct,CHINEXT_BOARD,ALL_STATUS,834,-0.51463191422538124,0.3190176102892181,0.26927873055172058,True
closing_rejection_depth,pit_3y_pct,ALL_A,NON_ST,834,-0.49761892348827524,0.35003491272602799,0.25593642867933919,True
closing_rejection_depth,pit_3y_pct,SH_A,NON_ST,834,-0.46109229664882379,0.32554789322202193,0.22492892290881084,True
closing_rejection_depth,pit_3y_pct,SZ_A,NON_ST,834,-0.47976242577034661,0.3464006581424387,0.24080018853664964,True
closing_rejection_depth,pit_3y_pct,CHINEXT_BOARD,NON_ST,834,-0.51331606034199317,0.32088153215422405,0.2682996214695782,True
closing_rejection_depth,relative_to_all,SH_A,ALL_STATUS,1337,-0.1374303681783394,0.098596636470636406,0.021037939799895877,True
closing_rejection_depth,relative_to_all,SZ_A,ALL_STATUS,1337,-0.17701526143162588,0.15598757270679756,0.041416391799635299,True
