market_view,denominator,event_year,date_cells,closing_complete_cells,path_complete_cells,minimum_crossing_response,minimum_accepted_response,minimum_rejected_response
ALL_A,ALL_STATUS,2018,203,203,203,19,6,10
ALL_A,ALL_STATUS,2019,244,243,243,23,12,10
ALL_A,ALL_STATUS,2020,243,243,243,40,13,9
ALL_A,ALL_STATUS,2021,243,243,243,97,32,46
ALL_A,ALL_STATUS,2022,242,242,242,35,9,14
ALL_A,ALL_STATUS,2023,242,237,237,78,28,37
ALL_A,NON_ST,2018,203,203,203,19,6,10
ALL_A,NON_ST,2019,244,243,243,22,12,10
ALL_A,NON_ST,2020,243,243,243,37,13,9
ALL_A,NON_ST,2021,243,243,243,92,30,45
ALL_A,NON_ST,2022,242,242,242,34,8,14
ALL_A,NON_ST,2023,242,237,237,63,20,37
CHINEXT_BOARD,ALL_STATUS,2018,203,203,203,4,1,2
CHINEXT_BOARD,ALL_STATUS,2019,244,244,244,2,1,1
CHINEXT_BOARD,ALL_STATUS,2020,243,243,243,7,1,2
CHINEXT_BOARD,ALL_STATUS,2021,243,241,241,16,2,7
CHINEXT_BOARD,ALL_STATUS,2022,242,242,242,2,1,1
CHINEXT_BOARD,ALL_STATUS,2023,242,237,237,12,4,6
CHINEXT_BOARD,NON_ST,2018,203,203,203,4,1,2
CHINEXT_BOARD,NON_ST,2019,244,244,244,2,1,1
CHINEXT_BOARD,NON_ST,2020,243,243,243,7,1,2
CHINEXT_BOARD,NON_ST,2021,243,241,241,16,2,7
CHINEXT_BOARD,NON_ST,2022,242,242,242,2,1,1
CHINEXT_BOARD,NON_ST,2023,242,237,237,12,4,6
SH_A,ALL_STATUS,2018,203,198,198,6,0,1
SH_A,ALL_STATUS,2019,244,241,241,8,4,4
SH_A,ALL_STATUS,2020,243,243,243,17,3,6
SH_A,ALL_STATUS,2021,243,243,243,43,13,18
SH_A,ALL_STATUS,2022,242,242,242,8,3,5
SH_A,ALL_STATUS,2023,242,237,237,27,7,12
SH_A,NON_ST,2018,203,196,196,6,0,1
SH_A,NON_ST,2019,244,241,241,8,4,4
SH_A,NON_ST,2020,243,243,243,16,3,5
SH_A,NON_ST,2021,243,243,243,42,13,18
SH_A,NON_ST,2022,242,242,242,8,3,5
SH_A,NON_ST,2023,242,237,237,25,6,12
SZ_A,ALL_STATUS,2018,203,203,203,8,3,5
SZ_A,ALL_STATUS,2019,244,244,244,14,8,3
SZ_A,ALL_STATUS,2020,243,243,243,21,8,3
SZ_A,ALL_STATUS,2021,243,243,243,53,15,24
SZ_A,ALL_STATUS,2022,242,242,242,18,5,5
SZ_A,ALL_STATUS,2023,242,237,237,40,18,21
SZ_A,NON_ST,2018,203,203,203,8,3,5
SZ_A,NON_ST,2019,244,244,244,13,8,3
SZ_A,NON_ST,2020,243,243,243,21,8,3
SZ_A,NON_ST,2021,243,243,243,49,14,23
SZ_A,NON_ST,2022,242,242,242,17,4,5
SZ_A,NON_ST,2023,242,237,237,33,14,19
