block,retained_event_dates,vetoed_event_dates,retained_trades,vetoed_trades,retained_mean_trade_payoff,vetoed_mean_trade_payoff,retained_minus_vetoed,retained_severe_loss_fraction,vetoed_severe_loss_fraction
2018-2020,25,22,50,44,0.0157869736969,0.0492347830656,-0.0334478093688,0.1,0.113636363636
2021-2023,21,23,42,46,0.0427882178478,0.0468171919364,-0.00402897408862,0.0238095238095,0.130434782609
