trade_date,market_view,denominator,decision_at,available_at_x,breakout_formation_participation20_pit_3y_pct,breakout_formation_participation20_relative_to_all,breakout_formation_participation20_relative_view_rank_pct,breakout_formation_depth20_pit_3y_pct,breakout_formation_depth20_relative_to_all,breakout_formation_depth20_relative_view_rank_pct,breakout_closing_acceptance20_pit_3y_pct,breakout_closing_acceptance20_relative_to_all,breakout_closing_acceptance20_relative_view_rank_pct,breakout_closing_rejection_depth20_pit_3y_pct,breakout_closing_rejection_depth20_relative_to_all,breakout_closing_rejection_depth20_relative_view_rank_pct,breakout_formation_diffusion20_pit_3y_pct,breakout_formation_diffusion20_relative_to_all,breakout_formation_diffusion20_relative_view_rank_pct,breakout_formation_leadership_top3_20_pit_3y_pct,breakout_formation_leadership_top3_20_relative_to_all,breakout_formation_leadership_top3_20_relative_view_rank_pct,breakout_stock_industry_divergence20_pit_3y_pct,breakout_stock_industry_divergence20_relative_to_all,breakout_stock_industry_divergence20_relative_view_rank_pct,available_at_y,open_close_log_return__median,open_close_log_return__median__pit_3y_pct,rally_effort_distribution__median__aligned_mean,rally_effort_distribution__relative_to_all,rally_effort_distribution__relative_view_rank_pct,open_close_log_return__relative_view_rank_pct,vwap_defense_recovery__median__aligned_mean,vwap_defense_recovery__relative_to_all,vwap_defense_recovery__relative_view_rank_pct,open_close_return__relative_to_all,joint_available_at
2018-03-06,ALL_A,ALL_STATUS,2018-03-06T15:00:00+08:00,2018-03-06T15:00:00+08:00,,0,0.5,,0,0.5,,0,0.75,,0,0.5,,0,0.5,,0,0.25,,0,0.5,2018-03-06T15:30:00,0.00803220246095,,,,,,,,,0,2018-03-06T15:30:00
2018-03-06,ALL_A,NON_ST,2018-03-06T15:00:00+08:00,2018-03-06T15:00:00+08:00,,0,0.5,,0,0.5,,0,0.75,,0,0.5,,0,0.5,,0,0.25,,0,0.5,2018-03-06T15:30:00,0.007982313314,,,,,,,,,0,2018-03-06T15:30:00
2018-03-06,CHINEXT_BOARD,ALL_STATUS,2018-03-06T15:00:00+08:00,2018-03-06T15:00:00+08:00,,0.0529520281596,1,,0.00515271434219,1,,-0.063125,0.25,,0.00237008354856,1,,0.0725365488305,1,,0.156328711976,1,,0.0140100947553,1,2018-03-06T15:30:00,0.00412033477503,,,,,,,,,-0.00391186768592,2018-03-06T15:30:00
2018-03-06,CHINEXT_BOARD,NON_ST,2018-03-06T15:00:00+08:00,2018-03-06T15:00:00+08:00,,0.052692569105,1,,0.0051249575255,1,,-0.0593670886076,0.25,,0.00231219889237,1,,0.0774679148835,1,,0.15665822725,1,,0.0137746580245,1,2018-03-06T15:30:00,0.00412033477503,,,,,,,,,-0.00386197853897,2018-03-06T15:30:00
2018-03-06,SH_A,ALL_STATUS,2018-03-06T15:00:00+08:00,2018-03-06T15:00:00+08:00,,-0.0227651776416,0.25,,-0.00254425374131,0.25,,0.0370710784314,1,,-0.00290529024288,0.25,,-0.111996134311,0.25,,0.0159645378583,0.5,,-0.014763578573,0.25,2018-03-06T15:30:00,0.00946503840252,,,,,,,,,0.00143283594157,2018-03-06T15:30:00
2018-03-06,SH_A,NON_ST,2018-03-06T15:00:00+08:00,2018-03-06T15:00:00+08:00,,-0.0228871071223,0.25,,-0.00240854868475,0.25,,0.0306329113924,1,,-0.00286884733739,0.25,,-0.122217548434,0.25,,0.0174154795472,0.5,,-0.0141704925947,0.25,2018-03-06T15:30:00,0.00938311858665,,,,,,,,,0.00140080527265,2018-03-06T15:30:00
2018-03-06,SZ_A,ALL_STATUS,2018-03-06T15:00:00+08:00,2018-03-06T15:00:00+08:00,,0.0155534537708,0.75,,0.0011904306496,0.75,,-0.0173451834862,0.5,,0.0013593559852,0.75,,0.0261889353187,0.75,,0.0530295404949,0.75,,0.00802734874518,0.75,2018-03-06T15:30:00,0.0064391969554,,,,,,,,,-0.00159300550555,2018-03-06T15:30:00
2018-03-06,SZ_A,NON_ST,2018-03-06T15:00:00+08:00,2018-03-06T15:00:00+08:00,,0.0154687944981,0.75,,0.00111506883553,0.75,,-0.0141819034224,0.5,,0.00132817006361,0.75,,0.0304751786863,0.75,,0.0558811319446,0.75,,0.00800415549278,0.75,2018-03-06T15:30:00,0.0064391969554,,,,,,,,,-0.0015431163586,2018-03-06T15:30:00
2018-03-07,ALL_A,ALL_STATUS,2018-03-07T15:00:00+08:00,2018-03-07T15:00:00+08:00,,0,0.5,,0,0.5,,0,0.5,,0,0.75,,0,1,,0,0.25,,0,1,2018-03-07T15:30:00,-0.00704958636618,,,,,,,,,0,2018-03-07T15:30:00
2018-03-07,ALL_A,NON_ST,2018-03-07T15:00:00+08:00,2018-03-07T15:00:00+08:00,,0,0.5,,0,0.5,,0,0.5,,0,0.75,,0,0.75,,0,0.25,,0,1,2018-03-07T15:30:00,-0.00707195663216,,,,,,,,,0,2018-03-07T15:30:00
