audit_type,role,definition,group,value
neighbor_spearman,formation_leadership_concentration,breakout_formation_leadership_top5_20,CHINEXT_BOARD,0.94769142872288581
neighbor_spearman,formation_leadership_concentration,breakout_formation_leadership_top5_20,SH_A,0.97056644838644901
neighbor_spearman,formation_leadership_concentration,breakout_formation_leadership_top5_20,SZ_A,0.97125068581314866
minimum_raw_coverage,formation_leadership_concentration,breakout_formation_leadership_top3_20,ALL,0.99223712067748771
worst_neighbor_median_spearman,formation_leadership_concentration,breakout_formation_leadership_top3_20,ALL,0.72805783316500272
denominator_median_spearman,formation_leadership_concentration,breakout_formation_leadership_top3_20,ALL,0.99190950417733081
pit_expected_coverage,formation_leadership_concentration,breakout_formation_leadership_top3_20,ALL,0.99917740608719496
relative_expected_coverage,formation_leadership_concentration,breakout_formation_leadership_top3_20,ALL,1
construction_gate_pass,formation_leadership_concentration,breakout_formation_leadership_top3_20,ALL,1
neighbor_spearman,stock_industry_divergence,breakout_stock_industry_divergence10,ALL_A,0.89777481058600439
neighbor_spearman,stock_industry_divergence,breakout_stock_industry_divergence10,CHINEXT_BOARD,0.82365273806624839
neighbor_spearman,stock_industry_divergence,breakout_stock_industry_divergence10,SH_A,0.84305761678882052
neighbor_spearman,stock_industry_divergence,breakout_stock_industry_divergence10,SZ_A,0.88375963337505836
neighbor_spearman,stock_industry_divergence,breakout_stock_industry_divergence40,ALL_A,0.88986377318540222
neighbor_spearman,stock_industry_divergence,breakout_stock_industry_divergence40,CHINEXT_BOARD,0.80454788171357772
neighbor_spearman,stock_industry_divergence,breakout_stock_industry_divergence40,SH_A,0.81977258570253508
neighbor_spearman,stock_industry_divergence,breakout_stock_industry_divergence40,SZ_A,0.86222236855669332
minimum_raw_coverage,stock_industry_divergence,breakout_stock_industry_divergence20,ALL,0.99223712067748771
worst_neighbor_median_spearman,stock_industry_divergence,breakout_stock_industry_divergence20,ALL,0.84099747712961426
denominator_median_spearman,stock_industry_divergence,breakout_stock_industry_divergence20,ALL,0.98072550262566938
pit_expected_coverage,stock_industry_divergence,breakout_stock_industry_divergence20,ALL,0.99917740608719496
relative_expected_coverage,stock_industry_divergence,breakout_stock_industry_divergence20,ALL,1
construction_gate_pass,stock_industry_divergence,breakout_stock_industry_divergence20,ALL,1
