period,checkpoint,trades,mean_cumulative,median_cumulative,winner_fraction,severe_fraction,mean_incremental
full,1,2625,-0.001799872363,-0.003992015968,0.4133333333,0.005333333333,-0.001799872363
full,3,2625,0.0007357462795,-0.003992015968,0.4540952381,0.02133333333,0.002535618643
full,5,2625,0.002299928873,-0.003992015968,0.4632380952,0.03885714286,0.001564182594
full,10,2625,0.006705914452,-0.001263226971,0.492952381,0.07542857143,0.004405985579
full,15,2625,0.01078735404,-0.002940820207,0.4841904762,0.1062857143,0.004081439584
full,20,2625,0.01475621364,-0.003023136606,0.4899047619,0.1413333333,0.003968859605
early,1,1218,-0.002335421888,-0.003992015968,0.4105090312,0.00328407225,-0.002335421888
early,3,1218,0.0006347088293,-0.003992015968,0.4589490969,0.02791461412,0.002970130718
early,5,1218,0.004219073043,-0.003992015968,0.4794745484,0.039408867,0.003584364213
early,10,1218,0.00817975984,0.002149869147,0.5147783251,0.08456486043,0.003960686798
early,15,1218,0.01294619767,0.0003686376349,0.5008210181,0.1231527094,0.004766437831
early,20,1218,0.02113522164,0.001651496365,0.5082101806,0.158456486,0.008189023964
late,1,1407,-0.001336262327,-0.003992015968,0.4157782516,0.00710732054,-0.001336262327
late,3,1407,0.000823211535,-0.003992015968,0.4498933902,0.01563610519,0.002159473862
late,5,1407,0.0006385801893,-0.005331937023,0.4491826581,0.03837953092,-0.0001846313457
late,10,1407,0.005430048296,-0.003992015968,0.47405828,0.06751954513,0.004791468106
late,15,1407,0.008918504321,-0.005074633342,0.4697938877,0.09168443497,0.003488456026
late,20,1407,0.009234087317,-0.005455964711,0.47405828,0.1265103056,0.0003155829954
