trade_date,market_view,denominator,decision_at,available_at,snapshot_id,size_structure_count,eligible_count,view_minimum_count,size_structure_valid,return_population_valid,size_log_value_iqr,size_log_value_p90_p10,size_log_value_mad,size_positive_participation_small30_large30,size_positive_participation_small20_large20,size_positive_participation_small40_large40,size_return_spread1_small30_large30,size_return_spread1_small20_large20,size_return_spread1_small40_large40,size_return_spread20_small30_large30,size_return_spread10_small30_large30,size_return_spread40_small30_large30,size_winner_entropy_top10,size_winner_entropy_top5,size_winner_entropy_top20,size_positive_mass_max_share,size_positive_mass_hhi,size_positive_mass_one_minus_entropy,size_bucket_return_std5,size_bucket_return_range5,size_bucket_return_mean_adjacent_gap5,size_leadership_transition5,size_leadership_transition3,size_leadership_transition10,size_log_value_iqr__pit_3y_pct,size_log_value_iqr__pit_3y_robust_z,size_log_value_iqr__relative_to_all,size_log_value_iqr__relative_view_rank_pct,size_positive_participation_small30_large30__pit_3y_pct,size_positive_participation_small30_large30__pit_3y_robust_z,size_positive_participation_small30_large30__relative_to_all,size_positive_participation_small30_large30__relative_view_rank_pct,size_return_spread1_small30_large30__pit_3y_pct,size_return_spread1_small30_large30__pit_3y_robust_z,size_return_spread1_small30_large30__relative_to_all,size_return_spread1_small30_large30__relative_view_rank_pct,size_return_spread20_small30_large30__pit_3y_pct,size_return_spread20_small30_large30__pit_3y_robust_z,size_return_spread20_small30_large30__relative_to_all,size_return_spread20_small30_large30__relative_view_rank_pct,size_winner_entropy_top10__pit_3y_pct,size_winner_entropy_top10__pit_3y_robust_z,size_winner_entropy_top10__relative_to_all,size_winner_entropy_top10__relative_view_rank_pct,size_positive_mass_max_share__pit_3y_pct,size_positive_mass_max_share__pit_3y_robust_z,size_positive_mass_max_share__relative_to_all,size_positive_mass_max_share__relative_view_rank_pct,size_bucket_return_std5__pit_3y_pct,size_bucket_return_std5__pit_3y_robust_z,size_bucket_return_std5__relative_to_all,size_bucket_return_std5__relative_view_rank_pct,size_leadership_transition5__pit_3y_pct,size_leadership_transition5__pit_3y_robust_z,size_leadership_transition5__relative_to_all,size_leadership_transition5__relative_view_rank_pct
2018-01-02,ALL_A,ALL_STATUS,2018-01-02T15:00:00+08:00,2018-01-02T15:00:00+08:00,CY-006:de8795f2ff78947997930933ad3354c7aa0c208fe0c4d3c09427c0d043e78ae2,3058,,1000,True,False,1.43312473872,2.9763765048,0.718412435576,,,,,,,,,,,,,,,,,,,,,,,,0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,CHINEXT_BOARD,ALL_STATUS,2018-01-02T15:00:00+08:00,2018-01-02T15:00:00+08:00,CY-006:de8795f2ff78947997930933ad3354c7aa0c208fe0c4d3c09427c0d043e78ae2,635,,200,True,False,1.2519890433,2.34734810486,0.618303562168,,,,,,,,,,,,,,,,,,,,,,,,-0.181135695417,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,SH_A,ALL_STATUS,2018-01-02T15:00:00+08:00,2018-01-02T15:00:00+08:00,CY-006:de8795f2ff78947997930933ad3354c7aa0c208fe0c4d3c09427c0d043e78ae2,1247,,400,True,False,1.66045073485,3.36097183777,0.823980751356,,,,,,,,,,,,,,,,,,,,,,,,0.227325996129,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,SZ_A,ALL_STATUS,2018-01-02T15:00:00+08:00,2018-01-02T15:00:00+08:00,CY-006:de8795f2ff78947997930933ad3354c7aa0c208fe0c4d3c09427c0d043e78ae2,1811,,400,True,False,1.27757725962,2.66183184936,0.639225081007,,,,,,,,,,,,,,,,,,,,,,,,-0.155547479099,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,ALL_A,NON_ST,2018-01-02T15:00:00+08:00,2018-01-02T15:00:00+08:00,CY-006:de8795f2ff78947997930933ad3354c7aa0c208fe0c4d3c09427c0d043e78ae2,3015,,1000,True,False,1.44390011775,2.99220770498,0.724369569579,,,,,,,,,,,,,,,,,,,,,,,,0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,CHINEXT_BOARD,NON_ST,2018-01-02T15:00:00+08:00,2018-01-02T15:00:00+08:00,CY-006:de8795f2ff78947997930933ad3354c7aa0c208fe0c4d3c09427c0d043e78ae2,635,,200,True,False,1.2519890433,2.34734810486,0.618303562168,,,,,,,,,,,,,,,,,,,,,,,,-0.191911074447,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,SH_A,NON_ST,2018-01-02T15:00:00+08:00,2018-01-02T15:00:00+08:00,CY-006:de8795f2ff78947997930933ad3354c7aa0c208fe0c4d3c09427c0d043e78ae2,1222,,400,True,False,1.67891120107,3.38308063382,0.840011185096,,,,,,,,,,,,,,,,,,,,,,,,0.235011083319,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,SZ_A,NON_ST,2018-01-02T15:00:00+08:00,2018-01-02T15:00:00+08:00,CY-006:de8795f2ff78947997930933ad3354c7aa0c208fe0c4d3c09427c0d043e78ae2,1793,,400,True,False,1.28105825023,2.66857716998,0.644991389904,,,,,,,,,,,,,,,,,,,,,,,,-0.162841867517,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,ALL_A,ALL_STATUS,2018-01-03T15:00:00+08:00,2018-01-03T15:00:00+08:00,CY-006:de8795f2ff78947997930933ad3354c7aa0c208fe0c4d3c09427c0d043e78ae2,3066,3065,1000,True,True,1.43447206429,2.98190683436,0.718634921138,-0.070652173913,-0.10766721044,-0.0448613376835,-0.00390288336246,-0.00520915618847,-0.00287968483733,,,,0.993838376298,0.999272801169,0.990576678882,0.354321330975,0.334573588979,0.0017104589547,0.00213402614759,0.00607636983503,0.00186198195806,,,,,,0,0.75,,,0,0.75,,,0,0.75,,,,,,,0,0.75,,,0,0.5,,,0,0.5,,,,
2018-01-03,CHINEXT_BOARD,ALL_STATUS,2018-01-03T15:00:00+08:00,2018-01-03T15:00:00+08:00,CY-006:de8795f2ff78947997930933ad3354c7aa0c208fe0c4d3c09427c0d043e78ae2,635,635,200,True,True,1.24193544108,2.36143493501,0.625128120126,-0.157068062827,-0.212598425197,-0.110236220472,-0.00694423732405,-0.0101839625984,-0.00497835796015,,,,0.963495114842,0.970512890264,0.964563197304,0.401220028999,0.340761344106,0.00994624296009,0.0040664225578,0.0105190873113,0.00488014977403,,,,,,-0.192536623214,0.25,,,-0.0864158889142,0.25,,,-0.00304135396159,0.25,,,,,,,-0.0303432614559,0.25,,,0.0468986980243,1,,,0.00193239641021,1,,,,
