audit_type,stratum,market_view,denominator,horizon,scope,scope_value,n,partial_rho,low_n,high_n,tail_residual_gap
partial_rank,1,ALL_A,ALL_STATUS,3,block,A,107,-0.2954855804605796,,,
partial_rank,1,ALL_A,NON_ST,3,block,A,107,-0.28730364402188613,,,
partial_rank,1,CHINEXT_BOARD,ALL_STATUS,3,block,A,44,0.022206399302009818,,,
partial_rank,1,CHINEXT_BOARD,NON_ST,3,block,A,44,0.024212371468902615,,,
partial_rank,1,SH_A,ALL_STATUS,3,block,A,104,-0.031572113385064562,,,
partial_rank,1,SH_A,NON_ST,3,block,A,104,-0.035386036843240092,,,
partial_rank,1,SZ_A,ALL_STATUS,3,block,A,107,-0.29399202683751324,,,
partial_rank,1,SZ_A,NON_ST,3,block,A,107,-0.27355982808431062,,,
partial_rank,1,ALL_A,ALL_STATUS,3,block,B,722,-0.22447093964473017,,,
partial_rank,1,ALL_A,NON_ST,3,block,B,722,-0.23561569280590033,,,
partial_rank,1,CHINEXT_BOARD,ALL_STATUS,3,block,B,660,-0.15953058990194888,,,
partial_rank,1,CHINEXT_BOARD,NON_ST,3,block,B,656,-0.15486106393837326,,,
partial_rank,1,SH_A,ALL_STATUS,3,block,B,710,-0.23473889069621132,,,
partial_rank,1,SH_A,NON_ST,3,block,B,709,-0.2454502588711594,,,
partial_rank,1,SZ_A,ALL_STATUS,3,block,B,718,-0.17621715095735116,,,
partial_rank,1,SZ_A,NON_ST,3,block,B,718,-0.18347962070032181,,,
partial_rank,1,ALL_A,ALL_STATUS,1,cell,ALL_A:ALL_STATUS,829,-0.21687633640052673,,,
partial_rank,1,ALL_A,ALL_STATUS,3,cell,ALL_A:ALL_STATUS,829,-0.22382436107559386,,,
partial_rank,1,ALL_A,ALL_STATUS,5,cell,ALL_A:ALL_STATUS,829,-0.2228479150376117,,,
partial_rank,1,ALL_A,NON_ST,1,cell,ALL_A:NON_ST,829,-0.21889820285060749,,,
partial_rank,1,ALL_A,NON_ST,3,cell,ALL_A:NON_ST,829,-0.22909990525236429,,,
partial_rank,1,ALL_A,NON_ST,5,cell,ALL_A:NON_ST,829,-0.22548771457417069,,,
partial_rank,1,CHINEXT_BOARD,ALL_STATUS,1,cell,CHINEXT_BOARD:ALL_STATUS,704,-0.1169750140946019,,,
partial_rank,1,CHINEXT_BOARD,ALL_STATUS,3,cell,CHINEXT_BOARD:ALL_STATUS,704,-0.15983370789099599,,,
partial_rank,1,CHINEXT_BOARD,ALL_STATUS,5,cell,CHINEXT_BOARD:ALL_STATUS,704,-0.19467604428437205,,,
partial_rank,1,CHINEXT_BOARD,NON_ST,1,cell,CHINEXT_BOARD:NON_ST,700,-0.12147642972643109,,,
