period,trades,decision_dates,triggered_cohorts,affected_trades,executable_affected_trades,baseline_mean_net_payoff,candidate_mean_net_payoff,mean_net_payoff_improvement,baseline_severe_fraction,candidate_severe_fraction,severe_fraction_improvement
generation_2018_2019,730,73,24,240,240,0.012318028531,0.012408954609,0.000090926078,0.158904109589,0.141095890411,0.017808219178
generation_2020_2021,928,93,26,260,260,0.025072639210,0.021839051148,-0.003233588062,0.151939655172,0.125000000000,0.026939655172
