model,decision_dates,label_rows,mean_daily_rank_ic,median_daily_rank_ic,mean_daily_pearson_ic,annual_rank_ic,top10_mean_net_return,top10_mean_gross_return,top10_entry_execution_fraction,annual_top10_net_return,top10_strategy_economics,top10_executable_net_return,severe_loss10,severe_loss10_trade_count,top_decile_executable_net_return,top_minus_universe,top_minus_bottom,number_of_trades,opportunity_coverage,max_security_share,max_industry_share,security_hhi,industry_hhi,annual
ridge,973,1879100,0.15594877070207147,0.158303020437322,0.23320634346655408,"{'2018': 0.1709122638615946, '2019': 0.16409161159063926, '2020': 0.14831281966131832, '2021': 0.14044487806144737}",-0.003790528609706927,0.00019398127868650586,0.9979445015416238,"{'2018': -0.004818476273398996, '2019': -0.0030951666205962266, '2020': -0.0037003343665729634, '2021': -0.00355099875023117}","{'mean_daily_return': -0.003790528609706927, 'total_return': -0.9759933997002282, 'sharpe': -7.354722189356137, 'max_drawdown': -0.9759805306589072, 'win_rate': 0.18602261048304214}",-0.003794630465857987,0.009680741503604531,9710,-0.0037112055003836724,0.0014665263900470078,0.007760848074147391,9710,0.9979445015416238,0.020700308959835222,0.04335736354273945,0.0015328353349080067,0.016547753014559193,"{'2018': {'spearman_rank_ic': 0.1709122638615946, 'pearson_ic': 0.22992144097484815, 'top10': {'mean_daily_return': -0.004818476273398996, 'total_return': -0.6935422350140126, 'sharpe': -9.003605753413288, 'max_drawdown': -0.6954973092551439, 'win_rate': 0.15637860082304528}, 'severe_loss10': 0.012386457473162676, 'severe_loss10_trade_count': 2422, 'top_decile_executable_net_return': -0.004596593243245737, 'top_minus_universe': 0.0015862227629450945, 'top_minus_bottom': 0.0077720293023963325, 'number_of_trades': 2422, 'opportunity_coverage': 0.9967078189300411, 'max_security_share': 0.005780346820809248, 'max_industry_share': 0.038810900082576386, 'security_hhi': 0.001442870576009481, 'industry_hhi': 0.016482205164467474}, '2019': {'spearman_rank_ic': 0.16409161159063926, 'pearson_ic': 0.24820146754981529, 'top10': {'mean_daily_return': -0.0030951666205962266, 'total_return': -0.5326956811310526, 'sharpe': -8.226930415095056, 'max_drawdown': -0.5318476624000201, 'win_rate': 0.19262295081967212}, 'severe_loss10': 0.008617152236356175, 'severe_loss10_trade_count': 2437, 'top_decile_executable_net_return': -0.0029988568113680837, 'top_minus_universe': 0.0015004464999600344, 'top_minus_bottom': 0.008281997819822905, 'number_of_trades': 2437, 'opportunity_coverage': 0.9987704918032787, 'max_security_share': 0.023389413212966764, 'max_industry_share': 0.046368485843249894, 'security_hhi': 0.00259590511417049, 'industry_hhi': 0.016785573388242978}, '2020': {'spearman_rank_ic': 0.14831281966131832, 'pearson_ic': 0.2457472609852271, 'top10': {'mean_daily_return': -0.0037003343665729634, 'total_return': -0.6010681616216531, 'sharpe': -4.998322870273242, 'max_drawdown': -0.6002780009842544, 'win_rate': 0.24691358024691357}, 'severe_loss10': 0.010309278350515464, 'severe_loss10_trade_count': 2425, 'top_decile_executable_net_return': -0.0036006091805137167, 'top_minus_universe': 0.0015229070501283448, 'top_minus_bottom': 0.008252928161424816, 'number_of_trades': 2425, 'opportunity_coverage': 0.9979423868312757, 'max_security_share': 0.03216494845360825, 'max_industry_share': 0.06391752577319587, 'security_hhi': 0.0030250185992135195, 'industry_hhi': 0.019481432670847072}, '2021': {'spearman_rank_ic': 0.14044487806144737, 'pearson_ic': 0.2088934960267651, 'top10': {'mean_daily_return': -0.00355099875023117, 'total_return': -0.5797946876126949, 'sharpe': -12.261242633195746, 'max_drawdown': -0.576547146887513, 'win_rate': 0.14814814814814814}, 'severe_loss10': 0.00741962077493817, 'severe_loss10_trade_count': 2426, 'top_decile_executable_net_return': -0.003651694242493635, 'top_minus_universe': 0.0012563896582248753, 'top_minus_bottom': 0.006734292363786354, 'number_of_trades': 2426, 'opportunity_coverage': 0.9983539094650206, 'max_security_share': 0.021434460016488046, 'max_industry_share': 0.043693322341302555, 'security_hhi': 0.0023100935251456297, 'industry_hhi': 0.01916820321754774}}"
shallow,973,1879100,0.17446319967918536,0.17773487519267225,0.2915544665328272,"{'2018': 0.19608456084890333, '2019': 0.1872529183476541, '2020': 0.15027357394687701, '2021': 0.164189112986194}",-0.003601096106675174,0.0003866362880360084,0.9985611510791367,"{'2018': -0.004290663740408734, '2019': -0.002794575972833656, '2020': -0.0038506134044302815, '2021': -0.003471850321924492}","{'mean_daily_return': -0.003601096106675174, 'total_return': -0.9709907102914844, 'sharpe': -7.420090123478931, 'max_drawdown': -0.9710498918864314, 'win_rate': 0.2065775950668037}",-0.003610199219523816,0.007719226018937835,9716,-0.0037030318992191903,0.0014746999912114895,0.008534935342410462,9716,0.9985611510791367,0.002573075339645945,0.03468505557842733,0.0006033644511961865,0.014183524317881857,"{'2018': {'spearman_rank_ic': 0.19608456084890333, 'pearson_ic': 0.30300148419523076, 'top10': {'mean_daily_return': -0.004290663740408734, 'total_return': -0.6505719794393384, 'sharpe': -9.300759610035263, 'max_drawdown': -0.653950637232556, 'win_rate': 0.19753086419753085}, 'severe_loss10': 0.009083402146985962, 'severe_loss10_trade_count': 2422, 'top_decile_executable_net_return': -0.004390363203767998, 'top_minus_universe': 0.001792452802422834, 'top_minus_bottom': 0.00952252961593386, 'number_of_trades': 2422, 'opportunity_coverage': 0.9967078189300411, 'max_security_share': 0.004128819157720892, 'max_industry_share': 0.03509496284062758, 'security_hhi': 0.0011172700561396663, 'industry_hhi': 0.015086384715936558}, '2019': {'spearman_rank_ic': 0.1872529183476541, 'pearson_ic': 0.32375042126225856, 'top10': {'mean_daily_return': -0.002794575972833656, 'total_return': -0.49722050379438576, 'sharpe': -7.110884367211994, 'max_drawdown': -0.49812206979548546, 'win_rate': 0.22131147540983606}, 'severe_loss10': 0.008206811653672548, 'severe_loss10_trade_count': 2437, 'top_decile_executable_net_return': -0.003065669969584788, 'top_minus_universe': 0.0014336333417433302, 'top_minus_bottom': 0.009263206450112681, 'number_of_trades': 2437, 'opportunity_coverage': 0.9987704918032787, 'max_security_share': 0.005334427574887156, 'max_industry_share': 0.0344686089454247, 'security_hhi': 0.001101032856039491, 'industry_hhi': 0.014991996085515852}, '2020': {'spearman_rank_ic': 0.15027357394687701, 'pearson_ic': 0.2894095645267932, 'top10': {'mean_daily_return': -0.0038506134044302815, 'total_return': -0.6143873527128301, 'sharpe': -5.58920056510256, 'max_drawdown': -0.6136639896882667, 'win_rate': 0.25925925925925924}, 'severe_loss10': 0.006177924217462933, 'severe_loss10_trade_count': 2428, 'top_decile_executable_net_return': -0.0038965431379142652, 'top_minus_universe': 0.0012269730927277952, 'top_minus_bottom': 0.0080282341500199, 'number_of_trades': 2428, 'opportunity_coverage': 0.9991769547325103, 'max_security_share': 0.0032948929159802307, 'max_industry_share': 0.033360790774299834, 'security_hhi': 0.000966890940130113, 'industry_hhi': 0.014738471267393858}, '2021': {'spearman_rank_ic': 0.164189112986194, 'pearson_ic': 0.24992390250616434, 'top10': {'mean_daily_return': -0.003471850321924492, 'total_return': -0.5717961779939978, 'sharpe': -11.052756964703494, 'max_drawdown': -0.5711984105021082, 'win_rate': 0.14814814814814814}, 'severe_loss10': 0.007410456978180321, 'severe_loss10_trade_count': 2429, 'top_decile_executable_net_return': -0.0034621741742090293, 'top_minus_universe': 0.0014459097265094804, 'top_minus_bottom': 0.007322774153132184, 'number_of_trades': 2429, 'opportunity_coverage': 0.9995884773662551, 'max_security_share': 0.0032935364347468094, 'max_industry_share': 0.03911074516261836, 'security_hhi': 0.0009038920238011904, 'industry_hhi': 0.015613281331434815}}"
medium,973,1879100,0.17565446948740232,0.17998034333969304,0.3041684239676233,"{'2018': 0.19956363649742676, '2019': 0.1890635957541114, '2020': 0.14930138416063984, '2021': 0.16463407994785628}",-0.003750669141786889,0.00023481725800947076,0.9981500513874615,"{'2018': -0.004260764047567462, '2019': -0.003109462759550263, '2020': -0.003960007285633446, '2021': -0.0036750811837883064}","{'mean_daily_return': -0.003750669141786889, 'total_return': -0.9750843524847356, 'sharpe': -7.0726770720032865, 'max_drawdown': -0.9751604976323412, 'win_rate': 0.20349434737923947}",-0.003771085671488,0.011017298187808897,9712,-0.0036859742380594657,0.001491757652371214,0.008619721269192021,9712,0.9981500513874615,0.0031919275123558485,0.03655271828665568,0.0005638288813377157,0.014775620235093594,"{'2018': {'spearman_rank_ic': 0.19956363649742676, 'pearson_ic': 0.3249003545997434, 'top10': {'mean_daily_return': -0.004260764047567462, 'total_return': -0.6483154819802154, 'sharpe': -8.674002957942403, 'max_drawdown': -0.6544204789180745, 'win_rate': 0.18518518518518517}, 'severe_loss10': 0.01364200082678793, 'severe_loss10_trade_count': 2419, 'top_decile_executable_net_return': -0.004348364111638363, 'top_minus_universe': 0.0018344518945524694, 'top_minus_bottom': 0.009748012689917549, 'number_of_trades': 2419, 'opportunity_coverage': 0.9954732510288066, 'max_security_share': 0.004960727573377429, 'max_industry_share': 0.0434063662670525, 'security_hhi': 0.0010938961415594916, 'industry_hhi': 0.016105275156492432}, '2019': {'spearman_rank_ic': 0.1890635957541114, 'pearson_ic': 0.3418340401810983, 'top10': {'mean_daily_return': -0.003109462759550263, 'total_return': -0.5346514378694873, 'sharpe': -7.674411151803166, 'max_drawdown': -0.535959876409365, 'win_rate': 0.22131147540983606}, 'severe_loss10': 0.00943009430094301, 'severe_loss10_trade_count': 2439, 'top_decile_executable_net_return': -0.0029975447172341466, 'top_minus_universe': 0.0015017585940939712, 'top_minus_bottom': 0.009381839926516502, 'number_of_trades': 2439, 'opportunity_coverage': 0.9995901639344262, 'max_security_share': 0.006150061500615006, 'max_industry_share': 0.036490364903649035, 'security_hhi': 0.0010951934037585556, 'industry_hhi': 0.01526260855064475}, '2020': {'spearman_rank_ic': 0.14930138416063984, 'pearson_ic': 0.2955088122799973, 'top10': {'mean_daily_return': -0.003960007285633446, 'total_return': -0.6263607521317189, 'sharpe': -5.032749085433422, 'max_drawdown': -0.6253439547279174, 'win_rate': 0.26337448559670784}, 'severe_loss10': 0.009068425391591096, 'severe_loss10_trade_count': 2426, 'top_decile_executable_net_return': -0.00393312475524578, 'top_minus_universe': 0.0011903914753962823, 'top_minus_bottom': 0.007971525873925195, 'number_of_trades': 2426, 'opportunity_coverage': 0.9983539094650206, 'max_security_share': 0.0032976092333058533, 'max_industry_share': 0.03503709810387469, 'security_hhi': 0.0009008617144985387, 'industry_hhi': 0.014958858043087763}, '2021': {'spearman_rank_ic': 0.16463407994785628, 'pearson_ic': 0.2542754862737962, 'top10': {'mean_daily_return': -0.0036750811837883064, 'total_return': -0.5925371086175975, 'sharpe': -11.54124853718024, 'max_drawdown': -0.5917042565444355, 'win_rate': 0.1440329218106996}, 'severe_loss10': 0.011943986820428337, 'severe_loss10_trade_count': 2428, 'top_decile_executable_net_return': -0.003467696411415154, 'top_minus_universe': 0.0014403874893033563, 'top_minus_bottom': 0.007374370295637961, 'number_of_trades': 2428, 'opportunity_coverage': 0.9991769547325103, 'max_security_share': 0.002883031301482702, 'max_industry_share': 0.035831960461285006, 'security_hhi': 0.0008956463445415784, 'industry_hhi': 0.015997125789457965}}"
moderately_richer,973,1879100,0.17876347558597827,0.18414569914184756,0.3048104049743078,"{'2018': 0.19645585688320907, '2019': 0.1910820959130558, '2020': 0.16083400171761722, '2021': 0.16663125391921998}",-0.003554087909274919,0.00043340925030229945,0.9984583761562179,"{'2018': -0.004268792705237188, '2019': -0.0028476761945834283, '2020': -0.003368733739369646, '2021': -0.003734056042002796}","{'mean_daily_return': -0.003554087909274919, 'total_return': -0.9698662426144241, 'sharpe': -6.5405759106439785, 'max_drawdown': -0.9698784466493575, 'win_rate': 0.2343268242548818}",-0.0035618495812724097,0.012660833762223366,9715,-0.003617697823072278,0.0015600340673584028,0.00872294940290245,9715,0.9984583761562179,0.0024704065877509005,0.03674729799279465,0.0005631522583013729,0.014732453409033421,"{'2018': {'spearman_rank_ic': 0.19645585688320907, 'pearson_ic': 0.31058075970499976, 'top10': {'mean_daily_return': -0.004268792705237188, 'total_return': -0.6489400694027914, 'sharpe': -8.804101666728377, 'max_drawdown': -0.653756546056006, 'win_rate': 0.18518518518518517}, 'severe_loss10': 0.01486988847583643, 'severe_loss10_trade_count': 2421, 'top_decile_executable_net_return': -0.004446954352805201, 'top_minus_universe': 0.0017358616533856297, 'top_minus_bottom': 0.009550379036914497, 'number_of_trades': 2421, 'opportunity_coverage': 0.9962962962962963, 'max_security_share': 0.004543577034283354, 'max_industry_share': 0.0375877736472532, 'security_hhi': 0.0011006201587684245, 'industry_hhi': 0.016005313550492124}, '2019': {'spearman_rank_ic': 0.1910820959130558, 'pearson_ic': 0.3412703706355544, 'top10': {'mean_daily_return': -0.0028476761945834283, 'total_return': -0.5039766228698819, 'sharpe': -6.8836631308362355, 'max_drawdown': -0.5043994044418835, 'win_rate': 0.26639344262295084}, 'severe_loss10': 0.009433962264150943, 'severe_loss10_trade_count': 2438, 'top_decile_executable_net_return': -0.002955505054939847, 'top_minus_universe': 0.0015437982563882705, 'top_minus_bottom': 0.009421856704810674, 'number_of_trades': 2438, 'opportunity_coverage': 0.9991803278688525, 'max_security_share': 0.0036915504511894994, 'max_industry_share': 0.03937653814602133, 'security_hhi': 0.0010326650564853317, 'industry_hhi': 0.015281693126535618}, '2020': {'spearman_rank_ic': 0.16083400171761722, 'pearson_ic': 0.3118369534484758, 'top10': {'mean_daily_return': -0.003368733739369646, 'total_return': -0.5686354588972165, 'sharpe': -4.226144009326002, 'max_drawdown': -0.5680155922024546, 'win_rate': 0.30864197530864196}, 'severe_loss10': 0.010712814173877214, 'severe_loss10_trade_count': 2427, 'top_decile_executable_net_return': -0.003621290845598555, 'top_minus_universe': 0.0015022253850435065, 'top_minus_bottom': 0.008475857218083018, 'number_of_trades': 2427, 'opportunity_coverage': 0.9987654320987654, 'max_security_share': 0.004532344458178822, 'max_industry_share': 0.03543469303667079, 'security_hhi': 0.0009698948904212313, 'industry_hhi': 0.014602410153999885}, '2021': {'spearman_rank_ic': 0.16663125391921998, 'pearson_ic': 0.25540349509724963, 'top10': {'mean_daily_return': -0.003734056042002796, 'total_return': -0.5988327814649351, 'sharpe': -10.003175045438486, 'max_drawdown': -0.5969041800278312, 'win_rate': 0.17695473251028807}, 'severe_loss10': 0.015644298065047343, 'severe_loss10_trade_count': 2429, 'top_decile_executable_net_return': -0.0034497661120653916, 'top_minus_universe': 0.0014583177886531178, 'top_minus_bottom': 0.007440828490065362, 'number_of_trades': 2429, 'opportunity_coverage': 0.9995884773662551, 'max_security_share': 0.0037052284890901604, 'max_industry_share': 0.037463976945244955, 'security_hhi': 0.000947959514179647, 'industry_hhi': 0.016635647108215013}}"
