block,triggered_event_dates,continued_event_dates,triggered_trades,continued_trades,triggered_h20_mean_trade_payoff,continued_h20_mean_trade_payoff,continued_minus_triggered,triggered_severe_loss_fraction,continued_severe_loss_fraction
2018-2020,18,29,36,58,-0.0384932438812,0.0748523434389,0.11334558732,0.25,0.0172413793103
2021-2023,20,24,40,48,0.00486584104002,0.0782512986892,0.0733854576492,0.1,0.0625
