period,matched_events,industries,decision_dates,median_industry_size,mean_match_distance,mean_delta_w1_3_median_abnormal,mean_delta_w1_3_mean_abnormal,mean_delta_w1_3_breadth_expansion,mean_delta_w1_3_new_trigger_fraction,mean_delta_w1_3_median_worst_abnormal,mean_delta_w4_10_median_abnormal,mean_delta_remainder_median_abnormal,mean_delta_reverse_median_abnormal
full,3526,81,1136,10,1.162068211,0.000293770817,0.0003655935624,0.06304157385,0.002948629431,0.0001272707139,7.4644848e-05,0.000668079794,0.0004034298345
early,1952,62,586,10,1.071362978,0.0003285459998,0.0004226241744,0.07016148528,0.004456331678,0.0001233618971,1.946690702e-05,0.0009482063401,0.0003466240985
late,1574,66,550,10,1.274556531,0.000250644288,0.0002948669075,0.05421179805,0.001078848754,0.0001321182428,0.0001430739082,0.0003206801638,0.0004738776087
