role,market_view,denominator,event_year,pit_observations,raw_up_crossings,raw_down_crossings,declustered_up_episodes,declustered_down_episodes,matched_up_episodes,matched_down_episodes
closing_rejection_depth,CHINEXT_BOARD,NON_ST,2018,0,0,0,0,0,0,0
closing_rejection_depth,CHINEXT_BOARD,NON_ST,2019,0,0,0,0,0,0,0
closing_rejection_depth,CHINEXT_BOARD,NON_ST,2020,187,50,51,3,2,0,0
closing_rejection_depth,CHINEXT_BOARD,NON_ST,2021,243,57,56,3,7,0,0
closing_rejection_depth,CHINEXT_BOARD,NON_ST,2022,242,56,57,6,5,1,0
closing_rejection_depth,CHINEXT_BOARD,NON_ST,2023,237,52,51,10,1,0,1
closing_rejection_depth,SH_A,ALL_STATUS,2018,0,0,0,0,0,0,0
closing_rejection_depth,SH_A,ALL_STATUS,2019,0,0,0,0,0,0,0
closing_rejection_depth,SH_A,ALL_STATUS,2020,187,44,44,2,4,0,0
closing_rejection_depth,SH_A,ALL_STATUS,2021,243,63,63,3,5,0,0
closing_rejection_depth,SH_A,ALL_STATUS,2022,242,57,57,6,7,1,0
closing_rejection_depth,SH_A,ALL_STATUS,2023,237,54,53,6,3,0,2
closing_rejection_depth,SH_A,NON_ST,2018,0,0,0,0,0,0,0
closing_rejection_depth,SH_A,NON_ST,2019,0,0,0,0,0,0,0
closing_rejection_depth,SH_A,NON_ST,2020,187,46,46,2,3,0,0
closing_rejection_depth,SH_A,NON_ST,2021,243,62,62,3,5,0,0
closing_rejection_depth,SH_A,NON_ST,2022,242,57,57,6,7,2,0
closing_rejection_depth,SH_A,NON_ST,2023,237,54,53,6,2,0,1
closing_rejection_depth,SZ_A,ALL_STATUS,2018,0,0,0,0,0,0,0
closing_rejection_depth,SZ_A,ALL_STATUS,2019,0,0,0,0,0,0,0
closing_rejection_depth,SZ_A,ALL_STATUS,2020,187,46,47,3,3,1,1
closing_rejection_depth,SZ_A,ALL_STATUS,2021,243,62,62,3,6,0,0
closing_rejection_depth,SZ_A,ALL_STATUS,2022,242,48,47,5,8,3,0
closing_rejection_depth,SZ_A,ALL_STATUS,2023,237,45,45,12,2,0,2
closing_rejection_depth,SZ_A,NON_ST,2018,0,0,0,0,0,0,0
closing_rejection_depth,SZ_A,NON_ST,2019,0,0,0,0,0,0,0
closing_rejection_depth,SZ_A,NON_ST,2020,187,46,47,3,3,0,2
closing_rejection_depth,SZ_A,NON_ST,2021,243,60,60,4,5,0,0
closing_rejection_depth,SZ_A,NON_ST,2022,242,47,46,5,7,5,0
closing_rejection_depth,SZ_A,NON_ST,2023,237,48,48,10,2,0,1
formation_depth,ALL_A,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_depth,ALL_A,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_depth,ALL_A,ALL_STATUS,2020,187,21,21,2,8,2,3
formation_depth,ALL_A,ALL_STATUS,2021,243,29,30,3,11,3,0
formation_depth,ALL_A,ALL_STATUS,2022,242,32,32,5,9,3,9
formation_depth,ALL_A,ALL_STATUS,2023,237,22,21,10,2,0,2
formation_depth,ALL_A,NON_ST,2018,0,0,0,0,0,0,0
formation_depth,ALL_A,NON_ST,2019,0,0,0,0,0,0,0
formation_depth,ALL_A,NON_ST,2020,187,23,23,2,9,2,8
formation_depth,ALL_A,NON_ST,2021,243,29,30,3,11,3,0
formation_depth,ALL_A,NON_ST,2022,242,31,31,5,9,3,7
formation_depth,ALL_A,NON_ST,2023,237,23,22,9,2,0,2
formation_depth,CHINEXT_BOARD,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_depth,CHINEXT_BOARD,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_depth,CHINEXT_BOARD,ALL_STATUS,2020,187,21,22,4,4,3,0
formation_depth,CHINEXT_BOARD,ALL_STATUS,2021,243,30,29,4,7,4,0
formation_depth,CHINEXT_BOARD,ALL_STATUS,2022,242,33,33,10,6,7,6
formation_depth,CHINEXT_BOARD,ALL_STATUS,2023,237,29,30,9,4,5,4
formation_depth,CHINEXT_BOARD,NON_ST,2018,0,0,0,0,0,0,0
formation_depth,CHINEXT_BOARD,NON_ST,2019,0,0,0,0,0,0,0
formation_depth,CHINEXT_BOARD,NON_ST,2020,187,22,23,4,4,3,0
formation_depth,CHINEXT_BOARD,NON_ST,2021,243,31,30,3,7,3,0
formation_depth,CHINEXT_BOARD,NON_ST,2022,242,34,34,10,6,9,5
formation_depth,CHINEXT_BOARD,NON_ST,2023,237,29,30,9,3,3,3
formation_depth,SH_A,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_depth,SH_A,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_depth,SH_A,ALL_STATUS,2020,187,22,22,4,4,2,3
formation_depth,SH_A,ALL_STATUS,2021,243,29,30,2,12,2,0
formation_depth,SH_A,ALL_STATUS,2022,242,35,35,9,4,9,2
formation_depth,SH_A,ALL_STATUS,2023,237,22,21,6,2,0,2
formation_depth,SH_A,NON_ST,2018,0,0,0,0,0,0,0
formation_depth,SH_A,NON_ST,2019,0,0,0,0,0,0,0
formation_depth,SH_A,NON_ST,2020,187,23,23,5,5,2,0
formation_depth,SH_A,NON_ST,2021,243,27,28,3,12,3,0
formation_depth,SH_A,NON_ST,2022,242,36,36,9,4,9,0
formation_depth,SH_A,NON_ST,2023,237,23,22,7,2,0,2
formation_depth,SZ_A,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_depth,SZ_A,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_depth,SZ_A,ALL_STATUS,2020,187,28,29,5,7,4,0
formation_depth,SZ_A,ALL_STATUS,2021,243,40,39,3,5,3,0
formation_depth,SZ_A,ALL_STATUS,2022,242,32,32,6,5,6,1
formation_depth,SZ_A,ALL_STATUS,2023,237,19,19,11,4,4,4
formation_depth,SZ_A,NON_ST,2018,0,0,0,0,0,0,0
formation_depth,SZ_A,NON_ST,2019,0,0,0,0,0,0,0
formation_depth,SZ_A,NON_ST,2020,187,29,30,5,7,2,0
formation_depth,SZ_A,NON_ST,2021,243,36,35,3,7,3,0
formation_depth,SZ_A,NON_ST,2022,242,34,34,6,5,4,1
formation_depth,SZ_A,NON_ST,2023,237,22,22,10,5,0,5
formation_diffusion,ALL_A,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_diffusion,ALL_A,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_diffusion,ALL_A,ALL_STATUS,2020,187,16,15,4,10,4,6
formation_diffusion,ALL_A,ALL_STATUS,2021,243,25,26,5,8,5,1
formation_diffusion,ALL_A,ALL_STATUS,2022,242,19,19,4,8,0,7
formation_diffusion,ALL_A,ALL_STATUS,2023,237,23,23,10,4,2,4
formation_diffusion,ALL_A,NON_ST,2018,0,0,0,0,0,0,0
formation_diffusion,ALL_A,NON_ST,2019,0,0,0,0,0,0,0
formation_diffusion,ALL_A,NON_ST,2020,187,17,16,4,10,4,6
formation_diffusion,ALL_A,NON_ST,2021,243,24,24,4,9,4,4
formation_diffusion,ALL_A,NON_ST,2022,242,21,22,4,8,0,5
formation_diffusion,ALL_A,NON_ST,2023,237,23,23,10,4,1,4
formation_diffusion,CHINEXT_BOARD,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_diffusion,CHINEXT_BOARD,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_diffusion,CHINEXT_BOARD,ALL_STATUS,2020,179,18,19,2,6,0,5
formation_diffusion,CHINEXT_BOARD,ALL_STATUS,2021,243,27,26,6,9,6,9
formation_diffusion,CHINEXT_BOARD,ALL_STATUS,2022,239,19,20,4,7,4,6
formation_diffusion,CHINEXT_BOARD,ALL_STATUS,2023,237,29,29,8,6,3,6
formation_diffusion,CHINEXT_BOARD,NON_ST,2018,0,0,0,0,0,0,0
formation_diffusion,CHINEXT_BOARD,NON_ST,2019,0,0,0,0,0,0,0
formation_diffusion,CHINEXT_BOARD,NON_ST,2020,179,18,19,2,6,0,5
