sequence_id,target_year,block_id,market_view,market_sequence_rank,symbol,identity_view,level_horizon,path,gate_family,tested_day_count,recovered_tested_day_count,unique_tested_level_count,repeated_test_sequence,twice_recovered_sequence,constant_test_level,constant_level_repeated_test,constant_level_twice_recovered,constant_level_bits
2018|01|SZ_A|05|000697.SZ,2018,1,SZ_A,5,000697.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|01|SZ_A|06|000668.SZ,2018,1,SZ_A,6,000668.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|01|SZ_A|07|002513.SZ,2018,1,SZ_A,7,002513.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|01|SZ_A|08|300175.SZ,2018,1,SZ_A,8,300175.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|01|SZ_A|09|002376.SZ,2018,1,SZ_A,9,002376.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|01|SZ_A|10|002570.SZ,2018,1,SZ_A,10,002570.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|02|ALL_A|01|300384.SZ,2018,2,ALL_A,1,300384.SZ,L10_CONT,10,cont,level_neighbor,3,3,3,True,True,False,False,False,
2018|02|ALL_A|02|600888.SH,2018,2,ALL_A,2,600888.SH,L10_CONT,10,cont,level_neighbor,2,2,2,True,True,False,False,False,
2018|02|ALL_A|03|002183.SZ,2018,2,ALL_A,3,002183.SZ,L10_CONT,10,cont,level_neighbor,3,3,3,True,True,False,False,False,
2018|02|ALL_A|04|002583.SZ,2018,2,ALL_A,4,002583.SZ,L10_CONT,10,cont,level_neighbor,3,3,3,True,True,False,False,False,
2018|02|ALL_A|05|300483.SZ,2018,2,ALL_A,5,300483.SZ,L10_CONT,10,cont,level_neighbor,2,2,2,True,True,False,False,False,
2018|02|ALL_A|06|603260.SH,2018,2,ALL_A,6,603260.SH,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|02|ALL_A|07|002631.SZ,2018,2,ALL_A,7,002631.SZ,L10_CONT,10,cont,level_neighbor,3,3,3,True,True,False,False,False,
2018|02|ALL_A|08|002531.SZ,2018,2,ALL_A,8,002531.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|02|ALL_A|09|600403.SH,2018,2,ALL_A,9,600403.SH,L10_CONT,10,cont,level_neighbor,3,3,3,True,True,False,False,False,
2018|02|ALL_A|10|002733.SZ,2018,2,ALL_A,10,002733.SZ,L10_CONT,10,cont,level_neighbor,3,3,3,True,True,False,False,False,
2018|02|CHINEXT_BOARD|01|300583.SZ,2018,2,CHINEXT_BOARD,1,300583.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|02|CHINEXT_BOARD|02|300475.SZ,2018,2,CHINEXT_BOARD,2,300475.SZ,L10_CONT,10,cont,level_neighbor,2,2,2,True,True,False,False,False,
2018|02|CHINEXT_BOARD|03|300730.SZ,2018,2,CHINEXT_BOARD,3,300730.SZ,L10_CONT,10,cont,level_neighbor,2,2,2,True,True,False,False,False,
2018|02|CHINEXT_BOARD|04|300385.SZ,2018,2,CHINEXT_BOARD,4,300385.SZ,L10_CONT,10,cont,level_neighbor,2,2,2,True,True,False,False,False,
2018|02|CHINEXT_BOARD|05|300685.SZ,2018,2,CHINEXT_BOARD,5,300685.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|02|CHINEXT_BOARD|06|300616.SZ,2018,2,CHINEXT_BOARD,6,300616.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|02|CHINEXT_BOARD|07|300589.SZ,2018,2,CHINEXT_BOARD,7,300589.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|02|CHINEXT_BOARD|08|300384.SZ,2018,2,CHINEXT_BOARD,8,300384.SZ,L10_CONT,10,cont,level_neighbor,3,3,3,True,True,False,False,False,
2018|02|CHINEXT_BOARD|09|300163.SZ,2018,2,CHINEXT_BOARD,9,300163.SZ,L10_CONT,10,cont,level_neighbor,4,4,4,True,True,False,False,False,
2018|02|CHINEXT_BOARD|10|300496.SZ,2018,2,CHINEXT_BOARD,10,300496.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|02|SH_A|01|601229.SH,2018,2,SH_A,1,601229.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|02|SH_A|02|601901.SH,2018,2,SH_A,2,601901.SH,L10_CONT,10,cont,level_neighbor,4,4,4,True,True,False,False,False,
2018|02|SH_A|03|601168.SH,2018,2,SH_A,3,601168.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|02|SH_A|04|600600.SH,2018,2,SH_A,4,600600.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|02|SH_A|05|603966.SH,2018,2,SH_A,5,603966.SH,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|02|SH_A|06|603801.SH,2018,2,SH_A,6,603801.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|02|SH_A|07|600284.SH,2018,2,SH_A,7,600284.SH,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|02|SH_A|08|600696.SH,2018,2,SH_A,8,600696.SH,L10_CONT,10,cont,level_neighbor,2,2,2,True,True,False,False,False,
2018|02|SH_A|09|603032.SH,2018,2,SH_A,9,603032.SH,L10_CONT,10,cont,level_neighbor,5,2,5,True,True,False,False,False,
2018|02|SH_A|10|600715.SH,2018,2,SH_A,10,600715.SH,L10_CONT,10,cont,level_neighbor,3,1,3,True,False,False,False,False,
2018|02|SZ_A|01|002598.SZ,2018,2,SZ_A,1,002598.SZ,L10_CONT,10,cont,level_neighbor,2,2,2,True,True,False,False,False,
2018|02|SZ_A|02|002791.SZ,2018,2,SZ_A,2,002791.SZ,L10_CONT,10,cont,level_neighbor,3,2,3,True,True,False,False,False,
2018|02|SZ_A|03|002727.SZ,2018,2,SZ_A,3,002727.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|02|SZ_A|04|300245.SZ,2018,2,SZ_A,4,300245.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|02|SZ_A|05|002415.SZ,2018,2,SZ_A,5,002415.SZ,L10_CONT,10,cont,level_neighbor,2,1,2,True,False,False,False,False,
2018|02|SZ_A|06|002688.SZ,2018,2,SZ_A,6,002688.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|02|SZ_A|07|002404.SZ,2018,2,SZ_A,7,002404.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|02|SZ_A|08|002694.SZ,2018,2,SZ_A,8,002694.SZ,L10_CONT,10,cont,level_neighbor,2,1,2,True,False,False,False,False,
2018|02|SZ_A|09|002364.SZ,2018,2,SZ_A,9,002364.SZ,L10_CONT,10,cont,level_neighbor,2,2,2,True,True,False,False,False,
2018|02|SZ_A|10|002545.SZ,2018,2,SZ_A,10,002545.SZ,L10_CONT,10,cont,level_neighbor,2,2,2,True,True,False,False,False,
2018|03|ALL_A|01|000638.SZ,2018,3,ALL_A,1,000638.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|ALL_A|02|300688.SZ,2018,3,ALL_A,2,300688.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|ALL_A|03|002681.SZ,2018,3,ALL_A,3,002681.SZ,L10_CONT,10,cont,level_neighbor,2,2,2,True,True,False,False,False,
2018|03|ALL_A|04|000581.SZ,2018,3,ALL_A,4,000581.SZ,L10_CONT,10,cont,level_neighbor,2,2,2,True,True,False,False,False,
2018|03|ALL_A|05|000538.SZ,2018,3,ALL_A,5,000538.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|ALL_A|06|600983.SH,2018,3,ALL_A,6,600983.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|ALL_A|07|002846.SZ,2018,3,ALL_A,7,002846.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|ALL_A|08|002624.SZ,2018,3,ALL_A,8,002624.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|ALL_A|09|000068.SZ,2018,3,ALL_A,9,000068.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|ALL_A|10|300201.SZ,2018,3,ALL_A,10,300201.SZ,L10_CONT,10,cont,level_neighbor,3,2,3,True,True,False,False,False,
2018|03|CHINEXT_BOARD|01|300573.SZ,2018,3,CHINEXT_BOARD,1,300573.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|CHINEXT_BOARD|02|300729.SZ,2018,3,CHINEXT_BOARD,2,300729.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|CHINEXT_BOARD|03|300553.SZ,2018,3,CHINEXT_BOARD,3,300553.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|CHINEXT_BOARD|04|300057.SZ,2018,3,CHINEXT_BOARD,4,300057.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|03|CHINEXT_BOARD|05|300203.SZ,2018,3,CHINEXT_BOARD,5,300203.SZ,L10_CONT,10,cont,level_neighbor,4,3,4,True,True,False,False,False,
