family,symbol,event_id,effective_date,fill_date,fill_price,shares
industry_diffusion_acceleration,000488.SZ,cninfo:distribution:ee30eacab9de8051f06e536b1fa77604,2018-08-10,2018-08-08,12.36,19867.64083170827
industry_diffusion_acceleration,603027.SH,cninfo:distribution:2a884168edf26bc883ceea246e9a451e,2019-05-23,2019-05-21,24.75,10113.930728329273
industry_diffusion_acceleration,603517.SH,cninfo:distribution:d0eee38e477dd3beb15f52cef370a094,2019-06-03,2019-05-30,47.7,5136.0652414345595
industry_diffusion_acceleration,603045.SH,cninfo:distribution:cb5d8c25cdae879bd47b892c07139799,2019-06-05,2019-05-31,29.13,10737.46879482743
industry_diffusion_acceleration,002905.SZ,cninfo:distribution:1507f137e3afc6513e54d116d36e1225,2020-05-21,2020-05-18,13.42,19107.784215228377
industry_diffusion_acceleration,603368.SH,cninfo:distribution:0d715e740cf32b9921fa6b9ba9c13b31,2020-06-24,2020-06-22,33.84,7844.409538043825
industry_diffusion_acceleration,300722.SZ,cninfo:distribution:e919332bb57111d173c90e41a8e5585c,2021-05-14,2021-05-11,43.5,7196.772072344383
industry_diffusion_acceleration,603317.SH,cninfo:distribution:15ab5aa3638fbb59efe77fb0f2682e52,2021-05-24,2021-05-20,46.01,7756.3709468194675
industry_diffusion_acceleration,600740.SH,cninfo:distribution:7899efc5dd3b201087334225d2881312,2021-05-28,2021-05-26,6.67,46714.4549125577
industry_diffusion_acceleration,600295.SH,cninfo:distribution:e5bc519372e04034a35f18062013d221,2022-06-13,2022-06-09,30.12,11496.536431791057
industry_diffusion_acceleration,300855.SZ,cninfo:distribution:1cba20728f3b1e50a658bac75cb9761f,2022-06-16,2022-06-13,58.91,5448.945636742733
industry_diffusion_acceleration,603219.SH,cninfo:distribution:4d82545312d9f5f00e29c68a45331a33,2023-05-05,2023-04-27,19.79,17185.80070567989
industry_diffusion_acceleration,301101.SZ,cninfo:distribution:1edee860ba1d5175d8a19c4b9a6daa3d,2023-05-23,2023-05-18,72.0,4095.3543700936693
industry_diffusion_acceleration,000657.SZ,cninfo:distribution:446d5fc0815fd02338708f0564e37fda,2023-06-09,2023-06-06,12.45,24311.81139412969
