step,feature,operator,threshold,threshold_source,n,years,pooled_rate,pooled_lift,median_year_lift,positive_year_lift_count,incremental_rate_gain,eligible,selected
1,collapse_leg_duration_sessions,>=,23.799999999999997,Q30,299,7,0.8896321070234113,0.009070046133481613,-0.0045787545787545625,3,0.009070046133481613,False,False
1,collapse_leg_duration_sessions,>=,62.0,Q50,216,6,0.8935185185185185,0.012956457628588769,-0.008135359277584742,3,0.012956457628588769,False,False
1,collapse_leg_duration_sessions,>=,99.0,Q70,131,5,0.8854961832061069,0.004934122316177181,-0.031746031746031744,2,0.004934122316177181,False,False
1,peak_to_gap_sessions,>=,15.799999999999997,Q30,299,7,0.8862876254180602,0.005725564528130445,-0.011031797534068799,2,0.005725564528130445,False,False
1,peak_to_gap_sessions,>=,60.0,Q50,214,6,0.8925233644859814,0.011961303596051631,-0.008938982889507618,3,0.011961303596051631,False,False
1,peak_to_gap_sessions,>=,94.19999999999999,Q70,128,6,0.8828125,0.002250439110070279,-0.010305677590937368,3,0.002250439110070279,False,False
1,collapse_drawdown,>=,0.37755810263415285,Q30,299,7,0.8896321070234113,0.009070046133481613,0.0,3,0.009070046133481613,False,False
1,collapse_drawdown,>=,0.4471318822023044,Q50,214,7,0.9112149532710281,0.030652892381098362,0.051948051948051965,7,0.030652892381098362,True,False
1,collapse_drawdown,>=,0.5192974179872115,Q70,128,6,0.921875,0.04131293911007028,0.0705421580707622,6,0.04131293911007028,True,False
1,decline_path_efficiency,>=,0.2739275132394904,Q30,299,7,0.8762541806020067,-0.0043078802879230604,-0.005228398458998362,3,-0.0043078802879230604,False,False
1,decline_path_efficiency,>=,0.33163265306122514,Q50,214,7,0.8644859813084113,-0.016076079581518465,-0.007575757575757569,3,-0.016076079581518465,False,False
1,decline_path_efficiency,>=,0.45103337783711606,Q70,128,7,0.875,-0.005562060889929721,0.04195804195804198,5,-0.005562060889929721,False,False
1,max_interim_rebound_fraction,<=,0.14255792930279018,Q30,128,7,0.875,-0.005562060889929721,0.008814102564102533,4,-0.005562060889929721,False,False
