family,track,leg,trade_date,cal_idx,decision_at,available_at,symbol,industry,signal_score,signal_rank,candidate_count,avg_amount20,natural_horizon,rebalance_sessions,entry_status,status_h5,status_h20,status_h120,gross_return_h5,net_return_h5,adverse_excursion_h5,entry_amount_h5,gross_return_h20,net_return_h20,adverse_excursion_h20,entry_amount_h20
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,601601.SH,保险Ⅱ,,1,1229,556931490.65,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.022573363431151128,0.018491234235817222,-0.02354079329248626,304654785.0,0.09674298613350518,0.09236477061999837,-0.02354079329248626,304654785.0
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,002488.SZ,汽车零部件,,2,1229,55772082.12099999,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.07949125596184414,0.07518190963065918,0.0,29496065.15,0.8219395866454691,0.814666374722733,0.0,29496065.15
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,603508.SH,计算机设备,,3,1229,50320938.75,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.019961519961519958,-0.0238738492231505,-0.042328042328042326,58758639.0,0.11207311207311221,0.10763369845206183,-0.042328042328042326,58758639.0
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,601619.SH,电力,,4,1229,196353931.75,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.08823529411764719,0.08389104144651882,-0.01764705882352935,202135636.0,0.21372549019607856,0.20888027865836967,-0.01764705882352935,202135636.0
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,000977.SZ,计算机设备,,5,1229,482020764.56799996,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.12792056074766345,0.12341788385845098,-0.007009345794392607,921579118.45,0.7044392523364484,0.6976351036245265,-0.007009345794392607,921579118.45
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,601318.SH,保险Ⅱ,,6,1229,3340821811.85,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.025196850393700787,0.021104248196520237,-0.010236220472440882,2771783993.0,0.10692913385826786,0.10251025508039047,-0.010236220472440882,2771783993.0
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,002786.SZ,专用设备,,7,1229,61258820.61149999,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.020689655172414056,0.01661504577052786,-0.08620689655172409,68508017.42,0.17586206896551748,0.1711680088099663,-0.08620689655172409,68508017.42
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,600702.SH,白酒Ⅱ,,8,1229,309489734.85,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.09142624949207634,0.08706925847613989,-0.019097927671678172,213818099.0,0.12718407151564404,0.12268433470320628,-0.019097927671678172,213818099.0
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,002508.SZ,厨卫电器,,9,1229,210421654.243,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.04790905399918799,0.04372578432254448,0.0,267321334.55,0.13154689403166886,0.1270297407620813,-0.01624035728786033,267321334.55
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,600080.SH,中药Ⅱ,,10,1229,75263911.2,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.1327272727272728,0.1282054073670842,-0.0018181818181818299,87962866.0,0.5090909090909093,0.5030665940845582,-0.0018181818181818299,87962866.0
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,600519.SH,白酒Ⅱ,,11,1229,2413521198.85,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.057557672443475205,0.05333588532793243,-0.012710891770916999,2121326140.0,0.07396992998967078,0.06968262487993138,-0.012710891770916999,2121326140.0
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,600640.SH,广告营销,,12,1229,63212065.7,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.07361963190184051,0.06933372518766134,-0.007157464212678821,21757886.0,0.30368098159509205,0.2984766662993035,-0.007157464212678821,21757886.0
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,002356.SZ,一般零售,,13,1229,63749890.39350001,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.17744916820702406,0.1727487723259582,0.0,64582340.78,0.7393715341959335,0.7324279352570275,0.0,64582340.78
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,600643.SH,多元金融,,14,1229,74169999.7,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.07904191616766476,0.07473436360811303,-0.003592814371257358,62701972.0,0.5485029940119761,0.5423213453332856,-0.003592814371257358,62701972.0
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,002086.SZ,医疗器械,,15,1229,74077874.10800001,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.12957746478873244,0.12506817351213062,-0.0028169014084505895,50031728.44,0.40845070422535223,0.4028281465238539,-0.0028169014084505895,50031728.44
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,300308.SZ,通信设备,,16,1229,162520808.026,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.16205022003624125,0.15741129700216439,-0.0038829924928813764,326071303.22,0.536888428682371,0.5307531455339383,-0.0038829924928813764,326071303.22
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,002648.SZ,化学原料,,17,1229,53463251.900000006,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.12274024738344447,0.11825825038790172,0.0,97809360.54,0.31493815413891535,0.3096889000305765,0.0,97809360.54
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,002328.SZ,汽车零部件,,18,1229,64669400.065499984,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.10114503816793885,0.09674924959241804,0.0,24665889.0,0.4942748091603053,0.4883096402614615,0.0,24665889.0
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,600771.SH,中药Ⅱ,,19,1229,86330509.0,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.10776942355889707,0.10334719033111717,-0.009607351712614842,74936820.0,0.24812030075187952,0.2431377845812135,-0.009607351712614842,74936820.0
date_control,control,control,2019-01-31,264,2019-01-31 15:00:00,2019-01-31 15:00:00,000519.SZ,地面兵装Ⅱ,,20,1229,109797308.41200002,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.08716323296355011,0.08282325997766748,0.0,99452766.99,0.30903328050713164,0.3038075987486202,0.0,99452766.99
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,600055.SH,医疗器械,,1,1776,68020731.7,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.022019741837509432,-0.025923854644545274,-0.054669703872437414,99047702.0,-0.016704631738800324,-0.020629962550222314,-0.07365223993925596,99047702.0
