market_view,denominator,event_year,date_cells,broad_complete_cells,topology_complete_cells,minimum_anchor_crossing_count,minimum_crossing_response_count,minimum_crossing_retention,minimum_noncrossing_response_count
ALL_A,ALL_STATUS,2018,203,203,203,19,19,0.96470588235294119,1499
ALL_A,ALL_STATUS,2019,244,244,243,24,23,0.95744680851063835,769
ALL_A,ALL_STATUS,2020,243,243,243,40,40,0.98484848484848486,1196
ALL_A,ALL_STATUS,2021,243,243,243,97,97,0.98636363636363633,2979
ALL_A,ALL_STATUS,2022,242,242,242,35,35,0.95454545454545459,2511
ALL_A,ALL_STATUS,2023,242,237,237,79,78,0.98090692124105017,2429
ALL_A,NON_ST,2018,203,203,203,19,19,0.96341463414634143,1469
ALL_A,NON_ST,2019,244,244,243,23,22,0.95652173913043481,744
ALL_A,NON_ST,2020,243,243,243,37,37,0.98455598455598459,1079
ALL_A,NON_ST,2021,243,243,243,92,92,0.98571428571428577,2877
ALL_A,NON_ST,2022,242,242,242,34,34,0.95348837209302328,2459
ALL_A,NON_ST,2023,242,237,237,63,63,0.98076923076923073,2383
CHINEXT_BOARD,ALL_STATUS,2018,203,203,203,4,4,1,154
CHINEXT_BOARD,ALL_STATUS,2019,244,244,244,2,2,1,175
CHINEXT_BOARD,ALL_STATUS,2020,243,243,243,7,7,0.96153846153846156,226
CHINEXT_BOARD,ALL_STATUS,2021,243,243,243,16,16,0.96226415094339623,622
CHINEXT_BOARD,ALL_STATUS,2022,242,242,242,2,2,0.95238095238095233,576
CHINEXT_BOARD,ALL_STATUS,2023,242,237,237,12,12,0.98245614035087714,526
CHINEXT_BOARD,NON_ST,2018,203,203,203,4,4,1,154
CHINEXT_BOARD,NON_ST,2019,244,244,244,2,2,1,175
CHINEXT_BOARD,NON_ST,2020,243,243,243,7,7,0.96153846153846156,226
CHINEXT_BOARD,NON_ST,2021,243,243,243,16,16,0.96226415094339623,615
CHINEXT_BOARD,NON_ST,2022,242,242,242,2,2,0.95238095238095233,573
CHINEXT_BOARD,NON_ST,2023,242,237,237,12,12,0.98245614035087714,522
SH_A,ALL_STATUS,2018,203,203,203,6,6,0.90322580645161288,691
SH_A,ALL_STATUS,2019,244,244,242,8,8,0.89473684210526316,279
SH_A,ALL_STATUS,2020,243,243,243,17,17,0.96319018404907975,456
SH_A,ALL_STATUS,2021,243,243,243,43,43,0.96969696969696972,1253
SH_A,ALL_STATUS,2022,242,242,242,8,8,0.95999999999999996,1039
SH_A,ALL_STATUS,2023,242,237,237,27,27,0.93333333333333335,1096
SH_A,NON_ST,2018,203,203,202,6,6,0.89655172413793105,677
SH_A,NON_ST,2019,244,244,242,8,8,0.89473684210526316,267
SH_A,NON_ST,2020,243,243,243,16,16,0.96250000000000002,407
SH_A,NON_ST,2021,243,243,243,42,42,0.96842105263157896,1210
SH_A,NON_ST,2022,242,242,242,8,8,0.95999999999999996,1025
SH_A,NON_ST,2023,242,237,237,25,25,0.93333333333333335,1079
SZ_A,ALL_STATUS,2018,203,203,203,8,8,0.989247311827957,772
SZ_A,ALL_STATUS,2019,244,244,244,14,14,1,490
SZ_A,ALL_STATUS,2020,243,243,243,21,21,0.98571428571428577,705
SZ_A,ALL_STATUS,2021,243,243,243,53,53,0.9831223628691983,1665
SZ_A,ALL_STATUS,2022,242,242,242,19,18,0.94736842105263153,1472
SZ_A,ALL_STATUS,2023,242,237,237,40,40,0.97959183673469385,1333
SZ_A,NON_ST,2018,203,203,203,8,8,1,760
SZ_A,NON_ST,2019,244,244,244,13,13,1,477
SZ_A,NON_ST,2020,243,243,243,21,21,0.9850746268656716,643
SZ_A,NON_ST,2021,243,243,243,49,49,0.98636363636363633,1612
SZ_A,NON_ST,2022,242,242,242,18,17,0.94444444444444442,1434
SZ_A,NON_ST,2023,242,237,237,33,33,0.97959183673469385,1304
