role,family,replicate,null_statistic,empirical_p,bh_q
closing_acceptance,level,0,0.0012226357877053054,,
closing_acceptance,level,1,0.0012753150750011075,,
closing_acceptance,level,2,7.9882240020914743e-05,,
closing_acceptance,level,3,0.00082150376923295165,,
closing_acceptance,level,4,0.0011582386314304349,,
closing_acceptance,level,5,0.00034858047884685217,,
closing_acceptance,level,6,0.00098545761083559643,,
closing_acceptance,level,7,0.00084052959102959984,,
closing_acceptance,level,8,0.00017185312668209832,,
closing_acceptance,level,9,0.0011086283395920979,,
closing_acceptance,level,10,0.001492464498966999,,
closing_acceptance,level,11,0.0010119175098841741,,
closing_acceptance,level,12,0.0011663402500808676,,
closing_acceptance,level,13,0.00067509284204419345,,
closing_acceptance,level,14,0.00025010034466966743,,
closing_acceptance,level,15,0.0024450344973380267,,
closing_acceptance,level,16,0.00095413520383881914,,
closing_acceptance,level,17,0.0017202218232040267,,
closing_acceptance,level,18,0.0011879539964519477,,
closing_acceptance,level,19,0.0003895067651433666,,
closing_acceptance,level,20,0.00044070677036110034,,
closing_acceptance,level,21,0.00027566794703750425,,
closing_acceptance,level,22,0.00097191472374898169,,
closing_acceptance,level,23,0.0014193514599301817,,
closing_acceptance,level,24,0.00056061292224231858,,
closing_acceptance,level,25,3.8560733386032442e-05,,
closing_acceptance,level,26,0.00051900227343598345,,
closing_acceptance,level,27,0.0012115345600174719,,
closing_acceptance,level,28,0.00030994599339187467,,
closing_acceptance,level,29,0.0015668325145797302,,
closing_acceptance,level,30,0.0020525443343787017,,
closing_acceptance,level,31,0.00043707303579058193,,
closing_acceptance,level,32,0.0014268753569269255,,
closing_acceptance,level,33,0.00093946197543503737,,
closing_acceptance,level,34,0.00060240398212813712,,
closing_acceptance,level,35,0.0016403688658570353,,
closing_acceptance,level,36,0.0014613344889434505,,
closing_acceptance,level,37,0.00059264152049433652,,
closing_acceptance,level,38,0.00049507949002188184,,
closing_acceptance,level,39,0.00046973316676247857,,
closing_acceptance,level,40,0.0002378444797091657,,
closing_acceptance,level,41,0.00027044874523507207,,
closing_acceptance,level,42,0.00106291677815663,,
closing_acceptance,level,43,0.0023186077631039935,,
closing_acceptance,level,44,0.0022700073086443246,,
closing_acceptance,level,45,0.00077385485825708805,,
