lookback,market_view,denominator,group_type,group_value,date_cells,valid_date_cells,eligible_security_rows,crossing_security_events,close_above_events,close_equal_events,close_below_events,nonindustry_defined_cells,industry_valid_cells,formation_distribution_cells,acceptance_distribution_cells,minimum_eligible_count,minimum_included_industries,minimum_event_industries,minimum_accepted_event_industries
10,SZ_A,ALL_STATUS,ALL_YEARS,ALL,1417,1417,3186526,459022,226318,6113,226591,1417,1417,1417,1417,1793,93,13,5
10,SZ_A,ALL_STATUS,YEAR,2018,203,203,382691,43965,21676,572,21717,203,203,203,203,1793,93,13,5
10,SZ_A,ALL_STATUS,YEAR,2019,244,244,489417,79164,40422,1077,37665,244,244,244,244,1973,98,16,7
10,SZ_A,ALL_STATUS,YEAR,2020,243,243,509359,80548,41788,1003,37757,243,243,243,243,2039,101,24,14
10,SZ_A,ALL_STATUS,YEAR,2021,243,243,557342,83171,40847,949,41375,243,243,243,243,2187,105,39,15
10,SZ_A,ALL_STATUS,YEAR,2022,242,242,601053,80140,37518,1009,41613,242,242,242,242,2382,106,22,7
10,SZ_A,ALL_STATUS,YEAR,2023,242,242,646664,92034,44067,1503,46464,242,242,242,242,2589,106,33,15
10,SZ_A,NON_ST,ALL_YEARS,ALL,1417,1417,3111338,447184,219664,5810,221710,1417,1417,1417,1417,1774,93,13,5
10,SZ_A,NON_ST,YEAR,2018,203,203,378049,43312,21302,558,21452,203,203,203,203,1774,93,13,5
10,SZ_A,NON_ST,YEAR,2019,244,244,478867,77448,39458,1033,36957,244,244,244,244,1937,96,16,7
10,SZ_A,NON_ST,YEAR,2020,243,243,491376,77964,40299,931,36734,243,243,243,243,1980,97,24,11
10,SZ_A,NON_ST,YEAR,2021,243,243,539758,79916,38955,885,40076,243,243,243,243,2108,101,38,14
10,SZ_A,NON_ST,YEAR,2022,242,242,588262,78117,36440,955,40722,242,242,242,242,2330,105,20,5
10,SZ_A,NON_ST,YEAR,2023,242,242,635026,90427,43210,1448,45769,242,242,242,242,2543,105,32,14
20,ALL_A,ALL_STATUS,ALL_YEARS,ALL,1417,1417,5550255,538891,265003,6461,267427,1417,1417,1417,1417,2935,114,16,6
20,ALL_A,ALL_STATUS,YEAR,2018,203,203,635408,45054,22139,498,22417,203,203,203,203,2935,114,16,6
20,ALL_A,ALL_STATUS,YEAR,2019,244,244,819132,92835,47566,1141,44128,244,244,244,244,3240,117,16,9
20,ALL_A,ALL_STATUS,YEAR,2020,243,243,877191,94833,48720,1009,45104,243,243,243,243,3488,119,29,11
20,ALL_A,ALL_STATUS,YEAR,2021,243,243,988954,104152,51081,1124,51947,243,243,243,243,3857,120,43,24
20,ALL_A,ALL_STATUS,YEAR,2022,242,242,1074823,94557,44569,1062,48926,242,242,242,242,4274,121,21,8
20,ALL_A,ALL_STATUS,YEAR,2023,242,242,1154747,107460,50928,1627,54905,242,242,242,242,4561,121,41,18
20,ALL_A,NON_ST,ALL_YEARS,ALL,1417,1417,5422707,524527,256757,6174,261596,1417,1417,1417,1417,2887,114,16,6
20,ALL_A,NON_ST,YEAR,2018,203,203,625047,44152,21631,478,22043,203,203,203,203,2887,114,16,6
20,ALL_A,NON_ST,YEAR,2019,244,244,799935,90415,46198,1092,43125,244,244,244,244,3152,117,16,9
20,ALL_A,NON_ST,YEAR,2020,243,243,846907,91787,46957,946,43884,243,243,243,243,3351,119,28,11
20,ALL_A,NON_ST,YEAR,2021,243,243,959776,100039,48604,1060,50375,243,243,243,243,3720,120,41,22
20,ALL_A,NON_ST,YEAR,2022,242,242,1054491,92404,43383,1018,48003,242,242,242,242,4201,121,20,7
20,ALL_A,NON_ST,YEAR,2023,242,242,1136551,105730,49984,1580,54166,242,242,242,242,4504,121,36,14
20,CHINEXT_BOARD,ALL_STATUS,ALL_YEARS,ALL,1417,1417,1285795,122838,59561,983,62294,1417,1417,1406,1312,626,36,2,0
20,CHINEXT_BOARD,ALL_STATUS,YEAR,2018,203,203,135171,10257,5098,71,5088,203,203,197,155,626,36,2,0
20,CHINEXT_BOARD,ALL_STATUS,YEAR,2019,244,244,174484,20471,10457,155,9859,244,244,243,231,693,38,2,1
20,CHINEXT_BOARD,ALL_STATUS,YEAR,2020,243,243,188525,21726,11125,151,10450,243,243,242,230,736,41,4,1
20,CHINEXT_BOARD,ALL_STATUS,YEAR,2021,243,243,222955,21100,9766,132,11202,243,243,243,239,838,46,11,1
20,CHINEXT_BOARD,ALL_STATUS,YEAR,2022,242,242,265333,21055,9469,156,11430,242,242,239,216,1013,54,2,0
20,CHINEXT_BOARD,ALL_STATUS,YEAR,2023,242,242,299327,28229,13646,318,14265,242,242,242,241,1177,57,10,4
20,CHINEXT_BOARD,NON_ST,ALL_YEARS,ALL,1417,1417,1279108,122244,59286,973,61985,1417,1417,1406,1309,626,36,2,0
20,CHINEXT_BOARD,NON_ST,YEAR,2018,203,203,135171,10257,5098,71,5088,203,203,197,155,626,36,2,0
20,CHINEXT_BOARD,NON_ST,YEAR,2019,244,244,174484,20471,10457,155,9859,244,244,243,231,693,38,2,1
20,CHINEXT_BOARD,NON_ST,YEAR,2020,243,243,188381,21720,11121,151,10448,243,243,242,230,736,41,4,1
20,CHINEXT_BOARD,NON_ST,YEAR,2021,243,243,220737,20902,9676,129,11097,243,243,243,239,836,46,11,1
20,CHINEXT_BOARD,NON_ST,YEAR,2022,242,242,263315,20857,9381,154,11322,242,242,239,213,1002,54,2,0
20,CHINEXT_BOARD,NON_ST,YEAR,2023,242,242,297020,28037,13553,313,14171,242,242,242,241,1171,57,10,4
20,SH_A,ALL_STATUS,ALL_YEARS,ALL,1417,1417,2363729,231403,113617,3076,114710,1417,1417,1416,1388,1103,72,3,0
20,SH_A,ALL_STATUS,YEAR,2018,203,203,252717,17903,8729,217,8957,203,203,202,183,1103,72,3,0
20,SH_A,ALL_STATUS,YEAR,2019,244,244,329715,37286,19102,520,17664,244,244,244,241,1234,87,6,2
20,SH_A,ALL_STATUS,YEAR,2020,243,243,367832,39019,19906,460,18653,243,243,243,241,1403,91,12,2
20,SH_A,ALL_STATUS,YEAR,2021,243,243,431612,46760,23207,565,22988,243,243,243,243,1668,96,26,10
20,SH_A,ALL_STATUS,YEAR,2022,242,242,473770,42462,20051,536,21875,242,242,242,238,1828,97,7,3
20,SH_A,ALL_STATUS,YEAR,2023,242,242,508083,47973,22622,778,24573,242,242,242,242,1924,98,19,5
20,SH_A,NON_ST,ALL_YEARS,ALL,1417,1417,2311369,225323,110106,2966,112251,1417,1417,1416,1384,1075,72,3,0
20,SH_A,NON_ST,YEAR,2018,203,203,246998,17404,8459,205,8740,203,203,202,182,1075,72,3,0
20,SH_A,NON_ST,YEAR,2019,244,244,321068,36145,18454,498,17193,244,244,244,240,1197,83,6,2
20,SH_A,NON_ST,YEAR,2020,243,243,355531,37691,19148,435,18108,243,243,243,241,1348,83,11,2
20,SH_A,NON_ST,YEAR,2021,243,243,420018,45087,22183,541,22363,243,243,243,243,1610,92,25,9
20,SH_A,NON_ST,YEAR,2022,242,242,466229,41666,19589,521,21556,242,242,242,237,1806,97,7,3
20,SH_A,NON_ST,YEAR,2023,242,242,501525,47330,22273,766,24291,242,242,242,241,1897,97,19,4
20,SZ_A,ALL_STATUS,ALL_YEARS,ALL,1417,1417,3186526,307488,151386,3385,152717,1417,1417,1417,1416,1793,93,6,2
20,SZ_A,ALL_STATUS,YEAR,2018,203,203,382691,27151,13410,281,13460,203,203,203,202,1793,93,6,2
20,SZ_A,ALL_STATUS,YEAR,2019,244,244,489417,55549,28464,621,26464,244,244,244,244,1973,98,10,6
20,SZ_A,ALL_STATUS,YEAR,2020,243,243,509359,55814,28814,549,26451,243,243,243,243,2039,101,18,6
20,SZ_A,ALL_STATUS,YEAR,2021,243,243,557342,57392,27874,559,28959,243,243,243,243,2187,105,27,11
20,SZ_A,ALL_STATUS,YEAR,2022,242,242,601053,52095,24518,526,27051,242,242,242,242,2382,106,15,5
20,SZ_A,ALL_STATUS,YEAR,2023,242,242,646664,59487,28306,849,30332,242,242,242,242,2589,106,25,12
20,SZ_A,NON_ST,ALL_YEARS,ALL,1417,1417,3111338,299204,146651,3208,149345,1417,1417,1417,1415,1774,93,6,2
20,SZ_A,NON_ST,YEAR,2018,203,203,378049,26748,13172,273,13303,203,203,203,202,1774,93,6,2
20,SZ_A,NON_ST,YEAR,2019,244,244,478867,54270,27744,594,25932,244,244,244,244,1937,96,10,6
20,SZ_A,NON_ST,YEAR,2020,243,243,491376,54096,27809,511,25776,243,243,243,243,1980,97,18,6
20,SZ_A,NON_ST,YEAR,2021,243,243,539758,54952,26421,519,28012,243,243,243,243,2108,101,24,10
20,SZ_A,NON_ST,YEAR,2022,242,242,588262,50738,23794,497,26447,242,242,242,241,2330,105,14,4
20,SZ_A,NON_ST,YEAR,2023,242,242,635026,58400,27711,814,29875,242,242,242,242,2543,105,23,11
40,ALL_A,ALL_STATUS,ALL_YEARS,ALL,1417,1417,5550255,338748,168194,3170,167384,1417,1417,1417,1412,2935,114,7,3
40,ALL_A,ALL_STATUS,YEAR,2018,203,203,635408,20692,9797,159,10736,203,203,203,199,2935,114,7,3
40,ALL_A,ALL_STATUS,YEAR,2019,244,244,819132,61157,31985,604,28568,244,244,244,243,3240,117,13,4
40,ALL_A,ALL_STATUS,YEAR,2020,243,243,877191,67465,35147,586,31732,243,243,243,243,3488,119,17,7
40,ALL_A,ALL_STATUS,YEAR,2021,243,243,988954,68973,34278,582,34113,243,243,243,243,3857,120,33,15
40,ALL_A,ALL_STATUS,YEAR,2022,242,242,1074823,56582,26810,495,29277,242,242,242,242,4274,121,15,5
40,ALL_A,ALL_STATUS,YEAR,2023,242,242,1154747,63879,30177,744,32958,242,242,242,242,4561,121,27,14
40,ALL_A,NON_ST,ALL_YEARS,ALL,1417,1417,5422707,328821,162346,2993,163482,1417,1417,1417,1412,2887,114,7,2
40,ALL_A,NON_ST,YEAR,2018,203,203,625047,20202,9513,150,10539,203,203,203,199,2887,114,7,2
40,ALL_A,NON_ST,YEAR,2019,244,244,799935,59460,30995,570,27895,244,244,244,243,3152,117,13,4
40,ALL_A,NON_ST,YEAR,2020,243,243,846907,65377,33913,552,30912,243,243,243,243,3351,119,17,7
40,ALL_A,NON_ST,YEAR,2021,243,243,959776,65893,32381,534,32978,243,243,243,243,3720,120,32,13
40,ALL_A,NON_ST,YEAR,2022,242,242,1054491,55130,25992,473,28665,242,242,242,242,4201,121,15,5
40,ALL_A,NON_ST,YEAR,2023,242,242,1136551,62759,29552,714,32493,242,242,242,242,4504,121,21,9
40,CHINEXT_BOARD,ALL_STATUS,ALL_YEARS,ALL,1417,1417,1285795,76357,37224,472,38661,1416,1417,1361,1153,626,36,0,0
40,CHINEXT_BOARD,ALL_STATUS,YEAR,2018,203,203,135171,5097,2393,31,2673,202,203,172,101,626,36,0,0
40,CHINEXT_BOARD,ALL_STATUS,YEAR,2019,244,244,174484,13497,7033,81,6383,244,244,237,208,693,38,2,1
40,CHINEXT_BOARD,ALL_STATUS,YEAR,2020,243,243,188525,15933,8267,94,7572,243,243,241,215,736,41,4,0
40,CHINEXT_BOARD,ALL_STATUS,YEAR,2021,243,243,222955,13461,6334,66,7061,243,243,242,224,838,46,3,0
40,CHINEXT_BOARD,ALL_STATUS,YEAR,2022,242,242,265333,12184,5452,73,6659,242,242,227,169,1013,54,1,0
40,CHINEXT_BOARD,ALL_STATUS,YEAR,2023,242,242,299327,16185,7745,127,8313,242,242,242,236,1177,57,5,3
40,CHINEXT_BOARD,NON_ST,ALL_YEARS,ALL,1417,1417,1279108,75994,37055,466,38473,1416,1417,1358,1149,626,36,0,0
40,CHINEXT_BOARD,NON_ST,YEAR,2018,203,203,135171,5097,2393,31,2673,202,203,172,101,626,36,0,0
40,CHINEXT_BOARD,NON_ST,YEAR,2019,244,244,174484,13497,7033,81,6383,244,244,237,208,693,38,2,1
