trade_date,calendar_year,dispersion_state,candidate_selected,candidate_complete,opposite_selected,opposite_complete,control_complete,candidate_mean_net,candidate_median_net,candidate_positive_rate,candidate_severe_rate,control_mean_net,control_severe_rate,opposite_mean_net,candidate_minus_control,candidate_minus_opposite
2020-07-30,2020,0.889328063241,108,107,108,108,2717,0.0340350911602,0.0175703192407,0.682242990654,0,0.0344850122795,0.00294442399706,0.04007643556,-0.000449921119271,-0.00604134439984
2020-08-04,2020,0.878192534381,108,107,108,108,2674,0.00465107393191,-0.0187294268332,0.364485981308,0.00934579439252,-0.00779014204377,0.0157068062827,0.00481704448516,0.0124412159757,-0.000165970553251
2020-08-06,2020,0.925636007828,109,106,109,107,2629,-0.0328761672278,-0.0447371939759,0.188679245283,0.0754716981132,-0.0301623140867,0.0536325599087,-0.0401592592629,-0.00271385314107,0.00728309203508
2020-08-10,2020,0.844054580897,108,105,108,104,2595,-0.0300998879619,-0.0362202694786,0.209523809524,0.0952380952381,-0.0265486622768,0.0470134874759,-0.0157543601761,-0.00355122568508,-0.0143455277857
2020-08-12,2020,0.976699029126,109,109,109,109,2589,0.0290406320739,0.0291967213115,0.816513761468,0.0550458715596,0.0304982165076,0.00772499034376,0.0204593392718,-0.00145758443366,0.00858129280217
2020-08-19,2020,0.919230769231,109,107,109,106,2539,-0.00368984458319,-0.00510497237569,0.439252336449,0.0467289719626,-0.00198837023319,0.0137849547066,-0.0118415191132,-0.00170147435,0.00815167453005
2020-08-24,2020,0.902485659656,109,106,109,109,2569,-0.0252804064865,-0.0319083949186,0.254716981132,0.0754716981132,-0.0165230546036,0.0311405216037,-0.0135002520472,-0.00875735188288,-0.0117801544393
2020-08-26,2020,0.815238095238,109,107,109,105,2573,0.027333218982,0.0124644714038,0.644859813084,0,0.0211340644151,0.00466381655655,0.0100222038056,0.00619915456683,0.0173110151764
2020-09-04,2020,0.827067669173,107,103,107,103,2489,-0.063517335465,-0.0616995129262,0.106796116505,0.26213592233,-0.0356932569879,0.132583366814,-0.0289836455935,-0.0278240784771,-0.0345336898715
2020-09-07,2020,0.889305816135,107,105,107,104,2484,-0.0615110113027,-0.0610719602978,0.0666666666667,0.161904761905,-0.0632360688148,0.212157809984,-0.0962275713725,0.00172505751212,0.0347165600698
2020-09-09,2020,0.988785046729,105,102,105,104,2485,-0.00808836426967,-0.0110454590574,0.411764705882,0.0392156862745,-0.0100852057,0.0362173038229,-0.0489876272494,0.00199684143035,0.0408992629797
