endpoint_id,family,sample_type,direct_habitat_endpoint,n,unique_dates,partial_rho,pit_partial_rho,early_partial_rho,late_partial_rho,eligible_year_count,same_sign_year_count,tail_residual_gap,tail_low_n,tail_high_n,bootstrap_low,bootstrap_high,bootstrap_p,bootstrap_bh_q,pass,failed_gates
extreme_loss20,failure,COMPLETED_CYCLE,True,280,184,0.017577694672615982,0.020424169733883741,0.02819988329642863,,1,0,-0.0042953979949406067,46,52,,,,,False,"partial_rho,bootstrap_interval,bootstrap_valid_fraction,blocks,years,pit_sensitivity,tail_residual_gap,family_bh"
false_breakout,failure,COMPLETED_CYCLE,True,280,184,-0.075964851076348011,-0.11862179606322913,-0.10776821855735021,-0.13744245741892164,5,4,-0.045045493754691281,46,52,-0.18314399778987933,0.037990514670055466,0.25387306346826588,0.38080959520239882,False,"partial_rho,bootstrap_interval,tail_residual_gap,family_bh"
mae,failure,COMPLETED_CYCLE,True,280,184,0.092255554065287709,0.11654183212070722,0.098777672123269392,0.13759800255868318,5,2,0.0046967113202228631,46,52,-0.021952558733664796,0.19492985237602795,0.18790604697651175,0.38080959520239882,False,"partial_rho,bootstrap_interval,years,tail_residual_gap,family_bh"
severe_loss10,failure,COMPLETED_CYCLE,True,280,184,0.0036121701346162848,0.017947417188483313,0.060114665623177639,-0.036512498875733483,5,2,0.0067808477522934701,46,52,-0.072248928798673645,0.080714845490315143,0.90454772613693157,0.90454772613693157,False,"partial_rho,bootstrap_interval,blocks,years,leave_one_year_out,pit_sensitivity,tail_residual_gap,family_bh"
admissible_candidate,opportunity,EVALUATED_EVENT,True,819,360,-0.035758316814457784,-0.025217992215746287,-0.015852996147430808,-0.053744707832021774,5,4,0.003244728974116623,202,84,-0.095687679546690094,0.025403822117287117,0.36181909045477262,0.39880059970014986,False,"partial_rho,bootstrap_interval,blocks,pit_sensitivity,tail_residual_gap,family_bh"
daily_candidate_count,opportunity,DAILY_PROCESS,False,1337,1337,-0.055611528152168424,-0.0605187955925807,-0.00075780611429422564,-0.13809486414058544,6,5,-0.43990741033437109,167,217,-0.09732245959757245,-0.014074201848873279,0.02498750624687656,0.074962518740629674,False,"partial_rho,blocks,leave_one_year_out"
daily_evaluated_count,opportunity,DAILY_PROCESS,False,1337,1337,-0.072092557662003606,-0.085576579666318597,-0.0040521732784948618,-0.15141203715774695,6,5,-0.52696756755491547,167,217,-0.11361278290606024,-0.029333983665703046,0.0079960019990004995,0.047976011994002997,False,"partial_rho,blocks,leave_one_year_out"
mfe,opportunity,COMPLETED_CYCLE,True,280,184,0.061786074509787112,0.10497976801677525,0.14606759901821978,0.088108387242724615,5,4,-0.0090663116632163539,46,52,-0.055512510539645538,0.17449862673101538,0.39880059970014992,0.39880059970014986,False,"partial_rho,bootstrap_interval,tail_residual_gap,family_bh"
opportunity20,opportunity,COMPLETED_CYCLE,True,280,184,-0.063506561593226651,-0.018452712808048742,-0.034974850150304451,-0.017300626179807703,5,5,-0.082453459526481698,46,52,-0.1741035115789854,0.047943383664459147,0.37681159420289856,0.39880059970014986,False,"partial_rho,bootstrap_interval,blocks,pit_sensitivity,tail_residual_gap,family_bh"
selected_among_candidate,opportunity,EVALUATED_EVENT,True,638,306,0.077426803255084817,0.068914446996401701,0.13952666129559804,0.033324402362118262,5,3,0.16739939569507375,167,69,-0.047432425000445609,0.19025600895372854,0.32483758120939532,0.39880059970014986,False,"partial_rho,bootstrap_interval,blocks,years,leave_one_year_out,family_bh"
conversion20,realization,COMPLETED_CYCLE,True,53,39,0.12812617997619866,0.066333182841611271,0.15251880632686088,-0.0049241723431529237,0,0,0.22546514220222896,8,7,-0.096868734874285933,0.35567563925929035,0.32883558220889553,0.66366816591704147,False,"bootstrap_interval,blocks,years,family_bh"
giveback_from_peak,realization,COMPLETED_CYCLE,True,280,184,-0.028902778881779251,-0.025209381290782644,0.042883715333275861,-0.037748783131338816,5,2,-0.0060461283347636886,46,52,-0.1452918257638687,0.087441740230679146,0.66366816591704147,0.66366816591704147,False,"partial_rho,bootstrap_interval,blocks,years,leave_one_year_out,pit_sensitivity,tail_residual_gap,family_bh"
round_trip_return,realization,COMPLETED_CYCLE,True,280,184,0.043179286462021071,0.10668198731440637,0.077388273813105618,0.12074385802343653,5,3,-0.0030201833284457923,46,52,-0.075643868174421619,0.14902674705862412,0.58670664667666161,0.66366816591704147,False,"partial_rho,bootstrap_interval,years,leave_one_year_out,tail_residual_gap,family_bh"
winner20,right_tail,COMPLETED_CYCLE,True,280,184,-0.024833807639973757,0.033897730163975834,-0.075127012758107722,0.05794459010781694,4,3,0.0030548195259699276,46,52,-0.11015332401468135,0.067398839653408996,0.70164917541229388,0.88688688688688688,False,"partial_rho,bootstrap_interval,blocks,years,leave_one_year_out,pit_sensitivity,tail_residual_gap,family_bh"
winner50,right_tail,COMPLETED_CYCLE,True,280,184,-0.0084503682986136787,0.053170268117983796,-0.11760236284060002,0.061509105923988366,2,1,0.0046054523454398585,46,52,-0.099057901124789974,0.0923092423732228,0.88688688688688688,0.88688688688688688,False,"partial_rho,bootstrap_interval,blocks,years,leave_one_year_out,pit_sensitivity,tail_residual_gap,family_bh"
