event_year,block,holding_age_bucket,inventory_state_at_breakdown,lots,securities,actionable
2018,early,day_0,fully_locked,3,3,3
2018,early,day_0,partially_sellable,1,1,1
2018,early,days_11_15,fully_sellable,23,23,23
2018,early,days_11_15,partially_sellable,1,1,1
2018,early,days_16_20,fully_sellable,30,29,25
2018,early,days_1_5,fully_sellable,25,24,25
2018,early,days_6_10,fully_sellable,32,31,32
2018,early,days_6_10,partially_sellable,1,1,1
2019,early,day_0,fully_locked,8,8,8
2019,early,days_11_15,fully_sellable,39,38,39
2019,early,days_16_20,fully_sellable,33,31,23
2019,early,days_1_5,fully_sellable,46,40,46
2019,early,days_6_10,fully_sellable,48,46,48
2020,early,day_0,fully_locked,6,6,6
2020,early,days_11_15,fully_sellable,55,55,55
2020,early,days_16_20,fully_sellable,35,34,30
2020,early,days_1_5,fully_sellable,36,34,36
2020,early,days_6_10,fully_sellable,44,41,44
2021,early,day_0,fully_locked,3,3,3
2021,early,days_11_15,fully_sellable,49,49,49
2021,early,days_16_20,fully_sellable,36,34,25
2021,early,days_1_5,fully_sellable,48,47,48
2021,early,days_6_10,fully_sellable,44,43,44
2022,late,day_0,fully_locked,9,9,9
2022,late,days_11_15,fully_sellable,56,53,56
2022,late,days_16_20,fully_sellable,43,43,32
2022,late,days_1_5,fully_sellable,51,46,51
2022,late,days_6_10,fully_sellable,46,46,46
2023,late,day_0,fully_locked,5,5,5
2023,late,day_0,partially_sellable,1,1,1
2023,late,days_11_15,fully_sellable,51,50,51
2023,late,days_11_15,partially_sellable,1,1,1
2023,late,days_16_20,fully_sellable,50,46,41
2023,late,days_1_5,fully_sellable,51,49,51
2023,late,days_6_10,fully_sellable,61,60,61
