role,challenge,scope,n,value,threshold,pass
below_level_close_fraction,common_direction_median,A,123,0,common nonzero sign; bootstrap excludes zero,False
below_level_close_fraction,common_direction_median,B,127,0.013673715556560745,common nonzero sign; bootstrap excludes zero,False
below_level_close_fraction,definition_L10_CONTINUOUS_sign,A,123,0.93495934959349591,>=0.55,True
below_level_close_fraction,definition_L10_CONTINUOUS_sign,B,127,0.91338582677165359,>=0.55,True
below_level_close_fraction,definition_L10_CONTINUOUS_sign,GLOBAL,250,0.92400000000000004,>=0.6,True
below_level_close_fraction,definition_L10_CONTINUOUS_spearman,A,123,0.93743728758037259,n>=20;rho>=0.2,True
below_level_close_fraction,definition_L10_CONTINUOUS_spearman,B,127,0.85754921100454695,n>=20;rho>=0.2,True
below_level_close_fraction,definition_L10_CONTINUOUS_spearman,GLOBAL,250,0.89683163376576669,n>=60;rho>=0.35,True
below_level_close_fraction,definition_L20_AUCTION_sign,A,123,1,>=0.8,True
below_level_close_fraction,definition_L20_AUCTION_sign,B,127,1,>=0.8,True
below_level_close_fraction,definition_L20_AUCTION_sign,GLOBAL,250,1,>=0.85,True
below_level_close_fraction,definition_L20_AUCTION_spearman,A,123,0.99998709269381925,n>=20;rho>=0.65,True
below_level_close_fraction,definition_L20_AUCTION_spearman,B,127,0.99997070644341091,n>=20;rho>=0.65,True
below_level_close_fraction,definition_L20_AUCTION_spearman,GLOBAL,250,0.99998425297866134,n>=60;rho>=0.75,True
below_level_close_fraction,definition_L40_CONTINUOUS_sign,A,69,0.94202898550724634,>=0.55,True
below_level_close_fraction,definition_L40_CONTINUOUS_sign,B,76,0.98684210526315785,>=0.55,True
below_level_close_fraction,definition_L40_CONTINUOUS_sign,GLOBAL,145,0.96551724137931039,>=0.6,True
below_level_close_fraction,definition_L40_CONTINUOUS_spearman,A,69,0.91082243161650345,n>=20;rho>=0.2,True
below_level_close_fraction,definition_L40_CONTINUOUS_spearman,B,76,0.98061411423727884,n>=20;rho>=0.2,True
below_level_close_fraction,definition_L40_CONTINUOUS_spearman,GLOBAL,145,0.94661116569756565,n>=60;rho>=0.35,True
below_level_close_fraction,endpoint_nondegeneracy,2018,43,42,>=3,True
below_level_close_fraction,endpoint_nondegeneracy,2019,33,27,>=3,True
below_level_close_fraction,endpoint_nondegeneracy,2020,47,44,>=3,True
below_level_close_fraction,endpoint_nondegeneracy,2021,46,45,>=3,True
below_level_close_fraction,endpoint_nondegeneracy,2022,46,46,>=3,True
below_level_close_fraction,endpoint_nondegeneracy,2023,35,35,>=3,True
below_level_close_fraction,endpoint_nondegeneracy,A,123,111,>=5,True
below_level_close_fraction,endpoint_nondegeneracy,B,127,125,>=5,True
below_level_close_fraction,endpoint_nondegeneracy,GLOBAL,250,233,>=10,True
below_level_close_fraction,external_complete_count,A,123,123,>=45,True
below_level_close_fraction,external_complete_count,B,127,127,>=45,True
below_level_close_fraction,external_complete_count,GLOBAL,250,250,>=120,True
below_level_close_fraction,external_joint_adjusted_r2,A,123,0.34200987178351483,<0.85,True
below_level_close_fraction,external_joint_adjusted_r2,B,127,0.32617550483598412,<0.85,True
below_level_close_fraction,external_joint_adjusted_r2,GLOBAL,250,0.33664076776731688,<0.7,True
below_level_close_fraction,external_pairwise_control__close_location__endpoint_rate,A,123,-0.48632468987005789,abs<0.85,True
below_level_close_fraction,external_pairwise_control__close_location__endpoint_rate,B,127,-0.51448340308106966,abs<0.85,True
below_level_close_fraction,external_pairwise_control__close_location__endpoint_rate,GLOBAL,250,-0.49809849039176074,abs<0.85,True
below_level_close_fraction,external_pairwise_control__first_cross_fraction__endpoint_rate,A,123,-0.00089433323338757628,abs<0.85,True
below_level_close_fraction,external_pairwise_control__first_cross_fraction__endpoint_rate,B,127,-0.12154735062894111,abs<0.85,True
below_level_close_fraction,external_pairwise_control__first_cross_fraction__endpoint_rate,GLOBAL,250,-0.068239482377587715,abs<0.85,True
below_level_close_fraction,external_pairwise_control__minute_realized_volatility__endpoint_rate,A,123,-0.13136911656231845,abs<0.85,True
below_level_close_fraction,external_pairwise_control__minute_realized_volatility__endpoint_rate,B,127,-0.2270002987964225,abs<0.85,True
below_level_close_fraction,external_pairwise_control__minute_realized_volatility__endpoint_rate,GLOBAL,250,-0.17155649037239834,abs<0.85,True
below_level_close_fraction,external_pairwise_control__open_close_log_return__endpoint_rate,A,123,-0.56883608086476967,abs<0.85,True
below_level_close_fraction,external_pairwise_control__open_close_log_return__endpoint_rate,B,127,-0.5393380866825237,abs<0.85,True
below_level_close_fraction,external_pairwise_control__open_close_log_return__endpoint_rate,GLOBAL,250,-0.55787283455344339,abs<0.85,True
below_level_close_fraction,main_endpoint_count,2018,43,43,>=12,True
below_level_close_fraction,main_endpoint_count,2019,33,33,>=12,True
below_level_close_fraction,main_endpoint_count,2020,47,47,>=12,True
below_level_close_fraction,main_endpoint_count,2021,46,46,>=12,True
below_level_close_fraction,main_endpoint_count,2022,46,46,>=12,True
below_level_close_fraction,main_endpoint_count,2023,35,35,>=12,True
below_level_close_fraction,main_endpoint_count,A,123,123,>=60,True
below_level_close_fraction,main_endpoint_count,ALL_A,67,67,>=25,True
below_level_close_fraction,main_endpoint_count,B,127,127,>=60,True
below_level_close_fraction,main_endpoint_count,CHINEXT_BOARD,70,70,>=25,True
below_level_close_fraction,main_endpoint_count,GLOBAL,250,250,>=160,True
below_level_close_fraction,main_endpoint_count,SH_A,60,60,>=25,True
below_level_close_fraction,main_endpoint_count,SZ_A,53,53,>=25,True
below_level_close_fraction,main_shape_count,2018,16,16,>=5,True
below_level_close_fraction,main_shape_count,2019,13,13,>=5,True
below_level_close_fraction,main_shape_count,2020,22,22,>=5,True
below_level_close_fraction,main_shape_count,2021,25,25,>=5,True
below_level_close_fraction,main_shape_count,2022,18,18,>=5,True
below_level_close_fraction,main_shape_count,2023,14,14,>=5,True
below_level_close_fraction,main_shape_count,A,51,51,>=20,True
below_level_close_fraction,main_shape_count,B,57,57,>=20,True
below_level_close_fraction,main_shape_count,GLOBAL,108,108,>=60,True
below_level_close_fraction,shape_ols_slope_sign,A,51,0.92156862745098034,>=0.55,True
below_level_close_fraction,shape_ols_slope_sign,B,57,0.91228070175438591,>=0.55,True
below_level_close_fraction,shape_ols_slope_sign,GLOBAL,108,0.91666666666666663,>=0.65,True
below_level_close_fraction,shape_ols_slope_spearman,A,51,0.98262129294628453,>=0.45,True
below_level_close_fraction,shape_ols_slope_spearman,B,57,0.97193414570910042,>=0.45,True
below_level_close_fraction,shape_ols_slope_spearman,GLOBAL,108,0.97497933823040139,>=0.65,True
below_level_close_fraction,shape_theil_sen_slope_sign,A,51,0.92156862745098034,>=0.55,True
below_level_close_fraction,shape_theil_sen_slope_sign,B,57,0.91228070175438591,>=0.55,True
below_level_close_fraction,shape_theil_sen_slope_sign,GLOBAL,108,0.91666666666666663,>=0.65,True
below_level_close_fraction,shape_theil_sen_slope_spearman,A,51,0.95618720014483571,>=0.45,True
below_level_close_fraction,shape_theil_sen_slope_spearman,B,57,0.95049504962974485,>=0.45,True
below_level_close_fraction,shape_theil_sen_slope_spearman,GLOBAL,108,0.95535378295654372,>=0.65,True
continuation30_log_return,common_direction_median,A,123,-0.0001802446606062887,common nonzero sign; bootstrap excludes zero,False
continuation30_log_return,common_direction_median,B,127,-0.00079262785127422099,common nonzero sign; bootstrap excludes zero,False
continuation30_log_return,definition_L10_CONTINUOUS_sign,A,123,0.95121951219512191,>=0.55,True
continuation30_log_return,definition_L10_CONTINUOUS_sign,B,127,0.93700787401574803,>=0.55,True
continuation30_log_return,definition_L10_CONTINUOUS_sign,GLOBAL,250,0.94399999999999995,>=0.6,True
continuation30_log_return,definition_L10_CONTINUOUS_spearman,A,123,0.93926827852623829,n>=20;rho>=0.2,True
continuation30_log_return,definition_L10_CONTINUOUS_spearman,B,127,0.92407784964379447,n>=20;rho>=0.2,True
continuation30_log_return,definition_L10_CONTINUOUS_spearman,GLOBAL,250,0.93120590879295451,n>=60;rho>=0.35,True
continuation30_log_return,definition_L20_AUCTION_sign,A,123,0.96747967479674801,>=0.8,True
continuation30_log_return,definition_L20_AUCTION_sign,B,127,0.92125984251968507,>=0.8,True
continuation30_log_return,definition_L20_AUCTION_sign,GLOBAL,250,0.94399999999999995,>=0.85,True
continuation30_log_return,definition_L20_AUCTION_spearman,A,123,0.96257087994625246,n>=20;rho>=0.65,True
continuation30_log_return,definition_L20_AUCTION_spearman,B,127,0.88559242594675647,n>=20;rho>=0.65,True
continuation30_log_return,definition_L20_AUCTION_spearman,GLOBAL,250,0.92114823411604729,n>=60;rho>=0.75,True
continuation30_log_return,definition_L40_CONTINUOUS_sign,A,69,0.94202898550724634,>=0.55,True
continuation30_log_return,definition_L40_CONTINUOUS_sign,B,76,0.96052631578947367,>=0.55,True
continuation30_log_return,definition_L40_CONTINUOUS_sign,GLOBAL,145,0.9517241379310345,>=0.6,True
continuation30_log_return,definition_L40_CONTINUOUS_spearman,A,69,0.92327085388578312,n>=20;rho>=0.2,True
continuation30_log_return,definition_L40_CONTINUOUS_spearman,B,76,0.96822966507177033,n>=20;rho>=0.2,True
continuation30_log_return,definition_L40_CONTINUOUS_spearman,GLOBAL,145,0.95157830096953611,n>=60;rho>=0.35,True
continuation30_log_return,endpoint_nondegeneracy,2018,43,43,>=3,True
continuation30_log_return,endpoint_nondegeneracy,2019,33,32,>=3,True
continuation30_log_return,endpoint_nondegeneracy,2020,47,46,>=3,True
continuation30_log_return,endpoint_nondegeneracy,2021,46,46,>=3,True
continuation30_log_return,endpoint_nondegeneracy,2022,46,46,>=3,True
continuation30_log_return,endpoint_nondegeneracy,2023,35,35,>=3,True
continuation30_log_return,endpoint_nondegeneracy,A,123,119,>=5,True
continuation30_log_return,endpoint_nondegeneracy,B,127,127,>=5,True
continuation30_log_return,endpoint_nondegeneracy,GLOBAL,250,246,>=10,True
continuation30_log_return,external_complete_count,A,123,123,>=45,True
continuation30_log_return,external_complete_count,B,127,127,>=45,True
continuation30_log_return,external_complete_count,GLOBAL,250,250,>=120,True
continuation30_log_return,external_joint_adjusted_r2,A,123,0.36459185586614107,<0.85,True
continuation30_log_return,external_joint_adjusted_r2,B,127,0.19353091986622195,<0.85,True
continuation30_log_return,external_joint_adjusted_r2,GLOBAL,250,0.28036402490900625,<0.7,True
continuation30_log_return,external_pairwise_control__daily_high_margin__endpoint_rate,A,123,0.5264284793092836,abs<0.85,True
continuation30_log_return,external_pairwise_control__daily_high_margin__endpoint_rate,B,127,0.36126734158230217,abs<0.85,True
continuation30_log_return,external_pairwise_control__daily_high_margin__endpoint_rate,GLOBAL,250,0.44074257686195778,abs<0.85,True
continuation30_log_return,external_pairwise_control__first_cross_fraction__endpoint_rate,A,123,-0.017144560994213888,abs<0.85,True
continuation30_log_return,external_pairwise_control__first_cross_fraction__endpoint_rate,B,127,0.082555503446248291,abs<0.85,True
continuation30_log_return,external_pairwise_control__first_cross_fraction__endpoint_rate,GLOBAL,250,0.038469039152854545,abs<0.85,True
continuation30_log_return,external_pairwise_control__minute_realized_volatility__endpoint_rate,A,123,-0.0092802786020245373,abs<0.85,True
continuation30_log_return,external_pairwise_control__minute_realized_volatility__endpoint_rate,B,127,0.086414979377577805,abs<0.85,True
continuation30_log_return,external_pairwise_control__minute_realized_volatility__endpoint_rate,GLOBAL,250,0.037153803529109644,abs<0.85,True
continuation30_log_return,external_pairwise_control__open_close_log_return__endpoint_rate,A,123,0.37132077906099153,abs<0.85,True
continuation30_log_return,external_pairwise_control__open_close_log_return__endpoint_rate,B,127,0.35144825646794148,abs<0.85,True
continuation30_log_return,external_pairwise_control__open_close_log_return__endpoint_rate,GLOBAL,250,0.3625795421949588,abs<0.85,True
continuation30_log_return,main_endpoint_count,2018,43,43,>=12,True
continuation30_log_return,main_endpoint_count,2019,33,33,>=12,True
continuation30_log_return,main_endpoint_count,2020,47,47,>=12,True
continuation30_log_return,main_endpoint_count,2021,46,46,>=12,True
