block,trade_date,decision_at,symbol,rs_score,r20,r60,r120,rs_acceleration,mom20,mom60,mom120,box_width,ma_dispersion,direction_efficiency,vol_ratio,minvol_location,minvol_ratio,breakout_volume_ratio,selected_by_current_system,actual_completed_trade_return,candidate_count,baseline_rank,candidate_id,outcome_status,next_open_price,forward_return_5,forward_return_20,mfe_20,mae_20,oriented_pct__rs_score,oriented_pct__r20,oriented_pct__r60,oriented_pct__r120,oriented_pct__rs_acceleration,oriented_pct__mom20,oriented_pct__mom60,oriented_pct__mom120,oriented_pct__box_width,oriented_pct__ma_dispersion,oriented_pct__direction_efficiency,oriented_pct__vol_ratio,oriented_pct__minvol_location,oriented_pct__minvol_ratio,oriented_pct__breakout_volume_ratio
development_2018_2021,2018-01-09,2018-01-09T15:00:00+08:00,300122.SZ,0.9102564102564104,0.8589743589743589,0.8846153846153846,0.9871794871794872,-0.1282051282051283,0.08497167610796397,0.17715112075198847,0.7393162393162396,0.11171563293434894,0.0236378760571192,0.000995024875621869,0.7356720162175026,0.16233766233766242,0.49171717039367835,2.8647115962840677,True,0.0471646580020965,1,1,development_2018_2021|2018-01-09|300122.SZ,COMPLETE,32.48,0.03856119250207923,-0.263789166498526,0.07558697460175301,-0.2655128123108418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
development_2018_2021,2018-03-07,2018-03-07T15:00:00+08:00,300144.SZ,0.5166666666666666,0.47435897435897434,0.5128205128205128,0.5512820512820513,-0.07692307692307696,0.07046070460704601,0.0881542699724518,0.007139214686384454,0.1126202603282398,0.03284078054298645,0.06678230702515175,0.6978808532055497,0.41708542713567787,0.4587922721996418,0.8216924974470274,True,-0.025157464038170988,1,1,development_2018_2021|2018-03-07|300144.SZ,COMPLETE,19.7,0.02586499794621644,0.040049797917818486,0.07253152938432139,-0.03396096289497286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
development_2018_2021,2018-03-09,2018-03-09T15:00:00+08:00,300158.SZ,0.44337349397590364,0.3493975903614458,0.5301204819277109,0.3614457831325301,-0.0120481927710843,0.1208791208791209,0.11030478955007261,-0.09520993494973384,0.1879460745440127,0.0332551001985919,0.043549712407559504,0.6799935594096285,0.2658227848101268,0.23612546394649533,2.1932678401189185,True,-0.10981237484689131,1,1,development_2018_2021|2018-03-09|300158.SZ,COMPLETE,15.39,-0.05128205128205121,-0.046742730953257206,0.029509801439626004,-0.1204377169289449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
development_2018_2021,2018-03-13,2018-03-13T15:00:00+08:00,300068.SZ,0.3375,0.10416666666666667,0.4895833333333333,0.23958333333333334,-0.13541666666666666,0.10235690235690242,0.07555847568988172,-0.1352350765979925,0.1659513590844064,0.04032730666550899,0.03069053708439926,0.8348609386282708,0.17073170731707293,0.4188969226598016,1.3013150292968805,True,-0.04485698350729023,1,1,development_2018_2021|2018-03-13|300068.SZ,COMPLETE,16.3,0.012696505948039727,-0.07240918590611833,0.02658078118200824,-0.10212486899603457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
development_2018_2021,2018-03-19,2018-03-19T15:00:00+08:00,300324.SZ,0.5695238095238095,0.1619047619047619,0.7142857142857143,0.6,-0.4380952380952381,0.0854647535870241,0.17488183659689382,0.07540173053152022,0.19517241379310324,0.049132231404958704,0.12445095168374821,0.8125124163690938,0.18374558303886923,0.2996320293939029,1.3592845753423546,True,-0.01483779378516223,1,1,development_2018_2021|2018-03-19|300324.SZ,COMPLETE,17.1,0.04585940375414066,0.09838582470161406,0.14563798774325076,-0.038388512072722536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
development_2018_2021,2018-08-29,2018-08-29T15:00:00+08:00,300188.SZ,0.8758620689655172,0.8160919540229885,0.9080459770114943,0.8620689655172413,-0.0459770114942528,0.09575070821529752,0.12180974477958251,0.3122985581000848,0.16000000000000014,0.023972988182329846,0.06298740251949615,0.5761127471320683,0.1423076923076926,0.4774810943014717,1.3638685323970958,True,-0.0346598855689765,1,1,development_2018_2021|2018-08-29|300188.SZ,COMPLETE,19.25,0.03584830753661916,-0.11812914358368887,0.10642604149097656,-0.12762562113211473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
development_2018_2021,2018-09-26,2018-09-26T15:00:00+08:00,300498.SZ,0.8716049382716049,0.9629629629629629,0.8395061728395061,0.8641975308641975,0.0987654320987654,0.14217098943323725,0.08733424782807497,0.10619896128010575,0.17599999999999993,0.049614455954513526,0.03606557377049189,0.6269886952952881,0.22727272727272715,0.44565378599690664,2.813057269087048,True,-0.019669200950819758,1,1,development_2018_2021|2018-09-26|300498.SZ,COMPLETE,23.72,0.013569482793766241,0.03881405272636318,0.08449729023084851,-0.03890376065755474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
development_2018_2021,2018-12-05,2018-12-05T15:00:00+08:00,300498.SZ,0.9081967213114753,0.6147540983606558,0.9754098360655737,0.9918032786885246,-0.3770491803278688,0.07929515418502198,0.29816955684007684,0.17891513560804895,0.1144321093082834,0.03440612562377532,0.14141414141414155,0.750813799924672,0.18859649122806996,0.4727273192690295,2.5329373644806754,True,-0.03501739895791935,1,1,development_2018_2021|2018-12-05|300498.SZ,COMPLETE,26.9,-0.024258269611429295,0.004309073825802701,0.009399522410674876,-0.08418718827640748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
development_2018_2021,2019-01-07,2019-01-07T15:00:00+08:00,300498.SZ,0.6882352941176471,0.6823529411764706,0.5529411764705883,0.9176470588235294,-0.2352941176470588,0.040464593480704414,0.16338500209467943,0.2079164854284472,0.1364399664147775,0.026682224815246958,0.16555308092056414,0.8057661611190615,0.1323076923076922,0.44355817589909335,2.176726756321282,True,0.02028535154450235,1,1,development_2018_2021|2019-01-07|300498.SZ,COMPLETE,27.32,0.02576486471069206,0.09590263323791892,0.11967095861678612,-0.022207660567836185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
development_2018_2021,2019-01-14,2019-01-14T15:00:00+08:00,300496.SZ,0.6151515151515151,0.7878787878787878,0.5454545454545454,0.6161616161616161,0.1717171717171717,0.07837505129257294,0.2384542884071632,-0.09814687714481807,0.16515837104072384,0.06898018201922285,0.03245560318432343,0.8262905882455633,0.13150684931506768,0.4490213028232662,1.3596665928267722,True,0.04623903703658299,1,1,development_2018_2021|2019-01-14|300496.SZ,COMPLETE,26.08,0.02057949718992691,0.14762576380674552,0.15758474654180188,-0.017087207271256122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
development_2018_2021,2019-01-24,2019-01-24T15:00:00+08:00,300570.SZ,0.7122448979591837,0.45918367346938777,0.7142857142857143,0.8775510204081632,-0.4183673469387754,0.019371727748690892,0.2385496183206106,0.1828675577156742,0.13733650416171206,0.021771744300925544,0.03764115432873253,0.8221909332645659,0.0,0.38245518917311205,2.06316055156824,True,0.008258955843745095,1,1,development_2018_2021|2019-01-24|300570.SZ,COMPLETE,19.46,0.0026176290307844408,0.1898071096426699,0.2182062541774772,-0.02820714742605801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
development_2018_2021,2019-02-11,2019-02-11T15:00:00+08:00,300012.SZ,0.8510416666666667,0.90625,0.7708333333333334,0.9479166666666666,-0.0416666666666666,0.19617224880382778,0.2295081967213115,0.43953934740882916,0.16693679092382507,0.07446266680248548,0.15990453460620518,0.73913292395511,0.26213592233009747,0.5576612331075502,1.1185313085650863,True,0.1170263145432445,3,1,development_2018_2021|2019-02-11|300012.SZ,COMPLETE,7.55,-0.003319858948997889,0.12357840834662048,0.14984353394949435,-0.05524938637521415,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
development_2018_2021,2019-02-11,2019-02-11T15:00:00+08:00,300033.SZ,0.7354166666666666,0.6979166666666666,0.6979166666666666,0.8229166666666666,-0.125,0.09769978657813616,0.19304123711340204,0.24101876675603218,0.1533386117709159,0.03660926894853622,0.10144927536231882,0.7846695076676304,0.04302925989672976,0.5150111518213901,3.24681784279475,True,0.8962428175602644,3,2,development_2018_2021|2019-02-11|300033.SZ,COMPLETE,46.28,0.2276632183719478,0.7751841935074433,0.990015170654756,-0.009201688544817288,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0
development_2018_2021,2019-02-11,2019-02-11T15:00:00+08:00,300271.SZ,0.5989583333333333,0.5104166666666666,0.65625,0.5625,-0.0520833333333334,0.02797657774886142,0.16433308769344146,0.023316062176165886,0.13189964157706102,0.02748998480453091,0.023985239852398484,0.7041117958587954,0.09090909090909091,0.435539908984177,0.9625979315567161,True,0.30591964181184267,3,3,development_2018_2021|2019-02-11|300271.SZ,COMPLETE,15.8,0.03716410172106399,0.3150887087595948,0.34801906953805695,-0.00605723390533508,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333
development_2018_2021,2019-02-14,2019-02-14T15:00:00+08:00,300037.SZ,0.7702970297029703,0.8217821782178217,0.7425742574257426,0.7821782178217822,0.0396039603960395,0.17873981997428223,0.16921768707482987,0.15110925073252401,0.1817395067070533,0.07596735555645773,0.04400440044004385,0.8052184171463712,0.1761904761904767,0.4746959287694176,1.741518055648516,True,0.0019388380892076764,2,1,development_2018_2021|2019-02-14|300037.SZ,COMPLETE,27.25,-0.06792106975593215,0.046345581024480165,0.1262132363049795,-0.08348532201743208,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0
development_2018_2021,2019-02-14,2019-02-14T15:00:00+08:00,300079.SZ,0.7049504950495049,0.6732673267326733,0.7128712871287128,0.7128712871287128,-0.0396039603960395,0.125,0.16129032258064502,0.08196721311475397,0.1932515337423315,0.05800593031875456,0.134453781512605,0.6534872584498017,0.0,0.3719428327232889,1.7290834866661917,True,0.733861659683913,2,2,development_2018_2021|2019-02-14|300079.SZ,COMPLETE,3.94,-0.01213000197771752,0.5983229968001542,1.0537837796721048,-0.023818820773135352,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5
development_2018_2021,2019-02-25,2019-02-25T15:00:00+08:00,300027.SZ,0.2911949685534591,0.4088050314465409,0.24528301886792453,0.2893081761006289,0.119496855345912,0.17532467532467533,0.024528301886792336,-0.042328042328042326,0.19069767441860463,0.06184830738465941,0.08206686930091203,0.7445063419674205,0.365853658536585,0.4796005389278353,2.857887675776278,True,-0.01644814932884773,4,1,development_2018_2021|2019-02-25|300027.SZ,COMPLETE,5.38,0.03324742172325834,0.03510244402437723,0.1754045211294284,-0.02142467198229281,1.0,1.0,0.75,0.75,0.25,1.0,0.75,0.75,0.5,0.25,0.75,0.75,0.25,0.5,0.75
