audit_id,sequence_id,cohort,market_view,symbol,source_symbol,trade_date,target_year,block_id,market_sequence_rank,relative_day
MARKET|2018|01|ALL_A|01|000420.SZ|2018-03-12,2018|01|ALL_A|01|000420.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,000420.SZ,000420,2018-03-12,2018,1,1,-5
MARKET|2018|01|ALL_A|01|000420.SZ|2018-03-13,2018|01|ALL_A|01|000420.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,000420.SZ,000420,2018-03-13,2018,1,1,-4
MARKET|2018|01|ALL_A|01|000420.SZ|2018-03-14,2018|01|ALL_A|01|000420.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,000420.SZ,000420,2018-03-14,2018,1,1,-3
MARKET|2018|01|ALL_A|01|000420.SZ|2018-03-15,2018|01|ALL_A|01|000420.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,000420.SZ,000420,2018-03-15,2018,1,1,-2
MARKET|2018|01|ALL_A|01|000420.SZ|2018-03-16,2018|01|ALL_A|01|000420.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,000420.SZ,000420,2018-03-16,2018,1,1,-1
MARKET|2018|01|ALL_A|02|600576.SH|2018-03-12,2018|01|ALL_A|02|600576.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600576.SH,600576,2018-03-12,2018,1,2,-5
MARKET|2018|01|ALL_A|02|600576.SH|2018-03-13,2018|01|ALL_A|02|600576.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600576.SH,600576,2018-03-13,2018,1,2,-4
MARKET|2018|01|ALL_A|02|600576.SH|2018-03-14,2018|01|ALL_A|02|600576.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600576.SH,600576,2018-03-14,2018,1,2,-3
MARKET|2018|01|ALL_A|02|600576.SH|2018-03-15,2018|01|ALL_A|02|600576.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600576.SH,600576,2018-03-15,2018,1,2,-2
MARKET|2018|01|ALL_A|02|600576.SH|2018-03-16,2018|01|ALL_A|02|600576.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600576.SH,600576,2018-03-16,2018,1,2,-1
MARKET|2018|01|ALL_A|03|601882.SH|2018-03-12,2018|01|ALL_A|03|601882.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,601882.SH,601882,2018-03-12,2018,1,3,-5
MARKET|2018|01|ALL_A|03|601882.SH|2018-03-13,2018|01|ALL_A|03|601882.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,601882.SH,601882,2018-03-13,2018,1,3,-4
MARKET|2018|01|ALL_A|03|601882.SH|2018-03-14,2018|01|ALL_A|03|601882.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,601882.SH,601882,2018-03-14,2018,1,3,-3
MARKET|2018|01|ALL_A|03|601882.SH|2018-03-15,2018|01|ALL_A|03|601882.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,601882.SH,601882,2018-03-15,2018,1,3,-2
MARKET|2018|01|ALL_A|03|601882.SH|2018-03-16,2018|01|ALL_A|03|601882.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,601882.SH,601882,2018-03-16,2018,1,3,-1
MARKET|2018|01|ALL_A|04|300691.SZ|2018-03-12,2018|01|ALL_A|04|300691.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300691.SZ,300691,2018-03-12,2018,1,4,-5
MARKET|2018|01|ALL_A|04|300691.SZ|2018-03-13,2018|01|ALL_A|04|300691.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300691.SZ,300691,2018-03-13,2018,1,4,-4
MARKET|2018|01|ALL_A|04|300691.SZ|2018-03-14,2018|01|ALL_A|04|300691.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300691.SZ,300691,2018-03-14,2018,1,4,-3
MARKET|2018|01|ALL_A|04|300691.SZ|2018-03-15,2018|01|ALL_A|04|300691.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300691.SZ,300691,2018-03-15,2018,1,4,-2
MARKET|2018|01|ALL_A|04|300691.SZ|2018-03-16,2018|01|ALL_A|04|300691.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300691.SZ,300691,2018-03-16,2018,1,4,-1
MARKET|2018|01|ALL_A|05|600481.SH|2018-03-12,2018|01|ALL_A|05|600481.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600481.SH,600481,2018-03-12,2018,1,5,-5
MARKET|2018|01|ALL_A|05|600481.SH|2018-03-13,2018|01|ALL_A|05|600481.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600481.SH,600481,2018-03-13,2018,1,5,-4
MARKET|2018|01|ALL_A|05|600481.SH|2018-03-14,2018|01|ALL_A|05|600481.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600481.SH,600481,2018-03-14,2018,1,5,-3
MARKET|2018|01|ALL_A|05|600481.SH|2018-03-15,2018|01|ALL_A|05|600481.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600481.SH,600481,2018-03-15,2018,1,5,-2
MARKET|2018|01|ALL_A|05|600481.SH|2018-03-16,2018|01|ALL_A|05|600481.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600481.SH,600481,2018-03-16,2018,1,5,-1
MARKET|2018|01|ALL_A|06|300055.SZ|2018-03-12,2018|01|ALL_A|06|300055.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300055.SZ,300055,2018-03-12,2018,1,6,-5
MARKET|2018|01|ALL_A|06|300055.SZ|2018-03-13,2018|01|ALL_A|06|300055.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300055.SZ,300055,2018-03-13,2018,1,6,-4
MARKET|2018|01|ALL_A|06|300055.SZ|2018-03-14,2018|01|ALL_A|06|300055.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300055.SZ,300055,2018-03-14,2018,1,6,-3
MARKET|2018|01|ALL_A|06|300055.SZ|2018-03-15,2018|01|ALL_A|06|300055.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300055.SZ,300055,2018-03-15,2018,1,6,-2
