group,profit,invested,trades,dimension,net_pnl_share
002401.SZ,-921.0924017,289089.4954,1,security,-7.523135798e-05
002402.SZ,-22834.73246,1261850.413,3,security,-0.001865054938
002409.SZ,142122.6972,430512.7937,1,security,0.01160804659
002415.SZ,453.5151813,261819.42,1,security,3.70414118e-05
002418.SZ,59357.5732,655563.6325,1,security,0.004848103002
002419.SZ,49767.49997,271865.5406,1,security,0.004064821943
002421.SZ,30781.80723,887522.7651,2,security,0.002514142072
002425.SZ,29566.05962,512715.532,1,security,0.002414844386
002428.SZ,-63573.46305,933187.8467,2,security,-0.005192441006
002429.SZ,111706.5202,2666663.6,5,security,0.009123767814
002432.SZ,7499.835299,430073.8202,1,security,0.0006125582983
002442.SZ,149432.0603,1025141.084,2,security,0.01220504783
002443.SZ,-2786.530423,413222.1837,1,security,-0.0002275933092
002449.SZ,3645.749151,562612.9536,1,security,0.0002977710586
002458.SZ,177200.8486,202072.7971,1,security,0.01447309787
002460.SZ,-291906.0339,3935015.056,9,security,-0.02384178536
002461.SZ,97971.70763,2780282.079,7,security,0.008001960059
002465.SZ,-41092.12138,461433.0235,1,security,-0.003356249697
002466.SZ,-200767.7877,2611405.118,6,security,-0.01639795669
002471.SZ,97393.12212,486194.2292,1,security,0.007954703374
002476.SZ,-14373.69483,767036.7294,2,security,-0.001173989254
002487.SZ,26947.95971,353039.8669,1,security,0.002201007847
002493.SZ,-23170.35501,224618.9682,1,security,-0.001892467324
002495.SZ,-37166.94826,693052.243,2,security,-0.003035656341
002500.SZ,16996.98457,1059605.054,4,security,0.001388249679
002506.SZ,2390.917498,628800.6787,2,security,0.0001952811356
002507.SZ,160103.6011,1365669.902,5,security,0.01307665909
002511.SZ,56943.34344,430409.8489,1,security,0.004650917809
002517.SZ,-85342.60625,595967.2989,1,security,-0.006970462627
002519.SZ,174439.2655,4521330.221,9,security,0.01424754216
002521.SZ,45106.64736,421340.1414,1,security,0.003684141058
002524.SZ,-6622.816279,374675.703,1,security,-0.0005409266882
002531.SZ,-13903.82648,353039.8669,1,security,-0.001135612177
002548.SZ,-9955.614049,474331.2084,1,security,-0.0008131370567
002552.SZ,187877.8739,519982.0877,2,security,0.01534515708
002554.SZ,-17050.0443,452965.4907,1,security,-0.001392583397
002557.SZ,54455.28023,802263.4678,3,security,0.004447702178
002558.SZ,77753.26126,319773.9707,1,security,0.006350593514
002567.SZ,23959.96445,491425.2572,1,security,0.001956959648
002568.SZ,114146.6754,1591502.672,4,security,0.0093230705
002574.SZ,-5283.342248,384053.1373,1,security,-0.0004315234946
002579.SZ,29975.05818,252409.965,1,security,0.002448249848
002580.SZ,61530.16355,499396.6489,1,security,0.005025551999
002584.SZ,128286.3187,478213.7857,1,security,0.0104779433
002589.SZ,57059.34897,911044.5114,2,security,0.004660392704
002594.SZ,209746.3073,1479401.391,4,security,0.01713128835
002596.SZ,110129.1297,1227476.54,4,security,0.008994932498
002600.SZ,95163.6691,534870.6716,1,security,0.007772610049
002607.SZ,64161.69425,436142.5254,1,security,0.005240485515
002613.SZ,-7693.989259,439956.7276,1,security,-0.0006284160625
002623.SZ,97824.86301,360756.0114,1,security,0.007989966343
002624.SZ,-132081.0778,595967.2989,1,security,-0.01078788494
002625.SZ,-14705.56605,454957.99,1,security,-0.001201095245
002626.SZ,-19880.84322,279579.3634,1,security,-0.001623792391
002627.SZ,5414.008553,3395622.153,7,security,0.0004421958262
002636.SZ,-51348.56335,470125.8874,1,security,-0.004193957245
002640.SZ,-34579.9209,281854.193,1,security,-0.00282435769
002641.SZ,-81554.72736,1107841.438,2,security,-0.006661082947
002643.SZ,35124.99048,264440.6014,1,security,0.002868876921
002646.SZ,9097.073828,1738387.78,4,security,0.0007430147252
002648.SZ,-47351.59234,461087.2705,1,security,-0.003867499708
002650.SZ,43747.9241,1097520.764,4,security,0.003573165659
002659.SZ,55807.28229,1587739.615,3,security,0.004558128614
002660.SZ,-7162.137123,376918.3988,1,security,-0.0005849763833
002663.SZ,-10877.86566,239114.1805,1,security,-0.0008884630948
002668.SZ,93786.96712,1548029.183,3,security,0.007660166216
002672.SZ,-39744.65815,276751.3652,1,security,-0.003246193975
002673.SZ,-83080.09488,1744615.908,5,security,-0.00678566922
002676.SZ,-27796.93245,968817.1538,2,security,-0.002270348742
002685.SZ,-108252.6512,1076026.145,2,security,-0.008841668804
002695.SZ,-21157.45135,402506.0551,1,security,-0.001728060934
002696.SZ,-48584.85008,480260.5416,1,security,-0.003968227555
002701.SZ,-15141.10888,193521.6176,1,security,-0.001236668743
002707.SZ,20911.52444,518312.7093,1,security,0.001707974551
002714.SZ,123523.1953,1424854.165,4,security,0.01008890933
002716.SZ,-93715.45228,831297.9788,2,security,-0.007654325153
002721.SZ,-57868.79423,573384.2214,2,security,-0.004726505144
002726.SZ,-41239.48866,279579.3634,1,security,-0.003368286101
002727.SZ,-69629.72051,1005641.841,3,security,-0.005687093304
002731.SZ,-66339.07584,774441.8211,2,security,-0.005418325842
002738.SZ,-57027.2058,2646975.373,6,security,-0.004657767371
002739.SZ,-959.5602929,2408977.678,5,security,-7.837327044e-05
002745.SZ,-8336.905478,562612.9536,1,security,-0.0006809270376
002746.SZ,-122201.8558,1980594.815,5,security,-0.009980987299
002753.SZ,36390.82825,468215.4236,1,security,0.002972265782
002756.SZ,-33261.87584,3371347.662,8,security,-0.002716704735
002758.SZ,-79335.99503,1757254.573,4,security,-0.006479865247
002773.SZ,-35268.18233,249971.9974,1,security,-0.002880572291
002788.SZ,76846.19328,376918.3988,1,security,0.006276507618
002791.SZ,109130.6781,552029.8205,2,security,0.008913382738
002797.SZ,-33224.57593,585454.4297,1,security,-0.002713658218
002801.SZ,49546.57738,475698.6602,1,security,0.004046777818
002803.SZ,-15540.64545,281854.193,1,security,-0.001269301385
002807.SZ,-27997.05704,663309.2727,1,security,-0.002286694166
002828.SZ,-11443.17418,1766280.713,4,security,-0.0009346353655
002829.SZ,137189.7854,2023435.65,4,security,0.01120514493
002839.SZ,-26538.69435,663309.2727,1,security,-0.002167580594
002840.SZ,-16333.51513,279579.3634,1,security,-0.001334059994
002841.SZ,54757.19122,899148.0773,3,security,0.00447236113
002842.SZ,-23216.29075,415847.4598,1,security,-0.001896219182
002848.SZ,38806.90586,552588.2191,1,security,0.0031696019
002859.SZ,1097.575494,261819.42,1,security,8.964583222e-05
002860.SZ,-13336.97843,598044.3318,1,security,-0.001089314163
002861.SZ,33439.04347,534870.6716,1,security,0.002731175119
002867.SZ,-3435.010539,1033403.816,3,security,-0.0002805587225
002881.SZ,5940.313901,199657.526,1,security,0.0004851824646
002885.SZ,-32504.49763,565174.8889,2,security,-0.002654844935
002891.SZ,71856.23847,1263385.584,3,security,0.005868946905
002911.SZ,-16430.3168,601306.603,2,security,-0.00134196639
002913.SZ,2930.950767,501976.2399,2,security,0.0002393890189
002925.SZ,58179.55526,802442.7943,2,security,0.004751886935
002926.SZ,-101098.4632,1154515.544,2,security,-0.008257341672
002928.SZ,71371.98811,447584.5446,1,security,0.005829395159
002932.SZ,14035.62015,430073.8202,1,security,0.001146376587
002933.SZ,-83407.49037,688529.7792,2,security,-0.006812409651
002938.SZ,-48606.6236,453873.8058,1,security,-0.003970005934
002939.SZ,-126722.1383,1766017.778,3,security,-0.01035018695
002945.SZ,78074.76705,612849.7032,1,security,0.006376852896
002958.SZ,-40719.95014,663309.2727,1,security,-0.003325852152
002967.SZ,23211.47175,468540.0583,1,security,0.001895825584
002978.SZ,-90748.56514,1417144.818,3,security,-0.007412000987
002982.SZ,15776.38785,1427451.962,3,security,0.001288555936
002996.SZ,-26728.50293,439623.9834,1,security,-0.002183083444
003009.SZ,16840.07461,937329.1037,2,security,0.001375433864
003019.SZ,-55338.34458,479852.1453,1,security,-0.004519827548
003032.SZ,59208.09335,436142.5254,1,security,0.004835894051
300008.SZ,-12223.70556,1156427.766,2,security,-0.000998386228
300009.SZ,2930.276595,267572.1227,1,security,0.0002393339551
300010.SZ,68135.8189,436142.5254,1,security,0.005565077047
300011.SZ,16942.19783,271865.5406,1,security,0.001383774904
300015.SZ,43037.01809,613403.9085,2,security,0.003515101534
300017.SZ,10783.42894,483448.5715,1,security,0.0008807498587
300027.SZ,-46559.63322,804263.1131,2,security,-0.00380281547
300043.SZ,-80090.29426,1586222.672,3,security,-0.006541473567
300052.SZ,-75466.0461,595967.2989,1,security,-0.006163782395
300054.SZ,34312.58876,804440.7107,3,security,0.002802523008
300055.SZ,-22733.17582,231071.1448,1,security,-0.001856760174
300059.SZ,109745.2341,208039.8054,1,security,0.008963577356
300063.SZ,-5094.220246,1049640.512,2,security,-0.0004160767218
300065.SZ,-32215.88516,1149673.534,2,security,-0.002631272156
300070.SZ,6654.672259,904883.3877,2,security,0.0005435285646
300077.SZ,-24531.28526,288908.4865,1,security,-0.002003622981
300078.SZ,11525.6762,483448.5715,1,security,0.0009413738193
300079.SZ,-12445.63598,289089.4954,1,security,-0.001016512669
300086.SZ,57424.701,555000.789,1,security,0.004690233281
300087.SZ,-151304.8858,1241399.934,3,security,-0.01235801317
300093.SZ,-64799.3421,725116.0888,2,security,-0.005292566189
300094.SZ,93996.78994,1214029.69,3,security,0.007677303754
300119.SZ,23544.04794,283569.6837,1,security,0.001922989154
300127.SZ,120258.8691,986653.6446,3,security,0.009822291465
300131.SZ,136127.2799,468540.0583,1,security,0.01111836348
300132.SZ,41272.58783,724270.129,2,security,0.003370989517
300133.SZ,130399.9714,522736.4312,1,security,0.0106505785
300138.SZ,95127.16569,1304702.595,4,security,0.007769628587
300139.SZ,-157249.104,1960780.724,6,security,-0.01284351452
300142.SZ,-4373.417707,249971.9974,1,security,-0.0003572042854
300144.SZ,-119268.8193,3555642.266,8,security,-0.009741427923
300146.SZ,-64522.32479,844915.7953,3,security,-0.005269940459
300148.SZ,59868.29727,908064.3721,2,security,0.004889817021
300149.SZ,-9700.578529,374675.703,1,security,-0.0007923067161
300160.SZ,43099.01322,461087.2705,1,security,0.003520165063
300182.SZ,176997.2703,991323.5309,2,security,0.01445647036
300183.SZ,-302.3581962,199657.526,1,security,-2.46954786e-05
300184.SZ,43043.38033,2271913.921,5,security,0.003515621178
300185.SZ,678.5554569,1440106.675,3,security,5.542185387e-05
300189.SZ,5578.116112,573351.7087,2,security,0.0004555995134
300191.SZ,-62892.71136,494187.9811,1,security,-0.005136839772
300192.SZ,174012.3258,851848.893,2,security,0.01421267134
300196.SZ,7524.882576,2071545.583,5,security,0.0006146040655
300198.SZ,19848.66976,268460.1368,1,security,0.001621164584
300213.SZ,92213.33873,376918.3988,1,security,0.007531638177
300217.SZ,73259.75299,588596.8015,1,security,0.005983580684
300224.SZ,61457.58396,269704.9794,1,security,0.005019623972
300232.SZ,-52996.17819,562612.9536,1,security,-0.004328528219
300238.SZ,-45604.46824,279645.1247,1,security,-0.003724801192
300244.SZ,31673.08002,345831.7858,1,security,0.002586937876
300251.SZ,-51858.76075,1031888.54,2,security,-0.004235628247
300256.SZ,22797.35292,551398.4578,2,security,0.001862001918
300272.SZ,14791.64357,418873.8141,1,security,0.001208125733
300274.SZ,66610.22173,420377.7985,1,security,0.005440472017
300275.SZ,18363.85576,266580.8913,1,security,0.001499890569
300285.SZ,-130873.2907,800466.9741,2,security,-0.01068923744
300288.SZ,65038.95452,483448.5715,1,security,0.00531213683
300295.SZ,84136.6306,1049640.512,2,security,0.006871963079
300298.SZ,50629.79748,533538.5792,2,security,0.004135251156
300303.SZ,-6381.509663,562612.9536,1,security,-0.0005212176727
300315.SZ,92639.73129,512715.532,1,security,0.007566464314
300316.SZ,78087.85934,684818.3998,2,security,0.006377922225
300319.SZ,10688.3744,907973.5975,2,security,0.000872986162
300326.SZ,1467.197945,249971.9974,1,security,0.0001198352018
300327.SZ,-34069.96911,288908.4865,1,security,-0.002782706749
300329.SZ,32938.71866,486946.4325,1,security,0.002690310473
300332.SZ,74823.59973,943212.5514,2,security,0.006111309795
300342.SZ,34062.23153,594149.7502,1,security,0.002782074772
300345.SZ,-139062.9441,725116.0888,2,security,-0.01135813748
300353.SZ,24754.8705,199657.526,1,security,0.002021884581
300355.SZ,-22264.58297,269737.9108,1,security,-0.001818487275
300359.SZ,-10789.87796,202977.4423,1,security,-0.0008812765903
300383.SZ,19661.10486,199356.912,1,security,0.001605844989
300384.SZ,-55268.54611,287501.3405,1,security,-0.004514126672
300387.SZ,47767.69078,399472.6003,1,security,0.003901485061
300395.SZ,-10717.19902,454957.99,1,security,-0.0008753404482
300406.SZ,10161.50451,279645.1247,1,security,0.0008299534144
300408.SZ,-18528.17772,501976.2399,2,security,-0.001513311768
300418.SZ,593700.9092,1496223.706,4,security,0.04849125403
300424.SZ,7371.642447,401135.0834,1,security,0.000602087989
300435.SZ,-88578.17853,980278.4579,2,security,-0.007234731983
300458.SZ,-60630.99777,288908.4865,1,security,-0.004952111525
300459.SZ,-99240.78181,595967.2989,1,security,-0.008105613258
300463.SZ,9682.28108,279125.559,1,security,0.0007908122493
300464.SZ,47643.45633,281854.193,1,security,0.003891338059
300467.SZ,180404.4097,1639646.651,3,security,0.01473475268
300476.SZ,24326.79876,705375.4556,2,security,0.001986921293
300483.SZ,257409.5168,460690.7981,1,security,0.02102423977
300487.SZ,39264.60657,271195.8386,1,security,0.00320698517
300493.SZ,102384.2456,797969.2153,2,security,0.008362359539
300498.SZ,270999.2337,2753300.028,10,security,0.02213419666
300510.SZ,11920.99699,199356.912,1,security,0.0009736621321
300511.SZ,-68382.80242,973250.7956,2,security,-0.005585249731
300527.SZ,-46122.44774,3939134.895,9,security,-0.003767107806
300529.SZ,46440.08817,254413.0203,1,security,0.00379305148
300569.SZ,237231.9744,740356.2365,2,security,0.01937621411
300570.SZ,20577.46216,406921.9066,2,security,0.001680689602
300595.SZ,84717.09295,813183.704,3,security,0.006919373056
300600.SZ,-130405.41,975640.2469,2,security,-0.0106510227
300616.SZ,-6528.60838,374675.703,1,security,-0.0005332321418
300618.SZ,205757.5115,6625416.916,15,security,0.01680549853
300628.SZ,-47505.25757,1103886.125,3,security,-0.003880050505
300633.SZ,27737.89825,279125.559,1,security,0.002265527051
300638.SZ,-24668.20611,234977.8635,1,security,-0.002014806159
300639.SZ,5778.834065,430073.8202,1,security,0.0004719933998
300653.SZ,58499.44923,813183.704,3,security,0.004778014669
300658.SZ,-91452.51318,430409.8489,1,security,-0.007469496811
300661.SZ,-58245.48046,288908.4865,1,security,-0.004757271457
300666.SZ,72487.21819,430512.7937,1,security,0.005920482952
300672.SZ,-65920.64894,288908.4865,1,security,-0.005384150309
300673.SZ,-67485.2161,1243659.182,4,security,-0.005511938261
300675.SZ,-9332.229218,447538.721,1,security,-0.0007622213318
300685.SZ,65236.67155,533538.5792,2,security,0.005328285611
300688.SZ,63961.76284,436142.5254,1,security,0.00522415587
300690.SZ,144338.9642,353039.8669,1,security,0.01178906293
300696.SZ,-64568.30156,250000,1,security,-0.005273695668
300699.SZ,-138251.8382,1488451.276,5,security,-0.01129188941
300719.SZ,-105813.9966,499566.2749,2,security,-0.00864248868
300722.SZ,-87867.74599,2011301.41,4,security,-0.00717670653
300737.SZ,-12144.16998,268460.1368,1,security,-0.0009918900621
300748.SZ,-62829.76182,825877.5701,3,security,-0.005131698291
300772.SZ,61782.23202,353039.8669,1,security,0.005046140002
300775.SZ,21142.98449,454957.99,1,security,0.001726879336
300776.SZ,-47345.55733,360756.0114,1,security,-0.003867006791
300777.SZ,-86276.99196,856093.0734,2,security,-0.007046779732
300805.SZ,41355.18898,530963.8197,1,security,0.003377736067
300811.SZ,-14297.22938,486946.4325,1,security,-0.001167743844
300869.SZ,32828.05446,430073.8202,1,security,0.002681271838
300872.SZ,-14385.82836,483448.5715,1,security,-0.001174980275
300875.SZ,-20081.28276,470125.8874,1,security,-0.001640163537
300888.SZ,-25591.93223,430409.8489,1,security,-0.00209025263
300905.SZ,-18844.63868,451134.8745,1,security,-0.001539159107
300922.SZ,-54224.34834,1227975.595,2,security,-0.004428840531
300945.SZ,-6325.870436,941918.3886,2,security,-0.0005166732702
300979.SZ,-89661.88907,1114537.315,2,security,-0.007323245379
300987.SZ,210550.8822,1049640.512,2,security,0.017197003
301017.SZ,-64157.53773,467402.4857,1,security,-0.005240146026
301025.SZ,-116503.2272,562979.7499,1,security,-0.009515544776
301039.SZ,31314.23705,970330.1789,2,security,0.002557628934
301052.SZ,-101136.6614,941765.8324,2,security,-0.008260461562
301073.SZ,122853.4819,1360037.024,3,security,0.01003420967
301263.SZ,47233.81648,555000.789,1,security,0.003857880219
600000.SH,-18612.51557,1133018.217,3,security,-0.001520200166
600004.SH,-1975.385688,827786.7228,2,security,-0.0001613420625
600006.SH,-23676.33999,1165063.253,2,security,-0.001933794271
600009.SH,-56791.61906,1136253.437,3,security,-0.004638525533
600010.SH,-75059.52305,2615647.535,7,security,-0.006130579123
600015.SH,-44402.56149,1105141.131,3,security,-0.003626633976
600016.SH,-5926.809443,542605.5619,2,security,-0.0004840794714
600017.SH,9463.557046,958342.5364,2,security,0.0007729476941
600018.SH,21064.90598,682698.1838,3,security,0.001720502177
600019.SH,-112560.0326,1188687.168,3,security,-0.009193479498
600022.SH,18249.65887,2945369.219,6,security,0.001490563397
600028.SH,4512.081454,1589858.981,4,security,0.000368529818
600029.SH,-132755.0541,4785229.182,10,security,-0.01084293278
600030.SH,66122.92692,208039.8054,1,security,0.005400671612
600031.SH,118301.1815,3385754.326,14,security,0.009662394915
600037.SH,-11352.541,2123920.941,5,security,-0.0009272327882
600038.SH,-51675.76055,704957.99,2,security,-0.00422068148
600050.SH,17255.17094,199356.912,1,security,0.001409337369
600054.SH,221198.4289,2801378.619,6,security,0.0180666545
600056.SH,-55178.57202,1022432.155,4,security,-0.004506777927
600058.SH,47945.69463,856179.3389,2,security,0.003916023745
600059.SH,44512.23024,2592122.252,6,security,0.003635591306
600060.SH,68862.55626,2119076.764,4,security,0.005624434217
600061.SH,-6988.21979,907228.323,2,security,-0.0005707714706
600063.SH,63764.25558,1508777.261,3,security,0.005208024221
600066.SH,112118.8989,2642630.469,8,security,0.009157449351
600072.SH,-24481.64486,1592004.514,4,security,-0.001999568539
600073.SH,-32126.76853,279579.3634,1,security,-0.002623993445
600088.SH,10447.38628,522736.4312,1,security,0.00085330316
600097.SH,-220750.3189,1853447.132,4,security,-0.01803005457
600104.SH,308033.5209,5897292.875,13,security,0.02515901775
600108.SH,-217104.3992,2182965.279,5,security,-0.01773226958
600110.SH,-4005.119333,204452.8059,1,security,-0.0003271230615
600111.SH,3105.229305,215123.7806,1,security,0.0002536234335
600115.SH,8069.680726,3257319.738,7,security,0.0006591011264
600117.SH,20017.41022,420265.8728,1,security,0.001634946669
600118.SH,-49706.85719,1488564.978,3,security,-0.00405986887
600120.SH,15229.85744,491989.863,1,security,0.001243917391
600121.SH,-127112.2234,2119444.894,4,security,-0.01038204763
600123.SH,58313.12594,488413.9435,1,security,0.004762796484
600126.SH,71486.9093,1634437.154,3,security,0.005838781489
600127.SH,-25899.14728,495717.1275,1,security,-0.002115344798
600128.SH,615.8424571,384053.1373,1,security,5.029969226e-05
600132.SH,338168.5751,2502690.42,7,security,0.02762033546
600138.SH,147765.3791,6503393.334,14,security,0.01206891959
600150.SH,-37479.03831,388393.0056,1,security,-0.003061146681
600151.SH,-12162.24539,264440.6014,1,security,-0.0009933663933
600153.SH,878.7077874,426750.8021,1,security,7.176954233e-05
600155.SH,-7474.654994,384053.1373,1,security,-0.0006105016659
600156.SH,-29793.87013,377428.3053,1,security,-0.002433451091
600166.SH,17257.55354,1326578.668,3,security,0.001409531971
600170.SH,-210461.6455,3352739.32,6,security,-0.01718971448
600176.SH,336873.1137,1564990.716,4,security,0.02751452706
600177.SH,-29722.26696,405544.7112,1,security,-0.002427602813
600184.SH,357007.1536,1884984.483,4,security,0.0291589996
600195.SH,-18021.14188,434587.5208,1,security,-0.00147189899
600196.SH,-7743.424182,555000.789,1,security,-0.0006324537208
600197.SH,167701.9831,2129089.76,7,security,0.01369726632
600199.SH,118668.8548,2536766.551,6,security,0.009692425083
600201.SH,38655.61841,451134.8745,1,security,0.003157245311
600206.SH,70597.26941,430512.7937,1,security,0.005766119054
600208.SH,-32481.01919,905156.2669,3,security,-0.002652927304
600216.SH,-5682.8628,555000.789,1,security,-0.0004641548284
600221.SH,-94876.70039,1523222.706,5,security,-0.007749171525
600223.SH,91252.46612,671288.5853,2,security,0.007453157721
600229.SH,96098.47359,1800212.975,3,security,0.007848961358
600231.SH,250303.1031,1712486.567,4,security,0.02044381467
600249.SH,-66921.30299,430409.8489,1,security,-0.005465879962
600251.SH,-29311.00641,1056374.933,3,security,-0.002394012601
600252.SH,-26000.34641,579421.4957,1,security,-0.002123610362
600255.SH,41273.97684,996218.9579,3,security,0.003371102966
600256.SH,-7929.001542,289089.4954,1,security,-0.0006476109805
600257.SH,-114868.0392,1310464.555,3,security,-0.009381988776
600258.SH,25316.08472,2363218.831,5,security,0.002067722444
600259.SH,127591.3048,724849.7587,2,security,0.01042117719
600266.SH,107019.2203,457317.6105,1,security,0.008740926814
600269.SH,-23655.63072,577261.5716,1,security,-0.001932102816
600271.SH,-2503.289908,430151.5374,1,security,-0.0002044592908
600272.SH,-47874.25217,579421.4957,1,security,-0.003910188594
600278.SH,20632.91543,594149.7502,1,security,0.001685218816
600282.SH,35137.77241,633644.2583,2,security,0.0028699209
600288.SH,-41255.14333,287501.3405,1,security,-0.003369564715
600295.SH,-92855.01791,1321961.782,3,security,-0.007584048115
600298.SH,188553.2905,3188503.145,11,security,0.01540032256
600303.SH,29817.7614,393953.0185,1,security,0.00243540244
600305.SH,190911.4928,2250823.805,8,security,0.01559293164
600307.SH,-97311.62923,2408771.938,6,security,-0.007948047341
600308.SH,35235.86536,421340.1414,1,security,0.002877932763
600315.SH,63818.42354,293860.2801,1,security,0.005212448457
600316.SH,-51887.82972,474618.9682,2,security,-0.00423800249
600323.SH,16734.87401,261819.42,1,security,0.001366841476
600325.SH,118636.5623,758083.6066,3,security,0.009689787548
600326.SH,13046.87463,1242866.407,3,security,0.001065619578
600330.SH,-31682.48418,804440.7107,3,security,-0.002587705973
600333.SH,74327.40916,740335.9228,2,security,0.006070782819
600336.SH,24647.15094,301568.0432,1,security,0.002013086453
600339.SH,-369496.6733,3466212.519,8,security,-0.03017909653
600340.SH,-34013.09234,797239.2674,3,security,-0.002778061269
600345.SH,2199.491899,199657.526,1,security,0.0001796462137
600346.SH,1156.907909,567018.9212,1,security,9.449188037e-05
600348.SH,-37909.44164,1895747.801,5,security,-0.003096300403
600354.SH,-65875.5755,479062.8145,1,security,-0.00538046888
600359.SH,-55884.85152,901561.3959,2,security,-0.004564464176
600360.SH,18030.34999,288908.4865,1,security,0.001472651074
600363.SH,48116.3335,534870.6716,1,security,0.003929960885
600366.SH,29381.97676,269704.9794,1,security,0.002399809192
600368.SH,-9068.63899,577261.5716,1,security,-0.0007406922748
600370.SH,-38659.65164,494187.9811,1,security,-0.00315757473
600372.SH,-20372.79907,250000,1,security,-0.001663973492
600373.SH,16389.88811,1624737.931,4,security,0.001338664327
600382.SH,-62933.91,413222.1837,1,security,-0.005140204722
600383.SH,-9361.111887,226955.6326,1,security,-0.0007645803594
600388.SH,-50320.20262,684388.7897,2,security,-0.004109964614
600390.SH,4597.6103,501768.7887,1,security,0.0003755154919
600391.SH,-46613.84524,224618.9682,1,security,-0.003807243304
600392.SH,32946.78049,394311.6328,1,security,0.002690968933
600395.SH,-61778.7131,850720.3278,2,security,-0.00504585259
600415.SH,-20906.56299,496156.8623,1,security,-0.001707569318
600416.SH,-23003.15267,567018.9212,1,security,-0.001878810866
600418.SH,100819.0719,841491.7395,2,security,0.008234522048
600425.SH,-5900.847995,1085880.239,2,security,-0.0004819590381
600428.SH,76629.0941,453363.6701,1,security,0.006258775774
600435.SH,128194.3533,5102344.807,11,security,0.01047043192
600436.SH,-40451.84111,483156.3894,1,security,-0.003303954016
600449.SH,-62007.98125,1257016.015,3,security,-0.005064578349
600456.SH,58290.02957,2094905.745,6,security,0.00476091006
600460.SH,-49483.14794,288908.4865,1,security,-0.004041597141
600461.SH,29246.76901,261819.42,1,security,0.002388765932
600467.SH,-410544.7792,3574571.983,8,security,-0.03353175121
600477.SH,-36988.65858,679080.3542,2,security,-0.003021094311
600481.SH,173648.4479,447538.721,1,security,0.01418295116
600489.SH,-49783.95092,5679146.233,13,security,-0.004066165594
600493.SH,21633.54953,551235.8746,1,security,0.00176694684
600508.SH,-171387.4463,2923768.974,6,security,-0.01399828107
600511.SH,69002.25034,969339.6313,3,security,0.005635843904
600512.SH,23125.41316,492846.6179,1,security,0.001888796643
600515.SH,-32449.27061,579421.4957,1,security,-0.0026503342
600516.SH,-89043.47562,517924.6967,1,security,-0.007272735697
600519.SH,209117.7278,8149888.7,22,security,0.01707994834
600521.SH,-34828.26918,555000.789,1,security,-0.002844641842
600522.SH,-32454.65612,701216.2808,3,security,-0.002650774068
600527.SH,2831.188418,402506.0551,1,security,0.000231240806
600531.SH,4305.484592,439623.9834,1,security,0.0003516557644
600537.SH,52135.14784,364360.0773,1,security,0.004258202503
600543.SH,150427.9171,724700.481,2,security,0.01228638567
600547.SH,222322.4713,2474940.635,6,security,0.01815846205
600549.SH,-24084.44513,256634.3351,1,security,-0.001967126762
600551.SH,-42075.48239,903229.2407,2,security,-0.00343656692
600559.SH,122457.8855,1985173.468,6,security,0.01000189884
600562.SH,-44844.01167,479852.1453,1,security,-0.003662689964
600563.SH,6724.141903,519982.0877,2,security,0.0005492025835
600567.SH,129334.1974,1670166.377,5,security,0.01056353009
600569.SH,-136534.2087,733078.4134,2,security,-0.01115159989
600572.SH,62755.96088,430151.5374,1,security,0.005125670508
600573.SH,-13842.17689,893316.0302,2,security,-0.001130576871
600576.SH,-16638.30523,1021907.565,2,security,-0.001358954101
600580.SH,13926.43235,1333177.231,3,security,0.001137458539
600583.SH,-185597.8802,2154716.213,6,security,-0.01515893578
600584.SH,-1717.527592,430512.7937,1,security,-0.0001402811844
600585.SH,48643.65754,544182.6628,2,security,0.003973030726
600586.SH,7817.072772,271865.5406,1,security,0.0006384690602
600587.SH,-37288.91624,279645.1247,1,security,-0.003045618226
600593.SH,88563.87804,374675.703,1,security,0.007233563974
600598.SH,-71939.41551,1739112.637,4,security,-0.005875740492
600600.SH,154160.8246,3867896.894,10,security,0.01259127549
600604.SH,-923.6548645,457317.6105,1,security,-7.544065029e-05
600606.SH,-34299.09138,447838.6563,2,security,-0.002801420593
600611.SH,-46927.97619,577261.5716,1,security,-0.003832900336
600612.SH,-72413.95205,1912249.083,5,security,-0.005914498849
600616.SH,27865.92839,472235.9248,1,security,0.002275984071
600619.SH,197753.4652,1465083.6,3,security,0.01615175818
600621.SH,38791.24592,194461.8491,1,security,0.003168322855
600633.SH,50594.59097,477539.8413,1,security,0.004132375621
600635.SH,-25475.74514,803507.4717,2,security,-0.002080762906
600636.SH,-55346.75755,722113.7521,2,security,-0.004520514688
600637.SH,-46658.46034,1981545.667,4,security,-0.003810887296
600639.SH,-3440.839031,457317.6105,1,security,-0.0002810347718
600648.SH,-15093.50364,287501.3405,1,security,-0.001232780526
600649.SH,-13566.21889,449171.6092,1,security,-0.001108037661
600668.SH,327848.9503,1873670.5,5,security,0.02677746738
600673.SH,-144622.5213,2166921.789,6,security,-0.0118122228
600678.SH,-30112.03941,1414606.535,3,security,-0.002459437959
600682.SH,-11584.01343,2047672.466,6,security,-0.0009461385848
600684.SH,-434226.3052,2509859.446,5,security,-0.03546596905
600686.SH,-62774.28351,280995.6155,1,security,-0.005127167032
600690.SH,-66358.28726,2732400.194,6,security,-0.005419894958
600694.SH,-11307.89178,287501.3405,1,security,-0.0009235860079
600696.SH,-19679.61321,1458579.006,3,security,-0.001607356682
