block,coordinate,group,n,adjusted_rank_r2,support_pass
A,pit,ALL_A:ALL_STATUS,187,0.753183107217,True
A,pit,ALL_A:NON_ST,187,0.754842001157,True
A,pit,CHINEXT_BOARD:ALL_STATUS,179,0.760914841672,True
A,pit,CHINEXT_BOARD:NON_ST,179,0.75930817792,True
A,pit,SH_A:ALL_STATUS,186,0.736809571294,True
A,pit,SH_A:NON_ST,186,0.743905455484,True
A,pit,SZ_A:ALL_STATUS,187,0.756489458817,True
A,pit,SZ_A:NON_ST,187,0.760065869458,True
A,relative_to_all,CHINEXT_BOARD:ALL_STATUS,226,0.289004724513,True
A,relative_to_all,CHINEXT_BOARD:NON_ST,226,0.269996806421,True
A,relative_to_all,SH_A:ALL_STATUS,227,0.181050027062,True
A,relative_to_all,SH_A:NON_ST,227,0.186332863516,True
A,relative_to_all,SZ_A:ALL_STATUS,227,0.122311420054,True
A,relative_to_all,SZ_A:NON_ST,227,0.156388223351,True
A,relative_rank,ALL_STATUS,907,0.173960078253,True
A,relative_rank,NON_ST,907,0.172481019264,True
B,pit,ALL_A:ALL_STATUS,727,0.693292811383,True
B,pit,ALL_A:NON_ST,727,0.688604884485,True
B,pit,CHINEXT_BOARD:ALL_STATUS,724,0.631097288232,True
B,pit,CHINEXT_BOARD:NON_ST,724,0.631358592597,True
B,pit,SH_A:ALL_STATUS,727,0.681164336561,True
B,pit,SH_A:NON_ST,727,0.677253855924,True
B,pit,SZ_A:ALL_STATUS,727,0.676415882958,True
B,pit,SZ_A:NON_ST,727,0.674709036493,True
B,relative_to_all,CHINEXT_BOARD:ALL_STATUS,724,0.14810750275,True
B,relative_to_all,CHINEXT_BOARD:NON_ST,724,0.145409978488,True
B,relative_to_all,SH_A:ALL_STATUS,727,0.103779264676,True
B,relative_to_all,SH_A:NON_ST,727,0.11276108637,True
B,relative_to_all,SZ_A:ALL_STATUS,727,0.0734502811209,True
B,relative_to_all,SZ_A:NON_ST,727,0.0861881727083,True
B,relative_rank,ALL_STATUS,2905,0.196514798565,True
B,relative_rank,NON_ST,2905,0.183706757453,True
