role,challenge,domain,n,spearman,sign_agreement,pass,joint_adjusted_rank_r2
recovery_speed_progression,auction,A,107,0.98034083140587203,0.93457943925233644,True,
recovery_speed_progression,auction,B,162,0.98305392228416155,0.95679012345679015,True,
recovery_speed_progression,auction,global,269,0.97940629211532371,0.94795539033457255,True,
recovery_speed_progression,external_generic_controls,A,107,0.29895223223887119,,True,0.12123695404094059
recovery_speed_progression,external_generic_controls,B,162,0.24726729198322583,,True,0.12085398447602158
recovery_speed_progression,external_generic_controls,global,269,0.2565169817721501,,True,0.1123074825879864
recovery_speed_progression,level_10,A,101,0.88261628565603467,0.88118811881188119,True,
recovery_speed_progression,level_10,B,157,0.87953354812704154,0.92356687898089174,True,
recovery_speed_progression,level_10,global,258,0.89154858137162352,0.90697674418604646,True,
recovery_speed_progression,level_40,A,62,0.88229095704100458,0.93548387096774188,True,
recovery_speed_progression,level_40,B,106,0.98358614998690364,0.94339622641509435,True,
recovery_speed_progression,level_40,global,168,0.94998608556213271,0.94047619047619047,True,
recovery_speed_progression,shape_ols_slope,A,107,0.97407959400559185,0.96261682242990654,True,
recovery_speed_progression,shape_ols_slope,B,162,0.95233831288070181,0.96296296296296291,True,
recovery_speed_progression,shape_ols_slope,global,269,0.96488495509169736,0.96282527881040891,True,
recovery_speed_progression,shape_theil_sen_slope,A,107,0.99970588951792339,1,True,
recovery_speed_progression,shape_theil_sen_slope,B,162,0.98575672929218516,0.98148148148148151,True,
recovery_speed_progression,shape_theil_sen_slope,global,269,0.9938171784056512,0.98884758364312264,True,
recovery_volume_intensity_progression,auction,A,107,0.94483630165167831,0.96261682242990654,True,
recovery_volume_intensity_progression,auction,B,162,0.97942872949541393,0.98148148148148151,True,
recovery_volume_intensity_progression,auction,global,269,0.96717589253238134,0.97397769516728627,True,
recovery_volume_intensity_progression,external_generic_controls,A,107,0.48511173452834278,,True,0.32133571144324713
recovery_volume_intensity_progression,external_generic_controls,B,162,0.30413270285150196,,True,0.15939770781802032
recovery_volume_intensity_progression,external_generic_controls,global,269,0.3797739464544293,,True,0.21944272711221269
recovery_volume_intensity_progression,level_10,A,101,0.84260920209668022,0.93069306930693074,True,
recovery_volume_intensity_progression,level_10,B,157,0.92873932485316835,0.94904458598726116,True,
recovery_volume_intensity_progression,level_10,global,258,0.89673989565402101,0.94186046511627908,True,
recovery_volume_intensity_progression,level_40,A,62,0.95003903200624518,0.967741935483871,True,
recovery_volume_intensity_progression,level_40,B,106,0.93774844446683636,0.97169811320754718,True,
recovery_volume_intensity_progression,level_40,global,168,0.94549784623483402,0.97023809523809523,True,
recovery_volume_intensity_progression,shape_ols_slope,A,107,0.99477850271361112,0.98130841121495327,True,
recovery_volume_intensity_progression,shape_ols_slope,B,162,0.99311280186180162,0.97530864197530864,True,
recovery_volume_intensity_progression,shape_ols_slope,global,269,0.99387634319110751,0.97769516728624539,True,
recovery_volume_intensity_progression,shape_theil_sen_slope,A,107,0.99491565273614291,0.99065420560747663,True,
recovery_volume_intensity_progression,shape_theil_sen_slope,B,162,0.99433217464692525,0.98148148148148151,True,
recovery_volume_intensity_progression,shape_theil_sen_slope,global,269,0.99510070465516276,0.98513011152416352,True,
