audit_id,cohort,market_view,symbol,source_symbol,trade_date,target_year,market_sequence_rank,relative_day,action_selection_rank
MARKET|2018|ALL_A|01|603037.SH|2018-06-08,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-08,2018,1,-5,
MARKET|2018|ALL_A|01|603037.SH|2018-06-11,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-11,2018,1,-4,
MARKET|2018|ALL_A|01|603037.SH|2018-06-12,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-12,2018,1,-3,
MARKET|2018|ALL_A|01|603037.SH|2018-06-13,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-13,2018,1,-2,
MARKET|2018|ALL_A|01|603037.SH|2018-06-14,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-14,2018,1,-1,
MARKET|2018|ALL_A|02|600673.SH|2018-06-08,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-08,2018,2,-5,
MARKET|2018|ALL_A|02|600673.SH|2018-06-11,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-11,2018,2,-4,
MARKET|2018|ALL_A|02|600673.SH|2018-06-12,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-12,2018,2,-3,
MARKET|2018|ALL_A|02|600673.SH|2018-06-13,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-13,2018,2,-2,
MARKET|2018|ALL_A|02|600673.SH|2018-06-14,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-14,2018,2,-1,
MARKET|2018|ALL_A|03|000903.SZ|2018-06-08,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,000903.SZ,000903,2018-06-08,2018,3,-5,
MARKET|2018|ALL_A|03|000903.SZ|2018-06-11,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,000903.SZ,000903,2018-06-11,2018,3,-4,
MARKET|2018|ALL_A|03|000903.SZ|2018-06-12,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,000903.SZ,000903,2018-06-12,2018,3,-3,
MARKET|2018|ALL_A|03|000903.SZ|2018-06-13,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,000903.SZ,000903,2018-06-13,2018,3,-2,
MARKET|2018|ALL_A|03|000903.SZ|2018-06-14,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,000903.SZ,000903,2018-06-14,2018,3,-1,
MARKET|2018|ALL_A|04|600038.SH|2018-06-08,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600038.SH,600038,2018-06-08,2018,4,-5,
MARKET|2018|ALL_A|04|600038.SH|2018-06-11,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600038.SH,600038,2018-06-11,2018,4,-4,
MARKET|2018|ALL_A|04|600038.SH|2018-06-12,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600038.SH,600038,2018-06-12,2018,4,-3,
MARKET|2018|ALL_A|04|600038.SH|2018-06-13,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600038.SH,600038,2018-06-13,2018,4,-2,
MARKET|2018|ALL_A|04|600038.SH|2018-06-14,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600038.SH,600038,2018-06-14,2018,4,-1,
