role,primitive,coordinate,scope,block,year,index_symbol,market_view,n,response_unique,state_unique,partial_spearman,support_pass
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,csi000300,ALL_A,51,48,51,0.16787931701690056,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,csi000300,CHINEXT_BOARD,59,53,59,-0.019201081673437127,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,csi000300,SH_A,55,47,55,0.22063005592055915,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,csi000300,SZ_A,50,40,50,-0.10323826096558524,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,csi000852,ALL_A,51,48,51,-0.015326305064034986,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,csi000852,CHINEXT_BOARD,59,53,59,0.057213560245072501,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,csi000852,SH_A,55,47,55,0.42305808381028404,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,csi000852,SZ_A,50,40,50,-0.2043960444246688,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,csi000905,ALL_A,51,48,51,0.03640748848658526,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,csi000905,CHINEXT_BOARD,59,53,59,0.074470964603504636,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,csi000905,SH_A,55,47,55,0.39760953194628007,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,csi000905,SZ_A,50,40,50,-0.1830361152926385,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,sh000001,ALL_A,51,48,51,0.08314260631338756,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,sh000001,CHINEXT_BOARD,59,53,59,-0.0081716775268995887,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,sh000001,SH_A,55,47,55,0.2664219013667421,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,sh000001,SZ_A,50,40,50,-0.081773494875367683,True
below_level_close_fraction,A_direction,absolute,BLOCK_CELL,A,,sz399001,ALL_A,51,48,51,0.03994132059622691,True
