period,rule_id,role,trades,affected_trades,executable_affected_trades,baseline_mean_net_payoff,candidate_mean_net_payoff,mean_net_payoff_improvement,baseline_severe_fraction,candidate_severe_fraction,severe_fraction_improvement
generation_2018_2020,CND2-X01-D10-NO-PROGRESS-BELOW-MA10,D10_EXIT,1208,431,428,0.021369692580,0.019167215494,-0.002202477086,0.158112582781,0.122516556291,0.035596026490
generation_2018_2020,CND2-X02-D10-BELOW-SIGNAL-LOW,D10_EXIT,1208,438,435,0.021369692580,0.018832768428,-0.002536924152,0.158112582781,0.125000000000,0.033112582781
generation_2018_2020,CND2-X03-D10-PROFIT-GIVEBACK,D10_EXIT,1208,247,246,0.021369692580,0.016817840756,-0.004551851825,0.158112582781,0.140728476821,0.017384105960
generation_2018_2020,CND2-X04-D15-NO-PROGRESS-BELOW-MA10,D15_EXIT,1208,396,394,0.021369692580,0.020877539028,-0.000492153552,0.158112582781,0.149834437086,0.008278145695
generation_2018_2020,CND2-X05-D15-PROFIT-GIVEBACK,D15_EXIT,1208,205,203,0.021369692580,0.019354314481,-0.002015378100,0.158112582781,0.153973509934,0.004139072848
pruning_2021,CND2-X01-D10-NO-PROGRESS-BELOW-MA10,D10_EXIT,440,159,159,0.014811068321,0.010660180231,-0.004150888090,0.145454545455,0.118181818182,0.027272727273
pruning_2021,CND2-X02-D10-BELOW-SIGNAL-LOW,D10_EXIT,440,160,160,0.014811068321,0.011865575653,-0.002945492668,0.145454545455,0.120454545455,0.025000000000
pruning_2021,CND2-X03-D10-PROFIT-GIVEBACK,D10_EXIT,440,117,117,0.014811068321,0.016397665450,0.001586597129,0.145454545455,0.118181818182,0.027272727273
pruning_2021,CND2-X04-D15-NO-PROGRESS-BELOW-MA10,D15_EXIT,440,158,157,0.014811068321,0.013134370835,-0.001676697487,0.145454545455,0.125000000000,0.020454545455
pruning_2021,CND2-X05-D15-PROFIT-GIVEBACK,D15_EXIT,440,110,108,0.014811068321,0.014669308364,-0.000141759958,0.145454545455,0.125000000000,0.020454545455
