family,track,trade_date,cal_idx,decision_at,available_at,symbol,industry,signal_score,signal_rank,candidate_count,avg_amount20,natural_horizon,rebalance_sessions,entry_status,status_h5,status_h20,status_h120,gross_return_h5,net_return_h5,adverse_excursion_h5,entry_amount_h5,gross_return_h20,net_return_h20,adverse_excursion_h20,entry_amount_h20
close_location_persistence_20,track_c,2018-07-03,120,2018-07-03 15:30:00,2018-07-03 15:00:00,002659.SZ,教育,0.6358519315000384,17,1321,52888392.29,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,0.029739776951672958,0.025629039319131408,-0.040892193308550095,21649574.04,,,,
close_location_persistence_20,track_c,2018-07-03,120,2018-07-03 15:30:00,2018-07-03 15:00:00,601669.SH,基础建设,0.6307675803728433,18,1321,78822434.85,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,0.03780718336483946,0.033664240517075505,-0.009451795841209809,127304063.0,,,,
close_location_persistence_20,track_c,2018-07-03,120,2018-07-03 15:30:00,2018-07-03 15:00:00,603499.SH,包装印刷,0.6303979839757987,19,1321,167831093.0,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.16158978822164205,-0.16492515404352304,-0.26022628372497825,423403746.0,,,,
close_location_persistence_20,track_c,2018-07-03,120,2018-07-03 15:30:00,2018-07-03 15:00:00,002586.SZ,基础建设,0.6296168952277366,20,1321,57258352.62149999,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.12981455064194014,-0.1332883448509543,-0.17546362339514976,29070220.13,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,603077.SH,农化制品,0.7075,1,1346,51113188.6,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.01098901098901095,-0.01493715864973355,-0.04395604395604402,49156786.0,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,600084.SH,非白酒,0.7004064149170637,2,1346,98513114.95,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.07621247113163976,-0.07990024569798049,-0.1362586605080831,109641398.0,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,000656.SZ,房地产开发,0.6974365695756362,3,1346,67313632.1815,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,0.007984031936127733,0.003960143585085341,-0.027944111776447067,113533886.4,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,600489.SH,贵金属,0.6840536615869712,4,1346,170340364.25,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.05603448275862066,-0.05980280817674988,-0.08620689655172409,106852965.0,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,600010.SH,普钢,0.6727218614718616,5,1346,306264055.55,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.02395209580838331,-0.027848494627511378,-0.06586826347305386,315305573.0,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,002030.SZ,医疗器械,0.6635159612042608,6,1346,59229982.5285,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,0.03573629081947005,0.03160161500781555,-0.025878003696857665,39165439.2,,,,
