scope,market_view,denominator,predictor,response,estimator,estimate,observations
h3,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.264296054269,809
h3,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.258476530879,810
h3,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.188945273533,810
h3,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.183162950953,810
h3,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.233360462636,810
h3,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.241992851304,810
h3,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,spearman,0.468747599648,829
h3,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,spearman,0.469469829849,829
h3,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,spearman,0.504379650259,829
h3,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,spearman,0.50235547817,829
h3,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,spearman,0.488551588911,829
h3,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,spearman,0.485011128078,829
h3,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,spearman,0.480530641692,829
h3,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,spearman,0.483831297053,829
h3_diagnostic,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,partial_spearman,-0.0913960776891,810
h3_diagnostic,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,partial_spearman,-0.0872622635426,810
h3_diagnostic,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,partial_spearman,-0.115423463717,809
h3_diagnostic,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,partial_spearman,-0.11579595347,810
h3_diagnostic,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,partial_spearman,-0.0897815868172,810
h3_diagnostic,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,partial_spearman,-0.0817559369276,810
h3_diagnostic,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,partial_spearman,-0.0882722946554,810
h3_diagnostic,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,partial_spearman,-0.0957327342606,810
h3_diagnostic,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,spearman,-0.190300433798,829
h3_diagnostic,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,spearman,-0.189146402962,829
h3_diagnostic,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,spearman,-0.209649036796,829
h3_diagnostic,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,spearman,-0.211449917025,829
h3_diagnostic,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,spearman,-0.199865563708,829
h3_diagnostic,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,spearman,-0.194499529296,829
h3_diagnostic,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,spearman,-0.1917479304,829
h3_diagnostic,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,adverse_mean_log_excursion_h3,spearman,-0.197028358217,829
h3_diagnostic,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,partial_spearman,-0.000831333335525,810
h3_diagnostic,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,partial_spearman,0.00106732474329,810
h3_diagnostic,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,partial_spearman,0.00183828007514,809
h3_diagnostic,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,partial_spearman,0.000803338570482,810
h3_diagnostic,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,partial_spearman,-0.0145695567156,810
h3_diagnostic,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,partial_spearman,-0.00129538697954,810
h3_diagnostic,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,partial_spearman,0.00428382684896,810
h3_diagnostic,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,partial_spearman,-0.00374890369505,810
h3_diagnostic,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,spearman,0.0474312301522,829
h3_diagnostic,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,spearman,0.0467633025828,829
h3_diagnostic,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,spearman,0.0196553199215,829
h3_diagnostic,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,spearman,0.0184176695922,829
h3_diagnostic,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,spearman,0.0478157072335,829
h3_diagnostic,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,spearman,0.056354241144,829
h3_diagnostic,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,spearman,0.034308818289,829
h3_diagnostic,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_mean_log_return_h3,spearman,0.0263234098239,829
h3_diagnostic,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,partial_spearman,-0.0470558537159,810
h3_diagnostic,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,partial_spearman,-0.0420444897662,810
h3_diagnostic,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,partial_spearman,-0.0607441673763,809
h3_diagnostic,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,partial_spearman,-0.0590218555548,810
h3_diagnostic,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,partial_spearman,-0.0656002554288,810
h3_diagnostic,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,partial_spearman,-0.0516631014372,810
h3_diagnostic,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,partial_spearman,-0.0494288007534,810
h3_diagnostic,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,partial_spearman,-0.0575028223356,810
h3_diagnostic,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,spearman,-0.108185084608,829
h3_diagnostic,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,spearman,-0.106972669169,829
h3_diagnostic,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,spearman,-0.165250560802,829
h3_diagnostic,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,spearman,-0.164541904829,829
h3_diagnostic,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,spearman,-0.126028400462,829
