family,leg,period,count,signal_dates,mean_gross_return,mean_net_return,median_net_return,gross_excess_vs_date_control,net_excess_vs_date_control,severe_loss_fraction,control_severe_loss_fraction,severe_loss_disadvantage,entry_executable_fraction,median_candidate_count,median_avg_amount20_cny,p10_entry_amount_cny
left_tail_stability_60,bottom,early_2018_2020,476,24,0.006101006797209025,0.002085337082091654,-0.03655917553472243,-0.01395267265346622,-0.013898018196745706,0.3088235294117647,0.1787041132242371,0.13011941618752762,0.99375,1938.0,347284374.29875,58754944.28
left_tail_stability_60,bottom,full,1169,59,-0.0012324582663193926,-0.0052187530649764995,-0.041666076829792065,-0.011891694000087176,-0.011845401921422227,0.330196749358426,0.18871730223763,0.14147944712079602,0.9966101694915255,2385.0,456055696.50874996,75706656.89400001
left_tail_stability_60,bottom,late_2021_2023,693,35,-0.0062695857847025575,-0.010235703873063717,-0.04800167107645159,-0.010476072298776317,-0.010435524075745495,0.3448773448773449,0.19559504822662716,0.14928229665071774,0.9985714285714286,2535.0,555296988.4752499,98684680.192
left_tail_stability_60,middle,early_2018_2020,478,24,0.038425131390023015,0.03428101372532226,-0.00011678747650306631,0.018524561487934927,0.018450173031224506,0.13598326359832635,0.1802576524994495,-0.044274388901123146,1.0,1938.0,119407137.50874999,33104636.382
left_tail_stability_60,middle,full,1172,59,0.020786091512756982,0.0167123573178816,-0.007078689133806826,0.010117391376274903,0.010076255328253668,0.17918088737201365,0.18933222561523264,-0.010151338243218982,1.0,2385.0,129544169.53999999,38664345.666
left_tail_stability_60,middle,late_2021_2023,694,35,0.008637012173660199,0.004611755354255326,-0.011928460539238961,0.004326862106284281,0.00430862901410372,0.20893371757925072,0.19558243591688154,0.01335128166236918,1.0,2535.0,138062891.25,43030766.978
left_tail_stability_60,top,early_2018_2020,477,24,0.005348304802075851,0.0013414175593881783,-0.0019758054740721676,-0.014413187852184187,-0.01435092457347344,0.050314465408805034,0.180845194747876,-0.13053072933907095,0.99375,1938.0,175960224.68949997,63416679.572000004
left_tail_stability_60,top,full,1175,59,0.006329788045840665,0.0023193980004642075,-0.003956998284133539,-0.004286434120065794,-0.004264441500991475,0.029787234042553193,0.18952967525195968,-0.1597424412094065,0.997457627118644,2385.0,168218666.76825,59016057.4
left_tail_stability_60,top,late_2021_2023,698,35,0.007000515133628368,0.0029877313391365084,-0.003992015968063756,0.0026339978716540826,0.0026284702834983523,0.015759312320916905,0.1954644849947218,-0.1797051726738049,1.0,2535.0,162437514.1735,56217158.456
overnight_information_stability_60,bottom,early_2018_2020,478,24,0.017479683177332225,0.013420124999686714,-0.005762322255192798,-0.002355125504490454,-0.002345239661763576,0.15481171548117154,0.18035674961462236,-0.025545034133450828,0.9958333333333333,1938.0,109421704.98125002,30021143.7
