comparison,pairs,complete_pairs,same_industry_fraction,mean_match_distance,mean_net_h3_delta,winner_improvement,severe_h5_improvement,mean_net_h3_delta_early,mean_net_h3_delta_late
EARLY_VS_LATE,21270,19632,0.1078514339,3.780418855,-0.01260610612,-0.04711695192,-0.0989201304,-0.01696737099,-0.0092426911
STABLE_VS_FAILED,39006,36484,0.3434087064,3.410502886,-0.01883645124,-0.08148777546,-0.1272338559,-0.02159656632,-0.01668221179
STABLE_VS_RESEAL,39001,36151,0.3524268608,3.365495081,-0.01102037697,-0.05023374181,-0.05997067854,-0.01361436471,-0.008983716804
