audit_id,cohort,market_view,symbol,source_symbol,trade_date,target_year,market_sequence_rank,relative_day,action_selection_rank,daily_raw_close,minute_raw_close,binary_close_equal,daily_close_integer_cents,minute_close_integer_cents,integer_cent_difference,raw_close_signed_difference,raw_close_absolute_difference,coordinate_scale,coordinate_close,mapped_minute_close,support_low10,support_low20,support_low40,primary_level_tested,primary_penetration_depth,primary_close_below_fraction,primary_minimum_bar_index,primary_close_recovery_from_minimum,up_limit_contact,down_limit_contact,corporate_action_count,rights_ratio,corporate_action_blocking,daily_snapshot_id,descriptor_available_at
ACTION|2020|01|600183.SH|2020-05-29,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,600183.SH,600183,2020-05-29,2020,,,1,26.800000000000001,26.799999237060547,False,2680,2680,0,-7.6293945383554274e-07,7.6293945383554274e-07,0.084267194323839889,2.2583608078789092,2.2583607435881419,2.1880844236873429,2.1880844236873429,2.090928492920201,False,0,0,147,0.0057767638516850748,False,False,1,0,False,PITB-80B916173F29877FD683,2020-05-29T15:30:00+08:00
ACTION|2020|02|603983.SH|2020-07-01,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,603983.SH,603983,2020-07-01,2020,,,2,83.890000000000001,83.889999389648438,False,8389,8389,0,-6.1035156306843419e-07,6.1035156306843419e-07,0.033960579673896318,2.8489530288431624,2.8489530081152692,2.7346179851250847,2.6436781609195403,2.400608519269777,False,0,0,189,0.014002047610937001,False,False,1,0,False,PITB-80B916173F29877FD683,2020-07-01T15:30:00+08:00
ACTION|2020|03|600132.SH|2020-05-29,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,600132.SH,600132,2020-05-29,2020,,,3,61.700000000000003,61.700000762939453,False,6170,6170,0,7.6293945028282906e-07,7.6293945028282906e-07,0.050892131117570565,3.140044489954104,3.1400445287817185,2.7610410685526907,2.5719968152103454,2.1894309446307023,False,0,0,1,0.021963595082436033,False,False,1,0,False,PITB-80B916173F29877FD683,2020-05-29T15:30:00+08:00
ACTION|2020|04|603090.SH|2020-05-22,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,603090.SH,603090,2020-05-22,2020,,,4,16.100000000000001,16.100000381469727,False,1610,1610,0,3.8146972514141453e-07,3.8146972514141453e-07,0.051024588613817694,0.82149587668246493,0.82149589614680074,0.75247673025137252,0.73065845688602593,0.73065845688602593,False,0,0,240,0,False,False,1,0,False,PITB-80B916173F29877FD683,2020-05-22T15:30:00+08:00
ACTION|2020|05|603380.SH|2020-07-06,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,603380.SH,603380,2020-07-06,2020,,,5,17.969999999999999,17.969999313354492,False,1797,1797,0,-6.8664550667563162e-07,6.8664550667563162e-07,0.050594179646447718,0.90917740824666538,0.90917737350639927,0.82849299091551964,0.79806669805227648,0.78160657240494824,False,0,0,10,0.032965791129737756,False,False,1,0,False,PITB-80B916173F29877FD683,2020-07-06T15:30:00+08:00
ACTION|2021|01|688089.SH|2021-07-20,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,688089.SH,688089,2021-07-20,2021,,,1,45.5,45.5,True,4550,4550,0,0,0,0.022030941024055947,1.0024078165945456,1.0024078165945456,0.97109333953159671,0.92188252840668461,0.8529873928318078,False,0,0,82,0.023658837129405631,False,False,1,0,False,PITB-80B916173F29877FD683,2021-07-20T15:30:00+08:00
ACTION|2021|02|601929.SH|2021-07-16,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,601929.SH,601929,2021-07-16,2021,,,2,1.8100000000000001,1.809999942779541,False,181,181,0,-5.7220459037665705e-08,5.7220459037665705e-08,0.3412524531539729,0.61766694020869095,0.61766692068206897,0.60672461431026525,0.60672461431026525,0.60672461431026525,False,0,0,2,0.0056244978308358203,False,False,1,0,False,PITB-80B916173F29877FD683,2021-07-16T15:30:00+08:00
ACTION|2021|03|002527.SZ|2021-07-21,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,002527.SZ,002527,2021-07-21,2021,,,3,8.8599999999999994,8.8599996566772461,False,886,886,0,-3.4332275333781581e-07,3.4332275333781581e-07,0.10056602509879403,0.89101498237531507,0.89101494784871038,0.78578846694671134,0.70370610479431617,0.67667898554901529,False,0,0,1,0.03715626943982539,False,False,1,0,False,PITB-80B916173F29877FD683,2021-07-21T15:30:00+08:00
ACTION|2021|04|002976.SZ|2021-06-16,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,002976.SZ,002976,2021-06-16,2021,,,4,19.02,19.020000457763672,False,1902,1902,0,4.5776367230132564e-07,4.5776367230132564e-07,0.044663945278289721,0.8495082391930705,0.8495082596386021,0.83753111233549338,0.82641344270272132,0.81640754003322646,False,0,0,178,0.0070259754892524019,False,False,1,0,False,PITB-80B916173F29877FD683,2021-06-16T15:30:00+08:00
ACTION|2021|05|002962.SZ|2021-05-26,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,002962.SZ,002962,2021-05-26,2021,,,5,13.33,13.329999923706055,False,1333,1333,0,-7.6293945383554274e-08,7.6293945383554274e-08,0.070857872136770278,0.94453543558314779,0.94453543017712116,0.88765291607396823,0.88065433854907482,0.80600284495021268,False,0,0,1,0.0032184161916775709,False,False,1,0,False,PITB-80B916173F29877FD683,2021-05-26T15:30:00+08:00
