role,operator,neighbor,scope,group,n,spearman
formation_participation,change,change_neighbor_h3,FULL,ALL_A:ALL_STATUS,1412,0.626288229411
formation_participation,change,change_neighbor_h3,PHASE_ZERO,ALL_A:ALL_STATUS,283,0.58651790451
formation_participation,change,change_neighbor_h3,BLOCK_A,ALL_A:ALL_STATUS,685,0.603390122857
formation_participation,change,change_neighbor_h3,BLOCK_B,ALL_A:ALL_STATUS,727,0.648846963965
formation_participation,change,change_neighbor_h10,FULL,ALL_A:ALL_STATUS,1407,0.563120376921
formation_participation,change,change_neighbor_h10,PHASE_ZERO,ALL_A:ALL_STATUS,282,0.590473624518
formation_participation,change,change_neighbor_h10,BLOCK_A,ALL_A:ALL_STATUS,680,0.575808860262
formation_participation,change,change_neighbor_h10,BLOCK_B,ALL_A:ALL_STATUS,727,0.547784215285
formation_participation,change,change_neighbor_ols5,FULL,ALL_A:ALL_STATUS,1412,0.939908117276
formation_participation,change,change_neighbor_ols5,PHASE_ZERO,ALL_A:ALL_STATUS,283,0.919911771963
formation_participation,change,change_neighbor_ols5,BLOCK_A,ALL_A:ALL_STATUS,685,0.939115552922
formation_participation,change,change_neighbor_ols5,BLOCK_B,ALL_A:ALL_STATUS,727,0.940368466097
formation_participation,change,change_neighbor_theilsen5,FULL,ALL_A:ALL_STATUS,1412,0.888854689351
formation_participation,change,change_neighbor_theilsen5,PHASE_ZERO,ALL_A:ALL_STATUS,283,0.884736507157
formation_participation,change,change_neighbor_theilsen5,BLOCK_A,ALL_A:ALL_STATUS,685,0.880186499437
formation_participation,change,change_neighbor_theilsen5,BLOCK_B,ALL_A:ALL_STATUS,727,0.89757275233
formation_participation,change,change_neighbor_h3,FULL,ALL_A:NON_ST,1412,0.623937045119
formation_participation,change,change_neighbor_h3,PHASE_ZERO,ALL_A:NON_ST,283,0.58010305272
formation_participation,change,change_neighbor_h3,BLOCK_A,ALL_A:NON_ST,685,0.601609304059
formation_participation,change,change_neighbor_h3,BLOCK_B,ALL_A:NON_ST,727,0.646060454489
formation_participation,change,change_neighbor_h10,FULL,ALL_A:NON_ST,1407,0.562612470728
formation_participation,change,change_neighbor_h10,PHASE_ZERO,ALL_A:NON_ST,282,0.588342834577
formation_participation,change,change_neighbor_h10,BLOCK_A,ALL_A:NON_ST,680,0.57341719012
formation_participation,change,change_neighbor_h10,BLOCK_B,ALL_A:NON_ST,727,0.54914242941
formation_participation,change,change_neighbor_ols5,FULL,ALL_A:NON_ST,1412,0.939553935564
formation_participation,change,change_neighbor_ols5,PHASE_ZERO,ALL_A:NON_ST,283,0.919347375131
formation_participation,change,change_neighbor_ols5,BLOCK_A,ALL_A:NON_ST,685,0.938860894229
formation_participation,change,change_neighbor_ols5,BLOCK_B,ALL_A:NON_ST,727,0.940068372293
formation_participation,change,change_neighbor_theilsen5,FULL,ALL_A:NON_ST,1412,0.890325855609
formation_participation,change,change_neighbor_theilsen5,PHASE_ZERO,ALL_A:NON_ST,283,0.886211033587
formation_participation,change,change_neighbor_theilsen5,BLOCK_A,ALL_A:NON_ST,685,0.881520219656
formation_participation,change,change_neighbor_theilsen5,BLOCK_B,ALL_A:NON_ST,727,0.89874023544
formation_participation,change,change_neighbor_h3,FULL,CHINEXT_BOARD:ALL_STATUS,1412,0.621542326037
formation_participation,change,change_neighbor_h3,PHASE_ZERO,CHINEXT_BOARD:ALL_STATUS,283,0.588484822173
formation_participation,change,change_neighbor_h3,BLOCK_A,CHINEXT_BOARD:ALL_STATUS,685,0.604467858577
formation_participation,change,change_neighbor_h3,BLOCK_B,CHINEXT_BOARD:ALL_STATUS,727,0.639705069843
formation_participation,change,change_neighbor_h10,FULL,CHINEXT_BOARD:ALL_STATUS,1407,0.533072752594
formation_participation,change,change_neighbor_h10,PHASE_ZERO,CHINEXT_BOARD:ALL_STATUS,282,0.583328361312
formation_participation,change,change_neighbor_h10,BLOCK_A,CHINEXT_BOARD:ALL_STATUS,680,0.541880990899
formation_participation,change,change_neighbor_h10,BLOCK_B,CHINEXT_BOARD:ALL_STATUS,727,0.522761969805
formation_participation,change,change_neighbor_ols5,FULL,CHINEXT_BOARD:ALL_STATUS,1412,0.925676967921
formation_participation,change,change_neighbor_ols5,PHASE_ZERO,CHINEXT_BOARD:ALL_STATUS,283,0.894300545019
formation_participation,change,change_neighbor_ols5,BLOCK_A,CHINEXT_BOARD:ALL_STATUS,685,0.92232984517
formation_participation,change,change_neighbor_ols5,BLOCK_B,CHINEXT_BOARD:ALL_STATUS,727,0.930606907161
