dimension,state_type,state,n,winner_minus_loser,rank_ic,status
direction,market_regime,BEAR,234,0.07692307692307693,0.05762680370942576,VISUAL_DIAGNOSTIC_ONLY
direction,market_regime,BULL,108,0.02777777777777779,-0.001866018338689168,VISUAL_DIAGNOSTIC_ONLY
direction,market_regime,TRANSITION,198,-0.06060606060606061,-0.008643943925234031,VISUAL_DIAGNOSTIC_ONLY
direction,participation,HIGH,180,-0.1,-0.042976888293454585,VISUAL_DIAGNOSTIC_ONLY
direction,participation,LOW,180,0.13333333333333336,0.058060505794585555,VISUAL_DIAGNOSTIC_ONLY
direction,participation,MID,180,0.01666666666666669,0.05729975423303243,VISUAL_DIAGNOSTIC_ONLY
turn,market_regime,BEAR,234,-0.17948717948717946,-0.08927504007825739,VISUAL_DIAGNOSTIC_ONLY
turn,market_regime,BULL,108,0.16666666666666674,0.05438418159063276,VISUAL_DIAGNOSTIC_ONLY
turn,market_regime,TRANSITION,198,-0.045454545454545456,-0.00955965539545842,VISUAL_DIAGNOSTIC_ONLY
turn,participation,HIGH,180,-0.01666666666666672,-0.045954889937154096,VISUAL_DIAGNOSTIC_ONLY
turn,participation,LOW,180,0.016666666666666607,-0.028130960811605717,VISUAL_DIAGNOSTIC_ONLY
turn,participation,MID,180,-0.18333333333333332,-0.03843225620498047,VISUAL_DIAGNOSTIC_ONLY
retention,market_regime,BEAR,234,0.0015384615384614886,-0.01624896368573159,VISUAL_DIAGNOSTIC_ONLY
retention,market_regime,BULL,108,0.2222222222222222,0.08554964593385854,VISUAL_DIAGNOSTIC_ONLY
retention,market_regime,TRANSITION,198,-0.07692307692307693,-0.01470962130793775,VISUAL_DIAGNOSTIC_ONLY
retention,participation,HIGH,180,0.12175141242937856,0.012262005148100757,VISUAL_DIAGNOSTIC_ONLY
retention,participation,LOW,180,-0.02183908045977012,-0.04533888068023654,VISUAL_DIAGNOSTIC_ONLY
retention,participation,MID,180,-0.03389830508474578,0.04353418069781646,VISUAL_DIAGNOSTIC_ONLY
quieting,market_regime,BEAR,234,0.12143650499814884,0.03574068808626265,VISUAL_DIAGNOSTIC_ONLY
quieting,market_regime,BULL,108,-0.4,-0.18495981327533023,VISUAL_DIAGNOSTIC_ONLY
quieting,market_regime,TRANSITION,198,0.20634920634920634,0.10379635390972079,VISUAL_DIAGNOSTIC_ONLY
quieting,participation,HIGH,180,-0.07052058111380145,-0.010710589842333295,VISUAL_DIAGNOSTIC_ONLY
quieting,participation,LOW,180,0.17543859649122806,0.09746611691034149,VISUAL_DIAGNOSTIC_ONLY
quieting,participation,MID,180,0.025269645608628682,-0.048337582818282473,VISUAL_DIAGNOSTIC_ONLY
spike_distribution,market_regime,BEAR,234,-0.14102564102564102,-0.10237465469262841,VISUAL_DIAGNOSTIC_ONLY
spike_distribution,market_regime,BULL,108,-0.1388888888888889,-0.0049630043828998265,VISUAL_DIAGNOSTIC_ONLY
spike_distribution,market_regime,TRANSITION,198,0.28787878787878785,0.09985069882830096,VISUAL_DIAGNOSTIC_ONLY
spike_distribution,participation,HIGH,180,-0.11666666666666668,0.006830840029274497,VISUAL_DIAGNOSTIC_ONLY
spike_distribution,participation,LOW,180,-0.15,-0.0978600047296234,VISUAL_DIAGNOSTIC_ONLY
spike_distribution,participation,MID,180,0.31666666666666665,0.0498547889234507,VISUAL_DIAGNOSTIC_ONLY
volume_alignment,market_regime,BEAR,234,0.19492780451684566,0.09644949007191209,VISUAL_DIAGNOSTIC_ONLY
volume_alignment,market_regime,BULL,108,-0.08571428571428574,-0.03749736637600994,VISUAL_DIAGNOSTIC_ONLY
volume_alignment,market_regime,TRANSITION,198,0.0793650793650793,0.08602981116431764,VISUAL_DIAGNOSTIC_ONLY
volume_alignment,participation,HIGH,180,-0.11713075060532696,-0.04896777637369791,VISUAL_DIAGNOSTIC_ONLY
volume_alignment,participation,LOW,180,0.3684210526315789,0.21330382918246257,VISUAL_DIAGNOSTIC_ONLY
volume_alignment,participation,MID,180,0.03913713405238828,0.02062400219772682,VISUAL_DIAGNOSTIC_ONLY
rejection,market_regime,BEAR,234,0.025128205128205128,0.0024676534375166013,VISUAL_DIAGNOSTIC_ONLY
rejection,market_regime,BULL,108,0.027777777777777776,0.041467916043727716,VISUAL_DIAGNOSTIC_ONLY
rejection,market_regime,TRANSITION,198,0.06153846153846154,0.13104316477111996,VISUAL_DIAGNOSTIC_ONLY
rejection,participation,HIGH,180,0.016666666666666666,0.019573096387372025,VISUAL_DIAGNOSTIC_ONLY
rejection,participation,LOW,180,0.03218390804597701,0.030388064427011634,VISUAL_DIAGNOSTIC_ONLY
rejection,participation,MID,180,0.06779661016949153,0.09568395386173786,VISUAL_DIAGNOSTIC_ONLY
context,market_regime,BEAR,234,0.0641025641025641,0.016747988290609788,VISUAL_DIAGNOSTIC_ONLY
context,market_regime,BULL,108,0.02777777777777779,0.026152984398655134,VISUAL_DIAGNOSTIC_ONLY
context,market_regime,TRANSITION,198,0.060606060606060635,0.04811537983804675,VISUAL_DIAGNOSTIC_ONLY
context,participation,HIGH,180,0.06666666666666668,0.013346934625659872,VISUAL_DIAGNOSTIC_ONLY
context,participation,LOW,180,0.08333333333333337,0.005914552255236609,VISUAL_DIAGNOSTIC_ONLY
context,participation,MID,180,0.01666666666666669,0.08067150179420692,VISUAL_DIAGNOSTIC_ONLY
